debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"We always begin these debates by bringing out onto the stage the chairman of Intelligence Squared, Bob Rosenkranz, who frames this debate for us. So let's welcome to the stage Robert Rosenkranz. So we're just going to take a couple of minutes to explain why we're doing this debate. Bob, why did this one get on our board for the season?",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"Well, the reason it's timely is that, of course, Mitt Romney lost an election that he might have won, given the state of the economy at the time, and because the Republican National Committee just published a 100-page report that was very self reflective about why they might have lost.",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,So the Republican Party itself is putting this out there as a debate?,neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,Absolutely.,neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"And the side that's arguing for some sort of shift to the middle, what points are they making?",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"Well, the point they're making is that the GOP has alienated large parts of the potential electorate with, particularly, its stands on social issues, on things like gay marriage, women's freedom of choice, and immigration, and the thought is that those social parts of the GOP agenda are just fatal to their success in national elections and need to be rethought.",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"And the side arguing against it, what's the argument not to move to the center?",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"Well, I had a-- I actually posed the subject of tonight's resolution in a private chat with Mitt Romney a couple of weeks ago, and he said that he felt that there was simply no chance for a pro-choice Republican to win the presidency, and the reason he felt that way was because the most reliable Republican voters are evangelicals.

They're about 80 percent Republican. The counterweight to that is blacks and unions on the Democrat side, but if the Republican Party alienates those people who are their most reliable supporters they just cannot win.",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"So they without the base, they can't win?",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,That's exactly what he was saying.,neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"All right, and that's straight from the candidate's mouth?",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,Right.,neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"Now we're going to hear from four more mouths, our debaters. Let's welcome them to the stage and thank Bob Rosenkranz. Thank you. And I'd like to just invite one more round of applause for Bob Rosenkranz for making all of this possible. all possess, you and I, all of us here, something that the ambitious, and the powerful, and the wannabe powerful keenly covet, and that is our votes. The rules say that political parties cannot have power unless they first have our votes, and when they fail to get them, as the Republican Party did in sufficient numbers in the race to the White House in 2012, it inevitably sets off soul searching within the party. How did we fail to connect to the American voter? Do we need to change to do better next time? That is the debate that's taking place right now inside the Republican Party, and we are bringing it out now onto this stage. Yes or no to this statement, ""The GOP must seize the center or die,"" a debate from Intelligence Squared, U.S. I'm John Donvan. We have four superbly qualified debaters who will be arguing for and against this motion.

As always, our debate goes in three rounds and then the audience votes to choose a winner. And only one side wins. The GOP must seize the center or die. On the side arguing for that motion, let's welcome David Brooks, an op-ed columnist for the New York Times. His partner is Mickey Edwards, a former U.S. congressman from Oklahoma. The GOP must seize the center or die. Arguing against that motion, Laura Ingraham, host of “The Laura Ingraham Show.” And her partner, Ralph Reed, founder and chairman of the Faith and Freedom Coalition. Our motion is the GOP must seize the center or die. Let's meet the team arguing for the motion. First, ladies and gentlemen, David Brooks. you are an op-ed columnist for the New York Times. In that position, often referred to as a moderate, you get a lot of flack from both sides. A few examples, the conservative blogger, Michelle Malkin wrote of you that you are ""the Eddie Haskell of the fourth estate."" The liberal writer, Jonathan Chait writes that you are-- ""David Brooks is now totally pathological."" My question to you, as somebody who's sort of getting it from both sides, does it hurt more when the zingers come from the left or the right to your bruised body?",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,proponent,It hurts more when it comes from intelligent people. So that would be the right.,pro,55,human_transcript,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"Thank you, David Brooks. And, David--",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,proponent,"That's my last one I'm giving you, Laura.",pro,55,human_transcript,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"David, your partner is?",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,proponent,The lovely and glamorous Mickey Edwards.,pro,55,human_transcript,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"Ladies and gentlemen, Mickey Edwards.

Mickey, you served as chairman of the American Conservative Union.

You are a founding trustee of the Heritage Foundation. You spent 16 years in Congress as a member of the House Republican leadership. That sounds pretty conservative. But if you ran for office today on the same platform you used to run on, would you be conservative enough to get nominated?",neutral,,,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,proponent,Are you kidding? I wouldn't get 5 percent of the vote.,pro,55,human_transcript,none,,
041713%20gop,The GOP Must Seize The Center Or Die,1,moderator,"Wow. That's pretty serious. Ladies and gentlemen, we want to hear more about that in detail. Mickey Edwards, ladies and gentlemen.

Our motion is the GOP must seize the center or die. And here to argue against that motion, let's welcome first Laura Ingraham.

Laura, you host the eponymous show, “The Laura Ingraham Show.” You were not happy with how the Mitt Romney campaign went in 2012. And you said quite plainly that election should have been a ""gimme,"" given the situation in the economy, among other things. And you said this: ""if you can't beat Barack Obama with that record, then shut down the party."" How literally did you mean that?",neutral,,,none,,
