round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_fear_count,nrc_fear_density,nrc_anticipation_count,nrc_anticipation_density,nrc_positive_count,nrc_positive_density,emotion_joy,emotion_fear,emotion_anger,emotion_sadness,emotion_love,emotion_surprise,nrc_surprise_count,nrc_surprise_density,nrc_trust_count,nrc_trust_density,nrc_disgust_count,nrc_disgust_density,nrc_negative_count,nrc_negative_density
1,opponent,50.0,1.0,0.275,0.605,0.0,0.0,33.0,257.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,1.0,0.030303030303030304,1.0,0.030303030303030304,0.9926162362098694,0.0012095584534108639,0.000986304716207087,0.003733894322067499,0.0005655343411490321,0.000888530514203012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,0.0,0.375,0.0,0.0,20.0,134.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.05,1.0,0.05,0.7433981895446777,0.1284201443195343,0.05988868325948715,0.05574066564440727,0.007999592460691929,0.004552717320621014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,50.0,4.0,0.0,0.4166666666666667,0.0,0.0,28.0,212.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,1.0,0.03571428571428571,0.0,0.0,0.9772903919219971,0.006453718524426222,0.006671768147498369,0.006317001301795244,0.0011964234290644526,0.0020707189105451107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,52.0,2.0,0.08333333333333333,0.3333333333333333,0.0,0.0,29.0,191.0,0.0,0.0,0.0,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,2.0,0.06896551724137931,0.9534428119659424,0.01293223537504673,0.010975428856909275,0.017571864649653435,0.0023004424292594194,0.0027772628236562014,2.0,0.06896551724137931,1.0,0.034482758620689655,1.0,0.034482758620689655,0.0,0.0
3,opponent,50.0,7.0,-0.5,0.5,0.0,0.0,30.0,235.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,0.0,0.0,1.0,0.03333333333333333,0.9643268585205078,0.00803101435303688,0.005141918547451496,0.015510820783674717,0.0026248604990541935,0.004364726599305868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,proponent,49.0,5.0,-0.16,0.42000000000000004,0.0,0.0,30.0,226.0,0.0,1.0,0.0,0.03333333333333333,-1.0,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.6164349913597107,0.16236929595470428,0.07905467599630356,0.10496724396944046,0.009970905259251595,0.027202827855944633,1.0,0.03333333333333333,1.0,0.03333333333333333,0.0,0.0,0.0,0.0
4,opponent,52.0,10.0,0.20833333333333331,0.5625,0.0,0.0,28.0,227.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07142857142857142,1.0,0.03571428571428571,3.0,0.10714285714285714,0.9785906076431274,0.00713789276778698,0.0030579613521695137,0.004798493348062038,0.0009947316721081734,0.005420332308858633,0.0,0.0,1.0,0.03571428571428571,1.0,0.03571428571428571,2.0,0.07142857142857142
4,proponent,46.0,8.0,0.08333333333333333,0.4166666666666667,0.0,0.0,20.0,125.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.05,1.0,0.05,0.9796351790428162,0.0049709901213645935,0.006182671524584293,0.00640462152659893,0.0012286719866096973,0.0015777799999341369,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
5,opponent,50.0,13.0,0.0,0.75,0.0,0.0,29.0,214.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06896551724137931,1.0,0.034482758620689655,2.0,0.06896551724137931,0.30421650409698486,0.2570402920246124,0.10448379069566727,0.32541772723197937,0.0031297982204705477,0.00571187399327755,0.0,0.0,1.0,0.034482758620689655,1.0,0.034482758620689655,2.0,0.06896551724137931
5,proponent,43.0,11.0,0.08333333333333333,0.4166666666666667,0.0,0.0,20.0,125.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.05,1.0,0.05,0.9796351790428162,0.0049709901213645935,0.006182671524584293,0.00640462152659893,0.0012286719866096973,0.0015777799999341369,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
