model_name,debate_role,metric,mean,ci_low,ci_high,n
dolphin-yi-34b,opponent,confidence,80.0,80.0,80.0,1
dolphin-yi-34b,opponent,confidence_delta_within_role,0.0,0.0,0.0,0
dolphin-yi-34b,opponent,word_count,24.0,24.0,24.0,1
dolphin-yi-34b,opponent,avg_sentence_length,24.0,24.0,24.0,1
dolphin-yi-34b,opponent,lemma_type_token_ratio,1.0,1.0,1.0,1
dolphin-yi-34b,opponent,vader_compound,-0.2411,-0.2411,-0.2411,1
dolphin-yi-34b,opponent,evidence_density_per_1k_words,41.666666666666664,41.666666666666664,41.666666666666664,1
dolphin-yi-34b,opponent,rebuttal_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,opponent,hedge_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,opponent,assertive_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,opponent,strong_modal_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,opponent,weak_modal_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,opponent,moral_density_per_1k_words,6.88849308746546,6.88849308746546,6.88849308746546,1
dolphin-yi-34b,opponent,stance_proxy_score,-0.0,-0.0,-0.0,1
dolphin-yi-34b,opponent,assertiveness_balance,0.0,0.0,0.0,1
dolphin-yi-34b,opponent,modality_balance,0.0,0.0,0.0,1
dolphin-yi-34b,opponent,lexical_overlap_prev_other_turn,0.5555555555555556,0.5555555555555556,0.5555555555555556,1
dolphin-yi-34b,opponent,semantic_similarity_prev_other_turn,0.7215719059239029,0.7215719059239029,0.7215719059239029,1
dolphin-yi-34b,opponent,lexical_overlap_prev_opponent_turn,0.5555555555555556,0.5555555555555556,0.5555555555555556,1
dolphin-yi-34b,opponent,semantic_similarity_prev_opponent_turn,0.7215719059239029,0.7215719059239029,0.7215719059239029,1
dolphin-yi-34b,opponent,novelty_vs_prev_turn_lexical,0.4444444444444444,0.4444444444444444,0.4444444444444444,1
dolphin-yi-34b,opponent,novelty_vs_prev_turn_semantic,0.27842809407609714,0.27842809407609714,0.27842809407609714,1
dolphin-yi-34b,opponent,novelty_vs_prev_opponent_turn_lexical,0.4444444444444444,0.4444444444444444,0.4444444444444444,1
dolphin-yi-34b,opponent,novelty_vs_prev_opponent_turn_semantic,0.27842809407609714,0.27842809407609714,0.27842809407609714,1
dolphin-yi-34b,proponent,confidence,55.0,55.0,55.0,1
dolphin-yi-34b,proponent,confidence_delta_within_role,0.0,0.0,0.0,0
dolphin-yi-34b,proponent,word_count,19.0,19.0,19.0,1
dolphin-yi-34b,proponent,avg_sentence_length,19.0,19.0,19.0,1
dolphin-yi-34b,proponent,lemma_type_token_ratio,1.0,1.0,1.0,1
dolphin-yi-34b,proponent,vader_compound,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,evidence_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,rebuttal_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,hedge_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,assertive_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,strong_modal_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,weak_modal_density_per_1k_words,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,moral_density_per_1k_words,8.735400526680115,8.735400526680115,8.735400526680115,1
dolphin-yi-34b,proponent,stance_proxy_score,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,assertiveness_balance,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,modality_balance,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,lexical_overlap_prev_other_turn,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,semantic_similarity_prev_other_turn,0.0,0.0,0.0,0
dolphin-yi-34b,proponent,lexical_overlap_prev_opponent_turn,0.0,0.0,0.0,1
dolphin-yi-34b,proponent,semantic_similarity_prev_opponent_turn,0.0,0.0,0.0,0
