rank,term,count,per_1k_tokens,total_tokens
1,evidence,1010,22.373842541314076,45142
2,ca,971,21.509902086748482,45142
3,sa,963,21.332683531965795,45142
4,specific,503,11.142616631961367,45142
5,agents,501,11.098311993265694,45142
6,questions,496,10.987550396526517,45142
7,control,371,8.218510478047051,45142
8,argues,367,8.12990120065571,45142
9,moves,355,7.86407336848168,45142
10,agreements,354,7.841921049133845,45142
11,round,353,7.819768729786008,45142
12,detected,351,7.775464091090337,45142
13,epistemic,350,7.753311771742501,45142
14,moderator,350,7.753311771742501,45142
15,recap,350,7.753311771742501,45142
16,bridge,350,7.753311771742501,45142
17,disagreements,350,7.753311771742501,45142
18,civility,350,7.753311771742501,45142
19,scores,350,7.753311771742501,45142
20,potential,346,7.664702494351158,45142
21,acknowledge,333,7.376722342829294,45142
22,claim,314,6.955828275220416,45142
23,government,294,6.512781888263701,45142
24,health,263,5.826059988480794,45142
25,manipulation,246,5.449470559567587,45142
