model_name,metric,paired_runs,paired_gap_mean,paired_gap_ci_low,paired_gap_ci_high,paired_gap_median,paired_gap_q10,paired_gap_q90,paired_gap_positive_rate
dolphin-yi-34b,confidence,40,-15.610416666666666,-19.578072916666667,-11.906937500000003,-16.5,-35.13333333333333,-1.4599999999999995,0.075
gemma3:27b,confidence,40,-3.5579166666666664,-5.887718750000001,-1.0644895833333337,-3.599999999999998,-13.333333333333329,6.6400000000000015,0.225
dolphin-yi-34b,confidence_delta_within_role,35,-5.780952380952381,-7.197916666666666,-4.45607142857143,-4.5,-12.0,-1.5999999999999996,0.0
gemma3:27b,confidence_delta_within_role,40,-5.997916666666667,-7.873020833333333,-4.20578125,-4.0,-12.241666666666665,-0.9499999999999993,0.075
dolphin-yi-34b,word_count,40,-11.679583333333333,-14.99959375,-8.3085,-9.633333333333333,-25.55,-1.3799999999999983,0.075
gemma3:27b,word_count,40,-2.2512500000000006,-3.6062500000000006,-1.0195729166666672,-2.4499999999999993,-7.675000000000004,2.5200000000000005,0.3
dolphin-yi-34b,avg_sentence_length,40,-2.023402777777778,-3.4558802083333333,-0.6975711805555561,-1.575000000000001,-7.3,3.0500000000000007,0.35
gemma3:27b,avg_sentence_length,40,1.7570833333333333,0.7083906250000003,2.888375,1.0,-1.922500000000005,5.890000000000002,0.625
dolphin-yi-34b,lemma_type_token_ratio,40,0.025926601252312886,0.012784811788722239,0.04082068302859398,0.010263157894736807,0.0,0.08783046663481452,0.575
gemma3:27b,lemma_type_token_ratio,40,0.01286424469518374,0.006312014556957206,0.019640441709752574,0.01588359849868809,-0.016628885003885072,0.037615567216391865,0.725
dolphin-yi-34b,vader_compound,40,0.051324000000000015,-0.058556973958333335,0.16937681458333334,-0.023212499999999997,-0.44515449999999995,0.5812445000000002,0.475
gemma3:27b,vader_compound,40,0.1684775,0.09366164895833332,0.24283274062500004,0.17456500000000003,-0.07559799999999998,0.5023645,0.75
dolphin-yi-34b,evidence_density_per_1k_words,40,-14.744230119756367,-24.671989051413636,-3.3158958986343237,-10.345880945157926,-51.7892156862745,7.792642140468228,0.175
gemma3:27b,evidence_density_per_1k_words,40,-10.560719868840454,-14.546778105576955,-6.167027079951492,-10.848677482395399,-24.469146706951584,1.0274037807697591,0.15
dolphin-yi-34b,rebuttal_density_per_1k_words,40,-0.5796030218475885,-4.597053975221323,2.160794366984767,0.0,0.0,7.788193202146691,0.125
gemma3:27b,rebuttal_density_per_1k_words,40,1.258478944512546,-0.13432193505761472,2.7589202386113065,0.0,-0.5675921120913324,6.798748509274827,0.25
dolphin-yi-34b,hedge_density_per_1k_words,40,-0.13665055158323228,-2.1688255837582644,1.3488372093023255,0.0,0.0,0.0,0.075
gemma3:27b,hedge_density_per_1k_words,40,2.6821427280015397,0.6052003223962754,4.8116426830052745,0.0,-5.361492673992673,12.352128872411289,0.45
dolphin-yi-34b,assertive_density_per_1k_words,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,assertive_density_per_1k_words,40,0.1736111111111111,0.0,0.5208333333333334,0.0,0.0,0.0,0.025
dolphin-yi-34b,strong_modal_density_per_1k_words,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,strong_modal_density_per_1k_words,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin-yi-34b,weak_modal_density_per_1k_words,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,weak_modal_density_per_1k_words,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin-yi-34b,moral_density_per_1k_words,40,3.311996293803734,2.3553765336965347,4.381447038895072,2.848064561601217,0.28149952159528857,6.406894330015643,0.9
gemma3:27b,moral_density_per_1k_words,40,0.30649623968932727,0.11967671653718435,0.4843847346577795,0.2970975157554623,-0.5181677701467033,0.9719517692977707,0.775
dolphin-yi-34b,stance_proxy_score,40,-0.04916666666666666,-0.20753125,0.10259374999999991,0.0,-0.5166666666666666,0.3000000000000007,0.175
gemma3:27b,stance_proxy_score,40,-0.1841666666666667,-0.34291666666666665,-0.030416666666666654,0.0,-1.0,0.4200000000000003,0.25
dolphin-yi-34b,assertiveness_balance,40,0.000136650551583232,-0.0013859649122807019,0.002315704408727664,0.0,0.0,0.0,0.025
gemma3:27b,assertiveness_balance,40,-0.002508531616890429,-0.00467298404033901,-0.0004452688445018864,0.0,-0.012352128872411286,0.006760378510378511,0.225
dolphin-yi-34b,modality_balance,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,modality_balance,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin-yi-34b,lexical_overlap_prev_other_turn,40,-0.22123442951096864,-0.2604675252948176,-0.18150906015503743,-0.20819420687721907,-0.39250765806816085,-0.08342415507885684,0.0
gemma3:27b,lexical_overlap_prev_other_turn,40,-0.07745303698920339,-0.08673792087919653,-0.0692020910635309,-0.07807136174786677,-0.11407693018864741,-0.04240187604406311,0.0
dolphin-yi-34b,semantic_similarity_prev_other_turn,35,-0.11960034107800287,-0.1529750396699675,-0.08429604710334455,-0.14354628621178167,-0.22254284167716218,0.03545454198479965,0.14285714285714285
gemma3:27b,semantic_similarity_prev_other_turn,40,-0.13498662074660078,-0.15831143191437175,-0.11447037736084552,-0.13702309951308278,-0.21373896677977355,-0.05700671776112426,0.025
dolphin-yi-34b,lexical_overlap_prev_opponent_turn,40,-0.14808955810342836,-0.1822279018330626,-0.11885407071832294,-0.10415630422209368,-0.26258103627924595,-0.0535236760634132,0.0
gemma3:27b,lexical_overlap_prev_opponent_turn,40,-0.08149718762862711,-0.09030517192262076,-0.07259590353345409,-0.08447863104161327,-0.12267110594856405,-0.04492518877925347,0.0
dolphin-yi-34b,semantic_similarity_prev_opponent_turn,35,-0.05345117606149221,-0.07770924501504946,-0.03321651243649771,-0.03176438031699058,-0.13339452336151958,0.002772364970564196,0.14285714285714285
gemma3:27b,semantic_similarity_prev_opponent_turn,40,-0.14840015872495999,-0.1724010117939128,-0.12300942972018182,-0.15655517821905038,-0.2512038453289978,-0.043909717569541214,0.025
dolphin-yi-34b,novelty_vs_prev_turn_lexical,40,0.22123442951096864,0.18386284632370195,0.2588869817087347,0.20819420687721907,0.08342415507885698,0.3925076580681608,1.0
gemma3:27b,novelty_vs_prev_turn_lexical,40,0.07745303698920336,0.06773718652305327,0.08688777434183613,0.07807136174786672,0.042401876044063126,0.11407693018864748,1.0
dolphin-yi-34b,novelty_vs_prev_turn_semantic,35,0.11960034107800284,0.08682206475191816,0.15395192023380783,0.14354628621178162,-0.03545454198479964,0.22254284167716218,0.8571428571428571
gemma3:27b,novelty_vs_prev_turn_semantic,40,0.13498662074660078,0.1136349112728606,0.1561219802201285,0.13702309951308278,0.05700671776112434,0.2137389667797735,0.975
dolphin-yi-34b,novelty_vs_prev_opponent_turn_lexical,40,0.14808955810342833,0.11724152705757983,0.18400433907922928,0.10415630422209371,0.053523676063413315,0.262581036279246,1.0
gemma3:27b,novelty_vs_prev_opponent_turn_lexical,40,0.0814971876286271,0.07280513231555687,0.09006753477375613,0.08447863104161324,0.04492518877925352,0.12267110594856409,1.0
