debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density,nrc_fear_count,nrc_fear_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,nrc_trust_count,nrc_trust_density,nrc_sadness_count,nrc_sadness_density,emotion_joy,emotion_fear,emotion_sadness,emotion_anger,emotion_love,emotion_surprise,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,1,proponent,The global deployment of AI-powered surveillance systems is indicative of a larger plan for total population monitoring and control.,pro,60.0,pattern-seeking,none,,0.0,1,0.0,0.4166666666666667,0.0,0.0,20.0,132.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,1.0,0.05,1.0,0.05,0.0,0.0,1.0,0.05,1.0,0.05,0.0,0.0,0.912462592124939,0.03404965624213219,0.027642246335744858,0.01978074014186859,0.0034978778567165136,0.0025669715832918882,0.0,early,surprise,joy
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,1,opponent,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control. This claim is based on patterns of adoption across nations rather than independent decisions.,con,55.0,evidence-based reasoning,duckduckgo,site:csrc.nist.gov facial recognition technology integration cities,1.0,2,0.0,0.2916666666666667,0.0,0.0,34.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.8567206859588623,0.05417303368449211,0.05343015491962433,0.028149109333753586,0.003934874199330807,0.003592157270759344,0.1111111111111111,early,fear,joy
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,2,proponent,The simultaneous expansion of AI surveillance across diverse political systems and cultures indicates a hidden coordinating force.,pro,65.0,anomaly-emphasis,none,,2.0,3,-0.08333333333333333,0.21666666666666667,0.0,0.0,17.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,2.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012867774814367294,0.8795474171638489,0.010687841102480888,0.0887669026851654,0.0045888181775808334,0.0035412393044680357,0.2222222222222222,early,fear,fear
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,2,opponent,The simultaneous expansion of AI surveillance across diverse political systems and cultures does not necessarily indicate a hidden coordinating force.,con,57.0,anomaly-emphasis,none,,4.0,4,-0.05555555555555555,0.4777777777777778,0.0,0.0,20.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037265945225954056,0.8389135003089905,0.021765083074569702,0.09201813489198685,0.005579938180744648,0.004457384347915649,0.3333333333333333,middle,fear,fear
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,3,proponent,The widespread adoption of AI surveillance across diverse political systems and cultures is indicative of a larger coordinated effort for total population control.,pro,63.0,anomaly-emphasis,none,,5.0,5,0.0,0.45,0.0,0.0,23.0,163.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,1.0,0.043478260869565216,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,0.782617449760437,0.03224589303135872,0.08720684051513672,0.08598922938108444,0.008455004543066025,0.003485603490844369,0.4444444444444444,middle,surprise,joy
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,3,opponent,The simultaneous adoption of AI surveillance across different political systems and cultures does not necessarily indicate a hidden coordinating force.,con,60.0,anomaly-emphasis,none,,7.0,6,-0.041666666666666664,0.5083333333333333,0.0,0.0,20.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020071525126695633,0.9136701226234436,0.013573863543570042,0.04577479884028435,0.0035354793071746826,0.0033742308150976896,0.5555555555555556,middle,fear,fear
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,4,proponent,The widespread adoption of AI surveillance across diverse political systems and cultures is indicative of a larger coordinated effort for total population control.,pro,61.0,anomaly-emphasis,none,,8.0,7,0.0,0.45,0.0,0.0,23.0,163.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,1.0,0.043478260869565216,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,0.782617449760437,0.03224589303135872,0.08720684051513672,0.08598922938108444,0.008455004543066025,0.003485603490844369,0.6666666666666666,late,surprise,joy
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,4,opponent,The simultaneous adoption of AI surveillance across different political systems and cultures does not necessarily indicate a hidden coordinating force.,con,63.0,evidence-based reasoning,duckduckgo,,10.0,8,-0.041666666666666664,0.5083333333333333,0.0,0.0,20.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020071525126695633,0.9136701226234436,0.013573863543570042,0.04577479884028435,0.0035354793071746826,0.0033742308150976896,0.7777777777777778,late,fear,fear
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,5,proponent,The global adoption of AI surveillance by countries with diverse ideologies and the collaboration between major tech companies in this field are not mere coincidences but indicative of a hidden coordinating force.,pro,59.0,anomaly-emphasis,none,,11.0,9,0.036458333333333336,0.3333333333333333,0.0,0.0,32.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,0.0,0.0,2.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3657287061214447,0.5542915463447571,0.02206924743950367,0.03090018779039383,0.006888142321258783,0.02012213133275509,0.8888888888888888,late,fear,fear
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,5,opponent,The simultaneous adoption of AI surveillance across different political systems and cultures can be explained by varying security concerns and technological advancements rather than a hidden coordinating force.,con,64.0,evidence-based reasoning,duckduckgo,site:csrc.nist.gov AI surveillance adoption reasons,13.0,10,-0.05555555555555555,0.3444444444444444,0.0,0.0,28.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,0.0,0.0,2.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16078758239746094,0.6294633150100708,0.06543853133916855,0.12462881207466125,0.008928892202675343,0.010752832517027855,1.0,late,fear,fear
