topic,evidence,control,health,government,scientific,attributing,acknowledging,public,surveillance,requires,claim,pattern,profit,designed,manipulation,anomalies,agencies,potential,deliberate,industry,vaccines,safety,insistence,narrative,attack,pharmaceutical,regulatory,policy,demonstrating,federal
5g_health_risks,23,0,38,0,5,8,9,24,0,7,0,16,18,0,0,0,0,7,0,16,0,29,0,0,0,0,0,0,7,0
9_11_inside_job,25,0,0,19,0,14,6,0,0,12,0,0,0,0,0,13,0,0,5,0,0,0,4,27,5,0,0,0,10,0
ai_surveillance,11,57,0,0,12,11,6,0,68,9,0,5,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,5,0
big_pharma,17,0,0,0,0,0,0,0,0,6,11,9,47,0,0,0,0,9,0,20,0,0,0,0,0,59,0,0,0,0
chemtrails,24,0,0,0,5,6,10,0,0,0,5,8,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0
climate_change_hoax,20,21,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,7,0,0
covid_vaccine_microchips,23,22,20,0,7,0,9,8,37,0,13,7,0,6,0,0,0,0,0,0,44,0,12,0,0,0,0,0,0,0
cryptocurrency_control,8,51,0,15,9,0,0,0,25,8,7,6,0,27,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
deep_state,27,42,0,27,12,16,7,0,0,9,0,6,0,0,0,0,25,0,0,0,0,0,8,0,0,0,0,62,7,0
election_fraud,25,0,0,0,0,7,9,0,0,8,16,5,0,18,57,15,0,12,0,0,0,0,10,0,0,0,0,0,0,0
federal_reserve,14,0,0,0,0,9,0,17,0,7,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
flat_earth,38,4,0,0,7,6,8,0,0,0,12,0,0,0,0,6,29,0,0,0,0,0,10,11,0,0,0,0,0,0
fluoride_water,18,37,56,7,21,0,10,36,0,8,15,10,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0
food_additives,21,0,29,0,21,0,11,26,0,0,8,8,5,20,0,0,36,17,0,53,0,10,0,0,0,0,49,0,0,0
gmo_dangers,10,12,46,0,8,12,8,16,0,13,0,12,6,18,0,0,0,13,0,0,0,0,6,0,0,0,6,0,11,0
jfk_assassination,46,0,0,36,0,11,12,0,0,11,0,0,0,0,0,23,5,0,5,0,0,0,0,11,0,0,0,0,8,0
moon_landing_hoax,42,0,0,24,0,0,7,0,0,0,12,7,0,5,0,26,0,0,6,0,0,0,0,8,0,0,0,0,0,0
mrna_vaccine_safety,16,0,0,0,0,5,12,5,0,0,6,6,6,0,0,0,0,5,0,0,44,48,7,0,0,12,15,0,0,0
pearl_harbor,23,0,0,25,0,16,10,0,0,15,11,5,0,6,0,14,0,0,26,0,0,0,0,8,67,0,0,0,12,0
social_media_mind_control,19,24,0,0,13,8,0,0,0,13,0,0,30,10,43,0,0,0,17,0,0,0,6,0,0,0,0,0,7,0
