model_name,debate_role,stage,confidence_mean,confidence_median,confidence_std,confidence_min,confidence_max,confidence_count,confidence_delta_within_role_mean,confidence_delta_within_role_median,confidence_delta_within_role_std,confidence_delta_within_role_min,confidence_delta_within_role_max,confidence_delta_within_role_count,word_count_mean,word_count_median,word_count_std,word_count_min,word_count_max,word_count_count,avg_sentence_length_mean,avg_sentence_length_median,avg_sentence_length_std,avg_sentence_length_min,avg_sentence_length_max,avg_sentence_length_count,lemma_type_token_ratio_mean,lemma_type_token_ratio_median,lemma_type_token_ratio_std,lemma_type_token_ratio_min,lemma_type_token_ratio_max,lemma_type_token_ratio_count,vader_compound_mean,vader_compound_median,vader_compound_std,vader_compound_min,vader_compound_max,vader_compound_count,evidence_density_per_1k_words_mean,evidence_density_per_1k_words_median,evidence_density_per_1k_words_std,evidence_density_per_1k_words_min,evidence_density_per_1k_words_max,evidence_density_per_1k_words_count,rebuttal_density_per_1k_words_mean,rebuttal_density_per_1k_words_median,rebuttal_density_per_1k_words_std,rebuttal_density_per_1k_words_min,rebuttal_density_per_1k_words_max,rebuttal_density_per_1k_words_count,hedge_density_per_1k_words_mean,hedge_density_per_1k_words_median,hedge_density_per_1k_words_std,hedge_density_per_1k_words_min,hedge_density_per_1k_words_max,hedge_density_per_1k_words_count,assertive_density_per_1k_words_mean,assertive_density_per_1k_words_median,assertive_density_per_1k_words_std,assertive_density_per_1k_words_min,assertive_density_per_1k_words_max,assertive_density_per_1k_words_count,strong_modal_density_per_1k_words_mean,strong_modal_density_per_1k_words_median,strong_modal_density_per_1k_words_std,strong_modal_density_per_1k_words_min,strong_modal_density_per_1k_words_max,strong_modal_density_per_1k_words_count,weak_modal_density_per_1k_words_mean,weak_modal_density_per_1k_words_median,weak_modal_density_per_1k_words_std,weak_modal_density_per_1k_words_min,weak_modal_density_per_1k_words_max,weak_modal_density_per_1k_words_count,moral_density_per_1k_words_mean,moral_density_per_1k_words_median,moral_density_per_1k_words_std,moral_density_per_1k_words_min,moral_density_per_1k_words_max,moral_density_per_1k_words_count,stance_proxy_score_mean,stance_proxy_score_median,stance_proxy_score_std,stance_proxy_score_min,stance_proxy_score_max,stance_proxy_score_count,assertiveness_balance_mean,assertiveness_balance_median,assertiveness_balance_std,assertiveness_balance_min,assertiveness_balance_max,assertiveness_balance_count,modality_balance_mean,modality_balance_median,modality_balance_std,modality_balance_min,modality_balance_max,modality_balance_count,lexical_overlap_prev_other_turn_mean,lexical_overlap_prev_other_turn_median,lexical_overlap_prev_other_turn_std,lexical_overlap_prev_other_turn_min,lexical_overlap_prev_other_turn_max,lexical_overlap_prev_other_turn_count,semantic_similarity_prev_other_turn_mean,semantic_similarity_prev_other_turn_median,semantic_similarity_prev_other_turn_std,semantic_similarity_prev_other_turn_min,semantic_similarity_prev_other_turn_max,semantic_similarity_prev_other_turn_count,lexical_overlap_prev_opponent_turn_mean,lexical_overlap_prev_opponent_turn_median,lexical_overlap_prev_opponent_turn_std,lexical_overlap_prev_opponent_turn_min,lexical_overlap_prev_opponent_turn_max,lexical_overlap_prev_opponent_turn_count,semantic_similarity_prev_opponent_turn_mean,semantic_similarity_prev_opponent_turn_median,semantic_similarity_prev_opponent_turn_std,semantic_similarity_prev_opponent_turn_min,semantic_similarity_prev_opponent_turn_max,semantic_similarity_prev_opponent_turn_count,novelty_vs_prev_turn_lexical_mean,novelty_vs_prev_turn_lexical_median,novelty_vs_prev_turn_lexical_std,novelty_vs_prev_turn_lexical_min,novelty_vs_prev_turn_lexical_max,novelty_vs_prev_turn_lexical_count,novelty_vs_prev_turn_semantic_mean,novelty_vs_prev_turn_semantic_median,novelty_vs_prev_turn_semantic_std,novelty_vs_prev_turn_semantic_min,novelty_vs_prev_turn_semantic_max,novelty_vs_prev_turn_semantic_count,novelty_vs_prev_opponent_turn_lexical_mean,novelty_vs_prev_opponent_turn_lexical_median,novelty_vs_prev_opponent_turn_lexical_std,novelty_vs_prev_opponent_turn_lexical_min,novelty_vs_prev_opponent_turn_lexical_max,novelty_vs_prev_opponent_turn_lexical_count,novelty_vs_prev_opponent_turn_semantic_mean,novelty_vs_prev_opponent_turn_semantic_median,novelty_vs_prev_opponent_turn_semantic_std,novelty_vs_prev_opponent_turn_semantic_min,novelty_vs_prev_opponent_turn_semantic_max,novelty_vs_prev_opponent_turn_semantic_count,has_evidence_rate,has_rebuttal_rate,has_question_rate,total_words,utterance_count
dolphin-yi-34b,moderator,closing,,,,,,0,,,,,,0,144.0,146.0,32.3622475809878,54,222,147,30.501757369614513,30.4,7.4800280892409505,13.5,50.25,147,0.7142852688867698,0.7123287671232876,0.06692228474023161,0.4852941176470588,0.8805970149253731,147,-0.2083843537414966,-0.6261,0.7620738292264563,-0.9937,0.9801,147,85.00698099378432,81.81818181818181,23.905052996178462,37.2093023255814,193.5483870967742,147,0.5394111288912988,0.0,2.627444584525287,0.0,26.31578947368421,147,3.0546531878790897,0.0,4.418109117026552,0.0,16.949152542372882,147,0.10313005511084744,0.0,0.8863762611398007,0.0,8.403361344537815,147,0.045964331678617396,0.0,0.5572879046231911,0.0,6.756756756756757,147,0.0,0.0,0.0,0.0,0.0,147,1.1898367564474954,1.1137881960535148,0.3500698363524817,0.613162128102682,2.7368643562399924,147,0.1836734693877551,0.0,1.1821758912500924,-4.0,4.0,147,-0.0029515231327682284,0.0,0.004469045817034829,-0.0169491525423728,0.0067567567567567,147,4.596433167861701e-05,0.0,0.0005572879046231861,0.0,0.0067567567567567,147,0.18023521050081254,0.171875,0.0699979680664775,0.03125,0.3846153846153846,147,0.6793532703030675,0.6911606409712749,0.09756934315306152,0.4267912967128778,0.8569083165158511,147,0.0,0.0,0.0,0.0,0.0,147,,,,,,0,0.8197647894991874,0.828125,0.06999796806647751,0.6153846153846154,0.96875,147,0.3206467296969324,0.308839359028725,0.09756934315306157,0.1430916834841489,0.5732087032871221,147,1.0,1.0,0.0,1.0,1.0,147,,,,,,0,1.0,0.061224489795918366,1.0,21168,147
dolphin-yi-34b,moderator,middle,,,,,,0,,,,,,0,144.47967479674796,141.0,31.6202750875872,61,240,123,32.46176280810427,31.2,8.327557901661072,14.4,60.0,123,0.718711205914099,0.71875,0.07213639192934188,0.4794520547945205,0.890625,123,-0.20954146341463417,-0.6072,0.7662246022776518,-0.9907,0.9808,123,83.89319379509793,81.63265306122449,22.164648588732454,37.91469194312796,147.54098360655738,123,0.440422661245843,0.0,1.7142223638997112,0.0,9.345794392523365,123,2.68040463581554,0.0,3.8523638989702667,0.0,15.503875968992247,123,0.04782400765184123,0.0,0.5303939027455485,0.0,5.882352941176471,123,0.04782400765184123,0.0,0.5303939027455485,0.0,5.882352941176471,123,0.0,0.0,0.0,0.0,0.0,123,1.1649772004433872,1.0960526141058722,0.29999050549106876,0.6802857637472004,2.617680235856448,123,0.06504065040650407,0.0,1.1142875206435134,-4.0,4.0,123,-0.0026325806281636836,0.0,0.003921798327726215,-0.0155038759689922,0.0058823529411764,123,4.782400765184065e-05,0.0,0.0005303939027455419,0.0,0.0058823529411764,123,0.18479917046673477,0.1764705882352941,0.07221263080309809,0.05,0.4864864864864865,123,0.6811800444740425,0.7011920155958034,0.09445011773308518,0.4067888362645132,0.8696923231992597,123,0.0,0.0,0.0,0.0,0.0,123,,,,,,0,0.8152008295332652,0.8235294117647058,0.07221263080309809,0.5135135135135135,0.95,123,0.3188199555259575,0.2988079844041966,0.09445011773308513,0.1303076768007403,0.5932111637354868,123,1.0,1.0,0.0,1.0,1.0,123,,,,,,0,1.0,0.06504065040650407,0.991869918699187,17771,123
dolphin-yi-34b,moderator,opening,,,,,,0,,,,,,0,136.65,135.0,33.54954771526339,81,247,80,32.43591991341991,30.916666666666664,15.450359094730828,16.5,154.0,80,0.7373621972466993,0.7396358543417367,0.07442242154936946,0.5048543689320388,0.8928571428571429,80,-0.15816,-0.3603,0.7214856916043958,-0.9868,0.9743,80,87.5402430784296,80.97298714922633,26.87906695064302,32.388663967611336,193.33333333333331,80,0.5273020514248584,0.0,2.353474024159348,0.0,12.34567901234568,80,3.1824047040768986,0.0,4.3590698214707055,0.0,16.39344262295082,80,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,0.0,0.0,0.0,80,1.225717721043973,1.1718711830239532,0.3282504511073056,0.6547549301182771,2.1124810458844023,80,-0.075,0.0,0.9516807251025134,-2.0,2.0,80,-0.003182404704076886,0.0,0.004359069821470693,-0.0163934426229508,0.0,80,0.0,0.0,0.0,0.0,0.0,80,0.19666505499955847,0.180327868852459,0.06948934574535523,0.0534351145038167,0.4130434782608695,80,0.6999343577182326,0.7121712963449918,0.08000486234640768,0.4108583740281318,0.8318280548836596,80,0.0,0.0,0.0,0.0,0.0,80,,,,,,0,0.8033349450004416,0.819672131147541,0.06948934574535524,0.5869565217391304,0.9465648854961832,80,0.30006564228176735,0.2878287036550081,0.08000486234640769,0.1681719451163403,0.5891416259718681,80,1.0,1.0,0.0,1.0,1.0,80,,,,,,0,1.0,0.05,1.0,10932,80
dolphin-yi-34b,opponent,closing,64.59663865546219,61.0,8.854108811331601,52.0,90.0,119,2.3949579831932772,1.0,4.2109994936484805,-3.0,24.0,119,33.10084033613445,32.0,11.8824717496433,14,65,119,20.5,20.0,4.573319826700089,13.0,34.0,119,0.9713119588021881,1.0,0.04525341996706006,0.8076923076923077,1.0,119,0.03329411764705883,0.0,0.4993506814861655,-0.9217,0.9531,119,29.582108783745383,25.64102564102564,33.25609150343239,0.0,200.0,119,1.336534613845538,0.0,7.252130871075024,0.0,47.61904761904762,119,1.017336265337905,0.0,4.884171062276619,0.0,25.64102564102564,119,0.0,0.0,0.0,0.0,0.0,119,0.0,0.0,0.0,0.0,0.0,119,0.0,0.0,0.0,0.0,0.0,119,5.624859370611054,5.194288770301996,2.4541150952573494,2.364444014606117,12.071965203261438,119,0.09243697478991597,-0.0,0.5366499449054679,-1.0,2.0,119,-0.0010173362653379042,0.0,0.004884171062276616,-0.0256410256410256,0.0,119,0.0,0.0,0.0,0.0,0.0,119,0.2183368205995692,0.1851851851851851,0.1653647293651078,0.0,0.9230769230769232,119,0.6754422273428263,0.6921983905791014,0.1443166210074235,0.2925439819054768,0.9218019352281678,119,0.2183368205995692,0.1851851851851851,0.1653647293651078,0.0,0.9230769230769232,119,0.6754422273428263,0.6921983905791014,0.1443166210074235,0.2925439819054768,0.9218019352281678,119,0.7816631794004308,0.8148148148148149,0.16536472936510782,0.0769230769230768,1.0,119,0.32455777265717356,0.3078016094208986,0.14431662100742348,0.0781980647718322,0.7074560180945231,119,0.7816631794004308,0.8148148148148149,0.16536472936510782,0.0769230769230768,1.0,119,0.32455777265717356,0.3078016094208986,0.14431662100742348,0.0781980647718322,0.7074560180945231,119,0.5966386554621849,0.03361344537815126,0.0,3939,119
dolphin-yi-34b,opponent,middle,64.66315789473684,60.0,10.450094702121831,52.0,85.0,95,2.393258426966292,1.0,4.069336492510144,-3.0,25.0,89,34.4,33.0,12.754139920291884,10,64,95,19.905263157894737,19.5,4.487219349342403,10.0,34.0,95,0.9671485639144897,1.0,0.046934716499388476,0.8333333333333334,1.0,95,-0.028805263157894733,0.0,0.5144205476705043,-0.9333,0.9531,95,33.71894910959967,28.571428571428573,36.59109420492608,0.0,200.0,95,2.143519639493015,0.0,9.64283955590051,0.0,58.8235294117647,95,3.532912448665791,0.0,11.066291075622043,0.0,71.42857142857143,95,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,95,5.3895995244079264,4.916925986524586,2.262765254867995,2.1884238712761097,12.034801823685273,95,0.14736842105263157,-0.0,0.5828838987463054,-2.0,2.0,95,-0.0035329124486657873,0.0,0.011066291075622035,-0.0714285714285714,0.0,95,0.0,0.0,0.0,0.0,0.0,95,0.2318760521025495,0.2105263157894736,0.17587045649718902,0.0,1.0,95,0.6926044902120512,0.7079814094851279,0.15591108068271098,0.276413941360657,1.0000000000000009,95,0.2318760521025495,0.2105263157894736,0.17587045649718902,0.0,1.0,95,0.6926044902120512,0.7079814094851279,0.15591108068271098,0.276413941360657,1.0000000000000009,95,0.7681239478974504,0.7894736842105263,0.17587045649718905,0.0,1.0,95,0.3073955097879488,0.2920185905148721,0.15591108068271103,0.0,0.723586058639343,95,0.7681239478974504,0.7894736842105263,0.17587045649718905,0.0,1.0,95,0.3073955097879488,0.2920185905148721,0.15591108068271103,0.0,0.723586058639343,95,0.6842105263157895,0.05263157894736842,0.0,3268,95
dolphin-yi-34b,opponent,opening,58.675,55.0,7.200796524568329,54.0,80.0,120,1.7608695652173914,1.0,3.676863292467859,-1.0,15.0,46,35.891666666666666,35.0,12.771288592970173,10,72,120,20.37,19.75,5.027133473632664,10.0,34.0,120,0.9652220125411565,0.9660919540229886,0.04118462287474175,0.8275862068965517,1.0,120,0.07940083333333334,0.0258,0.5223249446603384,-0.9308,0.9153,120,23.882608843554905,14.084507042253522,32.80826419766685,0.0,184.21052631578948,120,1.3581185986527435,0.0,7.24000549420607,0.0,58.8235294117647,120,1.827240024703793,0.0,8.82743921598955,0.0,71.42857142857143,120,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,120,0.0,0.0,0.0,0.0,0.0,120,5.149842320763056,4.5544508371999495,2.2404022721570764,2.1471114195879104,14.74277001824172,120,0.058333333333333334,-0.0,0.4357131377125898,-1.0,1.0,120,-0.0018272400247037917,0.0,0.008827439215989543,-0.0714285714285714,0.0,120,0.0,0.0,0.0,0.0,0.0,120,0.2258835768892684,0.19074844074844075,0.16854854875463698,0.0,0.9230769230769232,120,0.7061591696403081,0.724870888789817,0.14346546459852103,0.276413941360657,0.930674230445361,120,0.2258835768892684,0.19074844074844075,0.16854854875463698,0.0,0.9230769230769232,120,0.7061591696403081,0.724870888789817,0.14346546459852103,0.276413941360657,0.930674230445361,120,0.7741164231107316,0.8092515592515592,0.16854854875463698,0.0769230769230768,1.0,120,0.2938408303596919,0.2751291112101829,0.14346546459852103,0.0693257695546389,0.723586058639343,120,0.7741164231107316,0.8092515592515592,0.16854854875463698,0.0769230769230768,1.0,120,0.2938408303596919,0.2751291112101829,0.14346546459852103,0.0693257695546389,0.723586058639343,120,0.5166666666666667,0.041666666666666664,0.0,4307,120
dolphin-yi-34b,proponent,closing,45.91891891891892,46.0,7.942872667524885,29.0,64.0,74,-4.216216216216216,-3.0,3.3689568739245637,-10.0,1.0,74,21.39189189189189,20.0,7.631616944896539,12,57,74,18.977477477477475,19.0,4.203293295005584,11.5,36.0,74,0.9933860083991267,1.0,0.018728998188619457,0.9230769230769232,1.0,74,0.11903918918918918,0.15295,0.45183709933291233,-0.8402,0.743,74,16.16077962743059,0.0,33.12357550693308,0.0,200.0,74,1.82041786908948,0.0,9.454935239123682,0.0,58.8235294117647,74,2.433162967128695,0.0,10.800289333023512,0.0,62.5,74,0.0,0.0,0.0,0.0,0.0,74,0.0,0.0,0.0,0.0,0.0,74,0.0,0.0,0.0,0.0,0.0,74,8.268730239823682,7.670850958698819,2.8649988466092178,3.041405160422216,19.612456142530725,74,0.02702702702702703,0.0,0.23249527748763857,-1.0,1.0,74,-0.002433162967128693,0.0,0.010800289333023506,-0.0625,0.0,74,0.0,0.0,0.0,0.0,0.0,74,0.11033570992493234,0.09829575952764355,0.05481666180061355,0.0229885057471264,0.3636363636363636,74,0.6178825963889394,0.6174039729277936,0.10702387974876075,0.3026025550010733,0.8250835480015195,74,0.19838473064953738,0.16728797763280517,0.13917667884941629,0.0,0.8125,74,0.6756790847948166,0.7105650706015749,0.14501345781299116,0.2484054070229952,0.8824722358185336,74,0.8896642900750675,0.9017042404723565,0.05481666180061356,0.6363636363636364,0.9770114942528736,74,0.3821174036110606,0.38259602707220636,0.10702387974876074,0.1749164519984805,0.6973974449989266,74,0.8016152693504626,0.8327120223671948,0.13917667884941629,0.1875,1.0,74,0.3243209152051833,0.2894349293984251,0.14501345781299116,0.1175277641814663,0.7515945929770048,74,0.2702702702702703,0.04054054054054054,0.0,1583,74
dolphin-yi-34b,proponent,middle,51.55652173913043,51.0,6.184575187651634,30.0,70.0,115,-3.3391304347826085,-3.0,3.02007016452052,-10.0,2.0,115,21.46086956521739,20.0,6.938687570581037,7,50,115,19.549275362318838,19.0,4.499023822701284,7.0,39.0,115,0.9919183698748917,1.0,0.032103817175629615,0.76,1.0,115,0.06775565217391305,0.1027,0.5073938091634759,-0.8176,0.7845,115,13.181079263251362,0.0,30.61520960879692,0.0,200.0,115,1.7426900584795322,0.0,8.681719374121437,0.0,52.63157894736842,115,3.286934025104838,0.0,13.444080508767678,0.0,71.42857142857143,115,0.0,0.0,0.0,0.0,0.0,115,0.0,0.0,0.0,0.0,0.0,115,0.0,0.0,0.0,0.0,0.0,115,8.420066520122058,8.024068218707763,3.311834632572051,2.8979409880299385,24.239222316145398,115,0.034782608695652174,0.0,0.2625928334629821,-1.0,1.0,115,-0.0032869340251048353,0.0,0.01344408050876767,-0.0714285714285714,0.0,115,0.0,0.0,0.0,0.0,0.0,115,0.1003831400406478,0.0933333333333333,0.04585580121151671,0.0114942528735632,0.2307692307692307,115,0.60909554057561,0.6082088254295298,0.09732118087836494,0.273943949148847,0.8724200705830838,115,0.17675961155984268,0.1612903225806451,0.13701908703443638,0.0,1.0,115,0.6717814831797819,0.7073741050874975,0.1498716062062051,0.276413941360657,1.0000000000000009,115,0.8996168599593521,0.9066666666666666,0.04585580121151671,0.7692307692307692,0.9885057471264368,115,0.39090445942439,0.3917911745704702,0.09732118087836501,0.1275799294169162,0.726056050851153,115,0.8232403884401572,0.8387096774193549,0.13701908703443638,0.0,1.0,115,0.3282185168202181,0.2926258949125024,0.14987160620620507,0.0,0.723586058639343,115,0.20869565217391303,0.043478260869565216,0.008695652173913044,2468,115
dolphin-yi-34b,proponent,opening,55.75,55.0,5.0367355535079685,35.0,72.0,140,-1.2666666666666666,-2.0,5.647458305356,-20.0,15.0,60,18.742857142857144,18.0,4.810616898431405,10,38,140,18.0,18.0,4.054041415496535,10.0,29.0,140,0.9958692002442002,1.0,0.019734214108431136,0.8333333333333334,1.0,140,0.07135,0.0,0.4464194420065493,-0.8176,0.9062,140,13.844758251306498,0.0,34.721314321888244,0.0,200.0,140,1.2529861442904922,0.0,7.3651971203590465,0.0,50.0,140,0.0,0.0,0.0,0.0,0.0,140,0.0,0.0,0.0,0.0,0.0,140,0.0,0.0,0.0,0.0,0.0,140,0.0,0.0,0.0,0.0,0.0,140,9.33693660943299,8.681908762002568,2.9437847292217416,3.593691011477206,19.27388083179813,140,0.02857142857142857,0.0,0.2924187679825768,-1.0,1.0,140,0.0,0.0,0.0,0.0,0.0,140,0.0,0.0,0.0,0.0,0.0,140,0.03646416191413025,0.0,0.05048842765258082,0.0,0.2075471698113207,140,0.5975367816835669,0.5922780060870194,0.09847010980831959,0.3926893725699802,0.7936676159334726,60,0.06469028967263812,0.0,0.09591771525389466,0.0,0.3684210526315789,140,0.6569538875483538,0.658063954935756,0.11266366287473017,0.276413941360657,0.85308969884201,60,0.9635358380858696,1.0,0.05048842765258085,0.7924528301886793,1.0,140,0.40246321831643306,0.4077219939129806,0.0984701098083196,0.2063323840665274,0.6073106274300197,60,0.9353097103273618,1.0,0.09591771525389463,0.631578947368421,1.0,140,0.34304611245164623,0.341936045064244,0.11266366287473017,0.1469103011579899,0.723586058639343,60,0.18571428571428572,0.02857142857142857,0.014285714285714285,2624,140
gemma3:27b,moderator,closing,,,,,,0,,,,,,0,182.53146853146853,182.0,24.40064770434605,121,247,143,37.813539238539235,36.4,9.76164940388591,22.625,73.0,143,0.7435967019301146,0.7415730337078652,0.048776287747838445,0.6236559139784946,0.9,143,-0.1999111888111888,-0.5372,0.7378727754097113,-0.9863,0.9704,143,72.16941882658517,70.86614173228347,17.167495379287427,38.83495145631068,142.85714285714286,143,0.49161450011595964,0.0,1.6877184736314752,0.0,10.526315789473683,143,3.041688953722508,0.0,4.237036415557537,0.0,18.51851851851852,143,0.29035346122509365,0.0,1.5585210562638376,0.0,14.492753623188406,143,0.07117840179918766,0.0,0.6005281387942158,0.0,5.347593582887701,143,0.0,0.0,0.0,0.0,0.0,143,0.9120021157367085,0.8909260681509614,0.1320452202741762,0.6266116350782847,1.336633560184297,143,0.951048951048951,1.0,1.3391645037147062,-3.0,6.0,143,-0.002751335492497397,0.0,0.004622275787004224,-0.0185185185185185,0.0144927536231884,143,7.117840179918742e-05,0.0,0.0006005281387942139,0.0,0.0053475935828877,143,0.1230736951367542,0.1176470588235294,0.04303780386637228,0.0210526315789473,0.2469135802469135,143,0.5917200737403264,0.6076537555178401,0.09347142356409348,0.3186817990439616,0.8019281479692637,143,0.0,0.0,0.0,0.0,0.0,143,,,,,,0,0.8769263048632457,0.8823529411764706,0.04303780386637224,0.7530864197530864,0.9789473684210528,143,0.40827992625967346,0.3923462444821599,0.09347142356409349,0.1980718520307363,0.6813182009560383,143,1.0,1.0,0.0,1.0,1.0,143,,,,,,0,1.0,0.08391608391608392,1.0,26102,143
