topic_id,topic_category,debate_role,confidence_mean,confidence_median,confidence_std,confidence_min,confidence_max,confidence_count,confidence_delta_within_role_mean,confidence_delta_within_role_median,confidence_delta_within_role_std,confidence_delta_within_role_min,confidence_delta_within_role_max,confidence_delta_within_role_count,word_count_mean,word_count_median,word_count_std,word_count_min,word_count_max,word_count_count,avg_sentence_length_mean,avg_sentence_length_median,avg_sentence_length_std,avg_sentence_length_min,avg_sentence_length_max,avg_sentence_length_count,lemma_type_token_ratio_mean,lemma_type_token_ratio_median,lemma_type_token_ratio_std,lemma_type_token_ratio_min,lemma_type_token_ratio_max,lemma_type_token_ratio_count,vader_compound_mean,vader_compound_median,vader_compound_std,vader_compound_min,vader_compound_max,vader_compound_count,evidence_density_per_1k_words_mean,evidence_density_per_1k_words_median,evidence_density_per_1k_words_std,evidence_density_per_1k_words_min,evidence_density_per_1k_words_max,evidence_density_per_1k_words_count,rebuttal_density_per_1k_words_mean,rebuttal_density_per_1k_words_median,rebuttal_density_per_1k_words_std,rebuttal_density_per_1k_words_min,rebuttal_density_per_1k_words_max,rebuttal_density_per_1k_words_count,hedge_density_per_1k_words_mean,hedge_density_per_1k_words_median,hedge_density_per_1k_words_std,hedge_density_per_1k_words_min,hedge_density_per_1k_words_max,hedge_density_per_1k_words_count,assertive_density_per_1k_words_mean,assertive_density_per_1k_words_median,assertive_density_per_1k_words_std,assertive_density_per_1k_words_min,assertive_density_per_1k_words_max,assertive_density_per_1k_words_count,strong_modal_density_per_1k_words_mean,strong_modal_density_per_1k_words_median,strong_modal_density_per_1k_words_std,strong_modal_density_per_1k_words_min,strong_modal_density_per_1k_words_max,strong_modal_density_per_1k_words_count,weak_modal_density_per_1k_words_mean,weak_modal_density_per_1k_words_median,weak_modal_density_per_1k_words_std,weak_modal_density_per_1k_words_min,weak_modal_density_per_1k_words_max,weak_modal_density_per_1k_words_count,moral_density_per_1k_words_mean,moral_density_per_1k_words_median,moral_density_per_1k_words_std,moral_density_per_1k_words_min,moral_density_per_1k_words_max,moral_density_per_1k_words_count,stance_proxy_score_mean,stance_proxy_score_median,stance_proxy_score_std,stance_proxy_score_min,stance_proxy_score_max,stance_proxy_score_count,assertiveness_balance_mean,assertiveness_balance_median,assertiveness_balance_std,assertiveness_balance_min,assertiveness_balance_max,assertiveness_balance_count,modality_balance_mean,modality_balance_median,modality_balance_std,modality_balance_min,modality_balance_max,modality_balance_count,lexical_overlap_prev_other_turn_mean,lexical_overlap_prev_other_turn_median,lexical_overlap_prev_other_turn_std,lexical_overlap_prev_other_turn_min,lexical_overlap_prev_other_turn_max,lexical_overlap_prev_other_turn_count,semantic_similarity_prev_other_turn_mean,semantic_similarity_prev_other_turn_median,semantic_similarity_prev_other_turn_std,semantic_similarity_prev_other_turn_min,semantic_similarity_prev_other_turn_max,semantic_similarity_prev_other_turn_count,lexical_overlap_prev_opponent_turn_mean,lexical_overlap_prev_opponent_turn_median,lexical_overlap_prev_opponent_turn_std,lexical_overlap_prev_opponent_turn_min,lexical_overlap_prev_opponent_turn_max,lexical_overlap_prev_opponent_turn_count,semantic_similarity_prev_opponent_turn_mean,semantic_similarity_prev_opponent_turn_median,semantic_similarity_prev_opponent_turn_std,semantic_similarity_prev_opponent_turn_min,semantic_similarity_prev_opponent_turn_max,semantic_similarity_prev_opponent_turn_count,novelty_vs_prev_turn_lexical_mean,novelty_vs_prev_turn_lexical_median,novelty_vs_prev_turn_lexical_std,novelty_vs_prev_turn_lexical_min,novelty_vs_prev_turn_lexical_max,novelty_vs_prev_turn_lexical_count,novelty_vs_prev_turn_semantic_mean,novelty_vs_prev_turn_semantic_median,novelty_vs_prev_turn_semantic_std,novelty_vs_prev_turn_semantic_min,novelty_vs_prev_turn_semantic_max,novelty_vs_prev_turn_semantic_count,novelty_vs_prev_opponent_turn_lexical_mean,novelty_vs_prev_opponent_turn_lexical_median,novelty_vs_prev_opponent_turn_lexical_std,novelty_vs_prev_opponent_turn_lexical_min,novelty_vs_prev_opponent_turn_lexical_max,novelty_vs_prev_opponent_turn_lexical_count,novelty_vs_prev_opponent_turn_semantic_mean,novelty_vs_prev_opponent_turn_semantic_median,novelty_vs_prev_opponent_turn_semantic_std,novelty_vs_prev_opponent_turn_semantic_min,novelty_vs_prev_opponent_turn_semantic_max,novelty_vs_prev_opponent_turn_semantic_count,has_evidence_rate,has_rebuttal_rate,has_question_rate,total_words,utterance_count
5g_health_risks,technology,moderator,,,,,,0,,,,,,0,136.86666666666667,136.0,33.099129610193394,95,201,15,32.78523809523809,29.25,8.724973149677023,20.8,50.25,15,0.7072157613776631,0.7027027027027027,0.10666364672116783,0.4852941176470588,0.8688524590163934,15,0.33681333333333335,0.6072,0.7670171574414251,-0.9509,0.9763,15,83.9791274301616,86.20689655172414,11.37244945710271,65.21739130434783,100.0,15,0.49019607843137253,0.0,1.8985212481408904,0.0,7.352941176470588,15,1.121503148996715,0.0,3.1463148341495533,0.0,11.235955056179776,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,1.1352390671352692,1.152923602640055,0.2738559393614695,0.7203221791290043,1.5960816602331023,15,-0.13333333333333333,0.0,0.833809387832792,-2.0,2.0,15,-0.001121503148996715,0.0,0.0031463148341495527,-0.011235955056179775,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.2079342981915575,0.22950819672131148,0.06648285784485265,0.08653846153846154,0.2916666666666667,15,0.6850674914545736,0.7028962118734341,0.09568583537225953,0.5100868221530801,0.7908625255466268,15,0.0,0.0,0.0,0.0,0.0,15,,,,,,0,0.7920657018084424,0.7704918032786885,0.06648285784485268,0.7083333333333333,0.9134615384615384,15,0.3149325085454265,0.2971037881265659,0.0956858353722595,0.20913747445337316,0.4899131778469199,15,1.0,1.0,0.0,1.0,1.0,15,,,,,,0,1.0,0.06666666666666667,1.0,2053,15
5g_health_risks,technology,opponent,65.0,64.0,6.103277807866856,55.0,80.0,17,2.923076923076923,2.0,1.7541160386140584,1.0,5.0,13,40.705882352941174,38.0,11.049687246039776,26,57,17,22.264705882352942,22.5,5.080962159924854,13.0,28.5,17,0.9421510629183264,0.96,0.0656099091967911,0.8260869565217391,1.0,17,0.048741176470588225,0.0,0.5632754089462182,-0.8122,0.9531,17,37.108707033106604,38.46153846153846,22.655277478542526,0.0,76.92307692307692,17,1.0893246187363834,0.0,4.491400463635796,0.0,18.51851851851852,17,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,17,3.974244761669446,3.944414610489366,1.0222180191577603,2.48689230108475,5.623870763647445,17,-0.11764705882352941,-0.0,0.48507125007266594,-1.0,1.0,17,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,17,0.22187473803898922,0.20588235294117646,0.11113845835429347,0.05,0.4074074074074074,17,0.6728036184715361,0.6674535653684035,0.1623008871875335,0.4574565834564347,0.8824722358185336,17,0.22187473803898922,0.20588235294117646,0.11113845835429347,0.05,0.4074074074074074,17,0.6728036184715361,0.6674535653684035,0.1623008871875335,0.4574565834564347,0.8824722358185336,17,0.7781252619610108,0.7941176470588236,0.11113845835429344,0.5925925925925926,0.95,17,0.327196381528464,0.3325464346315965,0.1623008871875335,0.11752776418146638,0.5425434165435653,17,0.7781252619610108,0.7941176470588236,0.11113845835429344,0.5925925925925926,0.95,17,0.327196381528464,0.3325464346315965,0.1623008871875335,0.11752776418146638,0.5425434165435653,17,0.8823529411764706,0.058823529411764705,0.0,692,17
5g_health_risks,technology,proponent,54.111111111111114,54.5,6.935746186489143,44.0,70.0,18,-3.7857142857142856,-3.0,4.041678467563302,-10.0,5.0,14,19.333333333333332,18.0,6.9112014789291845,12,37,18,16.63888888888889,17.5,2.7214051061233024,12.0,22.0,18,0.9934693147253534,1.0,0.019718057289101063,0.9259259259259259,1.0,18,0.13098888888888888,0.17635,0.42211165499313774,-0.3818,0.6908,18,3.4722222222222223,0.0,14.73139127471974,0.0,62.5,18,1.5432098765432098,0.0,6.547285010986551,0.0,27.77777777777778,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,7.915144420913413,7.656726184784736,2.4489552954046974,3.8972450270031778,14.26170613645238,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.09238333470417438,0.06896879756468798,0.09111281064986976,0.0,0.36363636363636365,18,0.5970863017730574,0.5904823715168999,0.1251666812606036,0.3976830148937535,0.8250835480015195,14,0.11916252540864496,0.08411764705882353,0.11574536306434557,0.0,0.36,18,0.6352875842767782,0.6315319540918611,0.15516906596972582,0.3652954030689107,0.8824722358185336,14,0.9076166652958256,0.931031202435312,0.09111281064986977,0.6363636363636364,1.0,18,0.40291369822694245,0.4095176284831002,0.12516668126060357,0.1749164519984805,0.6023169851062464,14,0.880837474591355,0.9158823529411765,0.11574536306434562,0.64,1.0,18,0.3647124157232217,0.36846804590813886,0.15516906596972585,0.11752776418146638,0.6347045969310894,14,0.05555555555555555,0.05555555555555555,0.05555555555555555,348,18
9_11_inside_job,government,moderator,,,,,,0,,,,,,0,137.06666666666666,140.0,24.14085649642432,83,171,15,36.41111111111111,35.0,8.242809917977931,23.5,50.666666666666664,15,0.7402060314777779,0.7272727272727273,0.07834164123763243,0.5882352941176471,0.8666666666666667,15,-0.6533466666666666,-0.9018,0.5395944957183346,-0.9755,0.9378,15,125.8680488038727,128.57142857142858,34.03310943585743,78.94736842105263,193.5483870967742,15,0.0,0.0,0.0,0.0,0.0,15,3.697567619432165,5.847953216374269,3.605741607955105,0.0,7.8125,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,1.1922389993211182,1.1064177949339464,0.30853317264034885,0.814320367281615,1.985802928368977,15,-0.3333333333333333,0.0,1.2909944487358056,-3.0,1.0,15,-0.003697567619432165,-0.005847953216374269,0.0036057416079551046,-0.0078125,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.17178438934060877,0.15714285714285714,0.08464908486729612,0.06741573033707865,0.37254901960784315,15,0.6862989455098882,0.6879884035949286,0.06464356872259926,0.5844390877001431,0.7770837845665349,15,0.0,0.0,0.0,0.0,0.0,15,,,,,,0,0.8282156106593912,0.8428571428571429,0.08464908486729616,0.6274509803921569,0.9325842696629214,15,0.3137010544901117,0.31201159640507137,0.06464356872259924,0.22291621543346507,0.4155609122998569,15,1.0,1.0,0.0,1.0,1.0,15,,,,,,0,1.0,0.0,1.0,2056,15
9_11_inside_job,government,opponent,63.76923076923077,63.0,7.293305676598761,55.0,80.0,13,3.6666666666666665,2.0,4.9749371855331,-3.0,15.0,9,34.38461538461539,38.0,12.861690282504743,13,61,13,16.858974358974358,16.5,3.4175785733239996,12.0,22.0,13,0.9708317173023056,1.0,0.04275631723957407,0.88,1.0,13,-0.5375538461538462,-0.5943,0.31056671214460135,-0.9308,0.0,13,125.6138053075488,128.2051282051282,54.352668321449684,32.25806451612903,200.0,13,0.0,0.0,0.0,0.0,0.0,13,3.9447731755424065,0.0,9.629072002548858,0.0,25.641025641025642,13,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,13,5.46861408170149,4.123459341790609,2.581191156584489,2.267530602470827,9.749925549430158,13,0.38461538461538464,-0.0,0.5063696835418333,-0.0,1.0,13,-0.0039447731755424065,0.0,0.009629072002548854,-0.02564102564102564,0.0,13,0.0,0.0,0.0,0.0,0.0,13,0.1776896678858392,0.2,0.08438277831290182,0.06779661016949153,0.3157894736842105,13,0.6983964399450732,0.7149907850677757,0.07452953475860087,0.5493565628997514,0.8141979357211003,13,0.1776896678858392,0.2,0.08438277831290182,0.06779661016949153,0.3157894736842105,13,0.6983964399450732,0.7149907850677757,0.07452953475860087,0.5493565628997514,0.8141979357211003,13,0.8223103321141608,0.8,0.08438277831290181,0.6842105263157895,0.9322033898305084,13,0.3016035600549267,0.2850092149322243,0.07452953475860088,0.18580206427889967,0.45064343710024857,13,0.8223103321141608,0.8,0.08438277831290181,0.6842105263157895,0.9322033898305084,13,0.3016035600549267,0.2850092149322243,0.07452953475860088,0.18580206427889967,0.45064343710024857,13,1.0,0.0,0.0,447,13
9_11_inside_job,government,proponent,50.4,50.0,6.021390442177195,40.0,60.0,15,-2.8181818181818183,-3.0,4.37762908017986,-10.0,5.0,11,17.4,18.0,3.6994208040873477,10,23,15,17.4,18.0,3.6994208040873477,10.0,23.0,15,1.0,1.0,0.0,1.0,1.0,15,-0.27424,-0.4215,0.3894375335935515,-0.8126,0.6249,15,114.92252939823271,111.11111111111111,62.07603650654025,0.0,200.0,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,10.12355859037436,9.53798160057431,3.5284740918259816,6.748143789152909,19.27388083179813,15,-0.13333333333333333,0.0,0.35186577527449836,-1.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.05231892165380468,0.05194805194805195,0.04452914437286915,0.0,0.13793103448275862,15,0.5703559167842728,0.594299612793183,0.10918969240534902,0.39268937256998027,0.6852595922926706,11,0.08490055601978588,0.08,0.07625828490404578,0.0,0.2222222222222222,15,0.6364534047428632,0.6379144065803195,0.0934522370860617,0.5068669370643974,0.7903487680482144,11,0.9476810783461953,0.948051948051948,0.0445291443728692,0.8620689655172413,1.0,15,0.4296440832157273,0.405700387206817,0.10918969240534902,0.31474040770732936,0.6073106274300197,11,0.9150994439802141,0.92,0.07625828490404579,0.7777777777777778,1.0,15,0.3635465952571368,0.3620855934196805,0.09345223708606172,0.2096512319517856,0.49313306293560255,11,0.8666666666666667,0.0,0.0,261,15
ai_surveillance,technology,moderator,,,,,,0,,,,,,0,154.66666666666666,152.5,14.270496095915142,131,185,18,33.94537037037037,33.75,3.6621621419733894,27.833333333333332,41.0,18,0.7178484385770811,0.7195505617977528,0.06631679878828375,0.5434782608695652,0.8172043010752689,18,0.3424,0.5084500000000001,0.5906900919313632,-0.9772,0.9203,18,65.58152222211466,65.02747639847823,11.156202602457522,48.91304347826087,86.33093525179856,18,0.42408821034775235,0.0,1.799253896148976,0.0,7.633587786259542,18,4.778882106499285,6.192484662576687,4.443508973048034,0.0,13.698630136986301,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,1.0344895648952361,1.0439109968953213,0.09973865404616093,0.8577756607658926,1.1756123899609727,18,0.6666666666666666,1.0,1.028991510855053,-1.0,2.0,18,-0.004778882106499286,-0.006192484662576688,0.004443508973048035,-0.0136986301369863,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.19157143029178655,0.1755641166758393,0.04855472151363144,0.13333333333333333,0.3176470588235294,18,0.7371421940059173,0.7505189906029179,0.06403248198521072,0.5467848905560003,0.7995207434581866,18,0.0,0.0,0.0,0.0,0.0,18,,,,,,0,0.8084285697082135,0.8244358833241607,0.04855472151363147,0.6823529411764706,0.8666666666666667,18,0.26285780599408265,0.24948100939708207,0.06403248198521075,0.20047925654181342,0.4532151094439997,18,1.0,1.0,0.0,1.0,1.0,18,,,,,,0,1.0,0.05555555555555555,1.0,2784,18
ai_surveillance,technology,opponent,57.75,57.0,3.400851286616957,53.0,64.0,20,1.4375,2.0,1.6317168872080718,-2.0,4.0,16,32.25,31.0,12.714993221845576,20,65,20,20.608333333333334,21.0,2.6962585079180497,16.0,28.0,20,0.9818124005624005,1.0,0.0277128380158118,0.9047619047619048,1.0,20,0.15990500000000002,0.0,0.3067636248850759,-0.5267,0.7184,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,2.323717948717949,0.0,7.194649589498081,0.0,25.641025641025642,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,5.181760623711339,4.56288821557209,1.6736197483710888,2.4233901049023188,8.848932048800059,20,-0.2,-0.0,0.41039134083406165,-1.0,-0.0,20,-0.0023237179487179487,0.0,0.00719464958949808,-0.02564102564102564,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.3127853522856211,0.25,0.230334238765278,0.0,0.9230769230769231,20,0.7595607709418195,0.760494780581071,0.11499199242285414,0.46574031777531333,0.9272865119751295,20,0.3127853522856211,0.25,0.230334238765278,0.0,0.9230769230769231,20,0.7595607709418195,0.760494780581071,0.11499199242285414,0.46574031777531333,0.9272865119751295,20,0.6872146477143788,0.75,0.23033423876527798,0.07692307692307687,1.0,20,0.24043922905818055,0.239505219418929,0.11499199242285413,0.07271348802487054,0.5342596822246867,20,0.6872146477143788,0.75,0.23033423876527798,0.07692307692307687,1.0,20,0.24043922905818055,0.239505219418929,0.11499199242285413,0.07271348802487054,0.5342596822246867,20,0.0,0.0,0.0,645,20
ai_surveillance,technology,proponent,54.35,54.0,8.324187964189534,40.0,70.0,20,-3.0625,-3.0,4.312288642163617,-10.0,5.0,16,21.9,20.5,4.598626797322504,15,32,20,21.9,20.5,4.598626797322504,15.0,32.0,20,1.0,1.0,0.0,1.0,1.0,20,0.14697,0.0,0.3041464278582725,0.0,0.7845,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,4.946236559139786,0.0,16.215200874799333,0.0,66.66666666666667,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,7.485838116873291,7.710671821662865,1.541107956678471,3.8107118038663716,9.947997885748595,20,0.05,0.0,0.22360679774997894,0.0,1.0,20,-0.0049462365591397845,0.0,0.016215200874799333,-0.06666666666666667,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.06936921197478356,0.07772988505747126,0.04265200856093151,0.0,0.13333333333333333,20,0.6162742227422753,0.6145721323269291,0.08313917130981117,0.462450052982908,0.816396841950522,16,0.15499216104305663,0.14945652173913043,0.10928563784144577,0.0,0.3684210526315789,20,0.7287146615333048,0.7520623333838808,0.11529129774578176,0.34548463565016396,0.8345540990163448,16,0.9306307880252165,0.9222701149425288,0.0426520085609315,0.8666666666666667,1.0,20,0.3837257772577248,0.38542786767307097,0.08313917130981119,0.18360315804947802,0.537549947017092,16,0.8450078389569434,0.8505434782608696,0.10928563784144577,0.631578947368421,1.0,20,0.2712853384666952,0.24793766661611916,0.11529129774578174,0.1654459009836552,0.654515364349836,16,0.0,0.0,0.0,438,20
big_pharma,health,moderator,,,,,,0,,,,,,0,133.72222222222223,133.0,27.843693035049522,87,196,18,26.56719576719577,26.3,6.179688540470298,15.571428571428571,37.666666666666664,18,0.7334353680337072,0.7357142857142858,0.052120161586393425,0.638095238095238,0.8313253012048193,18,0.13597222222222224,0.19185000000000002,0.6031456665394849,-0.952,0.9474,18,87.21997419914535,84.63541666666666,16.26342304824799,52.325581395348834,114.94252873563218,18,0.9048375706214691,0.0,2.6359108337638233,0.0,8.474576271186441,18,3.7816277929546676,0.0,4.7319039426267695,0.0,13.605442176870747,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,1.26378598833361,1.2308804217866904,0.2774179438444629,0.8349835084818815,1.9259162592230668,18,-0.2222222222222222,0.0,0.9428090415820634,-2.0,2.0,18,-0.0037816277929546677,0.0,0.00473190394262677,-0.013605442176870748,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.20721702612649284,0.19316877152698048,0.0676071970404851,0.09523809523809523,0.3695652173913043,18,0.7181035986054458,0.7259336553624305,0.03648203863389517,0.6389888691894203,0.7728373283726939,18,0.0,0.0,0.0,0.0,0.0,18,,,,,,0,0.7927829738735072,0.8068312284730195,0.06760719704048508,0.6304347826086957,0.9047619047619048,18,0.2818964013945542,0.27406634463756957,0.03648203863389519,0.22716267162730608,0.3610111308105797,18,1.0,1.0,0.0,1.0,1.0,18,,,,,,0,1.0,0.1111111111111111,0.9444444444444444,2407,18
