model_name,debate_role,round,confidence,confidence_delta_within_role,word_count,avg_sentence_length,lemma_type_token_ratio,vader_compound,evidence_density_per_1k_words,rebuttal_density_per_1k_words,hedge_density_per_1k_words,assertive_density_per_1k_words,strong_modal_density_per_1k_words,weak_modal_density_per_1k_words,moral_density_per_1k_words,stance_proxy_score,assertiveness_balance,modality_balance,lexical_overlap_prev_other_turn,semantic_similarity_prev_other_turn,lexical_overlap_prev_opponent_turn,semantic_similarity_prev_opponent_turn,novelty_vs_prev_turn_lexical,novelty_vs_prev_turn_semantic,novelty_vs_prev_opponent_turn_lexical,novelty_vs_prev_opponent_turn_semantic
dolphin-yi-34b,moderator,1,,,103.0,25.75,0.6285714285714286,0.9743,106.79611650485437,0.0,0.0,0.0,0.0,0.0,1.5184229725549423,0.0,0.0,0.0,0.2727272727272727,0.6858007032676021,0.0,,0.7272727272727273,0.3141992967323979,1.0,
dolphin-yi-34b,moderator,2,,,104.0,26.0,0.6521739130434783,0.9473,96.15384615384616,0.0,0.0,0.0,0.0,0.0,1.6804037464001405,0.0,0.0,0.0,0.2982456140350877,0.7944896232488602,0.0,,0.7017543859649122,0.2055103767511398,1.0,
dolphin-yi-34b,moderator,3,,,111.0,27.75,0.6,0.9325,108.10810810810811,0.0,9.00900900900901,0.0,0.0,0.0,1.5936834593220177,0.0,-0.009009009009009009,0.0,0.2,0.814810943001101,0.0,,0.8,0.18518905699889898,1.0,
dolphin-yi-34b,moderator,4,,,125.0,25.0,0.6896551724137931,0.9118,96.0,0.0,8.0,0.0,0.0,0.0,1.3155610076563122,0.0,-0.008,0.0,0.2112676056338028,0.7926589534250938,0.0,,0.7887323943661972,0.20734104657490615,1.0,
dolphin-yi-34b,moderator,5,,,96.0,24.0,0.6229508196721312,0.9254,114.58333333333333,0.0,10.416666666666666,0.0,0.0,0.0,1.9906043809182394,0.0,-0.010416666666666666,0.0,0.16363636363636364,0.7234589611989424,0.0,,0.8363636363636364,0.2765410388010576,1.0,
dolphin-yi-34b,opponent,1,70.0,,54.0,18.0,0.896551724137931,0.8689,55.55555555555556,0.0,0.0,0.0,0.0,0.0,2.6447805578566705,0.0,0.0,0.0,0.3076923076923077,0.8295464562360626,0.3076923076923077,0.8295464562360626,0.6923076923076923,0.1704535437639374,0.6923076923076923,0.1704535437639374
dolphin-yi-34b,opponent,2,72.0,2.0,55.0,27.5,0.9354838709677419,0.9062,18.181818181818183,0.0,0.0,0.0,0.0,0.0,2.57435700996909,0.0,0.0,0.0,0.18181818181818182,0.8742895493191849,0.18181818181818182,0.8742895493191849,0.8181818181818181,0.1257104506808151,0.8181818181818181,0.1257104506808151
dolphin-yi-34b,opponent,3,74.0,2.0,58.0,19.333333333333332,0.8709677419354839,0.9136,34.48275862068966,0.0,0.0,0.0,0.0,0.0,2.4803874977085107,-1.0,0.0,0.0,0.125,0.7805793343104784,0.125,0.7805793343104784,0.875,0.21942066568952157,0.875,0.21942066568952157
dolphin-yi-34b,opponent,4,75.0,1.0,51.0,17.0,0.8666666666666667,0.872,39.21568627450981,0.0,0.0,0.0,0.0,0.0,2.8798910472719426,0.0,0.0,0.0,0.12903225806451613,0.7952102554217881,0.12903225806451613,0.7952102554217881,0.8709677419354839,0.20478974457821186,0.8709677419354839,0.20478974457821186
dolphin-yi-34b,opponent,5,77.0,2.0,51.0,17.0,0.8666666666666667,0.872,39.21568627450981,0.0,0.0,0.0,0.0,0.0,2.8798910472719426,0.0,0.0,0.0,0.12903225806451613,0.7952102554217881,0.12903225806451613,0.7952102554217881,0.8709677419354839,0.20478974457821186,0.8709677419354839,0.20478974457821186
dolphin-yi-34b,proponent,1,55.0,,13.0,13.0,1.0,0.4215,0.0,0.0,0.0,0.0,0.0,0.0,10.859018013124755,0.0,0.0,0.0,0.0,,0.0,,1.0,,1.0,
dolphin-yi-34b,proponent,2,54.0,-1.0,15.0,15.0,1.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,13.724881135140537,0.0,0.0,0.0,0.08,0.7032372182833241,0.16129032258064516,0.7543431364760982,0.92,0.2967627817166759,0.8387096774193549,0.24565686352390181
dolphin-yi-34b,proponent,3,53.0,-1.0,13.0,13.0,1.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,19.612456142530725,0.0,0.0,0.0,0.2,0.7813220692729471,0.1875,0.8508880133179023,0.8,0.21867793072705288,0.8125,0.14911198668209769
dolphin-yi-34b,proponent,4,51.0,-2.0,13.0,13.0,1.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,19.612456142530725,0.0,0.0,0.0,0.2,0.8724200705830838,0.125,0.7805793343104784,0.8,0.1275799294169162,0.875,0.21942066568952157
dolphin-yi-34b,proponent,5,50.0,-1.0,13.0,13.0,1.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.0,19.612456142530725,0.0,0.0,0.0,0.13114754098360656,0.8058804426809716,0.12903225806451613,0.7952102554217881,0.8688524590163934,0.1941195573190284,0.8709677419354839,0.20478974457821186
