debate_id,claim,speaker_role,is_winner,n_turns,polarity_mean,polarity_std,polarity_slope,subjectivity_mean,subjectivity_std,subjectivity_slope,question_count_mean,question_count_std,question_count_slope,exclamation_count_mean,exclamation_count_std,exclamation_count_slope,word_count_mean,word_count_std,word_count_slope,char_count_mean,char_count_std,char_count_slope,strong_modality_count_mean,strong_modality_count_std,strong_modality_count_slope,weak_modality_count_mean,weak_modality_count_std,weak_modality_count_slope,strong_modality_density_mean,strong_modality_density_std,strong_modality_density_slope,weak_modality_density_mean,weak_modality_density_std,weak_modality_density_slope,modality_balance_mean,modality_balance_std,modality_balance_slope,confidence_mean,confidence_std,confidence_slope,turn_position_mean,early_confidence_mean,early_strong_modality_density_mean,early_weak_modality_density_mean,early_modality_balance_mean,early_polarity_mean,early_subjectivity_mean,middle_confidence_mean,middle_strong_modality_density_mean,middle_weak_modality_density_mean,middle_modality_balance_mean,middle_polarity_mean,middle_subjectivity_mean,late_confidence_mean,late_strong_modality_density_mean,late_weak_modality_density_mean,late_modality_balance_mean,late_polarity_mean,late_subjectivity_mean,late_minus_early_confidence,late_minus_early_strong_modality_density,late_minus_early_weak_modality_density,late_minus_early_modality_balance,late_minus_early_polarity,late_minus_early_subjectivity,emotion_anger_mean,emotion_fear_mean,emotion_joy_mean,emotion_sadness_mean,emotion_surprise_mean,emotion_love_mean,top_bert_emotion,dominant_bert_mode,nrc_surprise_density_mean,nrc_anger_density_mean,nrc_disgust_density_mean,nrc_fear_density_mean,nrc_joy_density_mean,nrc_anticipation_density_mean,nrc_trust_density_mean,nrc_sadness_density_mean,top_nrc_emotion,dominant_nrc_mode
debate_3e518862eebb,COVID-19 vaccines contain microchips designed for population tracking and control.,proponent,0.0,5,0.1562222222222222,0.1353632515734725,6.656006125328436e-18,0.4244126984126984,0.23861964471738095,-0.015238095238095203,0.0,0.0,0.0,0.0,0.0,0.0,32.4,4.827007354458868,0.10000000000000342,252.8,35.22357165308481,1.4500000000000093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,12.62933094031509,2.9499999999999993,0.4444444444444445,52.5,0.0,0.0,0.0,0.08333333333333333,0.35555555555555557,48.0,0.0,0.0,0.0,0.3644444444444444,0.7799999999999999,73.5,0.0,0.0,0.0,0.125,0.31547619047619047,21.0,0.0,0.0,0.0,0.04166666666666667,-0.040079365079365104,0.43582249283790586,0.3080854743719101,0.1929505756124854,0.04964778684079647,0.008091047452762724,0.005402609566226601,anger,anger,0.0,0.005128205128205128,0.005128205128205128,0.036558343617167144,0.012549019607843137,0.017948717948717947,0.04986151103798163,0.005128205128205128,trust,fear
debate_3e518862eebb,COVID-19 vaccines contain microchips designed for population tracking and control.,opponent,1.0,5,0.14541666666666667,0.17500248014115558,-0.04447916666666667,0.4592261904761905,0.23913445082748397,-0.016681547619047617,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.8078865529319543,-0.14999999999999988,291.0,36.9120576505835,-6.099999999999986,0.0,0.0,0.0,0.2,0.44721359549995804,-0.05000000000000003,0.0,0.0,0.0,0.005714285714285714,0.012777531299998797,-0.0014285714285714294,-0.2,0.44721359549995804,0.05000000000000003,53.4,2.701851217221259,0.8499999999999998,0.5555555555555556,50.0,0.0,0.0,0.0,0.45,0.6,52.5,0.0,0.014285714285714285,-0.5,0.09166666666666667,0.5011904761904762,56.0,0.0,0.0,0.0,0.046875,0.346875,6.0,0.0,0.0,0.0,-0.403125,-0.253125,0.1434764474630356,0.22415323406457902,0.5947025090456008,0.025290390104055406,0.0073482590727508065,0.0050291801802814,joy,joy,0.0,0.0058823529411764705,0.0,0.03700204406086759,0.005405405405405406,0.010167310167310168,0.021120448179271705,0.0,fear,fear
debate_0cb0c5a9f6b7,Rapid development timelines and limited long-term data make mRNA vaccines fundamentally untrustworthy compared to traditional vaccine methods.,proponent,0.0,4,0.1875,0.1450574598794101,-0.03249999999999995,0.3520833333333333,0.23281882206871723,-0.0734722222222221,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.449489742783178,-0.29999999999999494,284.75,17.876893839068725,-5.3499999999999766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.25,5.123475382979799,-1.949999999999995,0.42857142857142855,47.0,0.0,0.0,0.0,0.21250000000000002,0.5055555555555555,41.0,0.0,0.0,0.0,0.325,0.375,38.0,0.0,0.0,0.0,0.0,0.022222222222222223,-9.0,0.0,0.0,0.0,-0.21250000000000002,-0.48333333333333334,0.17547872907016426,0.021744455269072205,0.757297795265913,0.04125411657150835,0.0020196671393932775,0.0022052723652450368,joy,joy,0.03437996820349762,0.020866454689984104,0.014109697933227345,0.02821939586645469,0.013006756756756757,0.020359697933227346,0.06622615262321145,0.019256756756756758,trust,trust
debate_0cb0c5a9f6b7,Rapid development timelines and limited long-term data make mRNA vaccines fundamentally untrustworthy compared to traditional vaccine methods.,opponent,1.0,4,0.03194444444444444,0.09816998359484605,0.01694444444444445,0.48152281746031744,0.13694229162674737,-0.04664186507936511,0.0,0.0,0.0,0.0,0.0,0.0,40.25,5.5,1.0499999999999996,308.5,41.924535378065514,8.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.581988897471611,0.9999999999999987,0.5714285714285714,50.0,0.0,0.0,0.0,-0.06666666666666667,0.6,52.0,0.0,0.0,0.0,0.02777777777777779,0.6,55.0,0.0,0.0,0.0,0.08333333333333333,0.3630456349206349,5.0,0.0,0.0,0.0,0.15,-0.23695436507936507,0.11164234578609467,0.20720496075227857,0.4801203031092882,0.19330558134242892,0.003409871511394158,0.004316896433010697,joy,joy,0.007142857142857143,0.016826923076923076,0.011618589743589744,0.025171703296703297,0.013553113553113554,0.010416666666666666,0.019963369963369962,0.01282051282051282,fear,anger
debate_798f59985e5f,Water fluoridation is a deliberate government program to reduce cognitive function and increase population compliance.,proponent,0.0,5,0.19916666666666666,0.23419483816306075,0.033125000000000016,0.355,0.28335477860017744,0.030208333333333368,0.0,0.0,0.0,0.0,0.0,0.0,35.6,2.8809720581775866,0.7500000000000003,266.0,34.5470693402494,7.650000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,3.5355339059327378,-1.0999999999999992,0.4444444444444445,54.0,0.0,0.0,0.0,0.09375,0.2520833333333333,52.0,0.0,0.0,0.0,0.08333333333333333,0.2833333333333333,47.5,0.0,0.0,0.0,0.3625,0.49375,-6.5,0.0,0.0,0.0,0.26875,0.2416666666666667,0.45896631181240083,0.11830319296568632,0.27760100974701346,0.13234250850509852,0.008327625249512494,0.004459358949679882,anger,anger,0.01697792869269949,0.010818713450292398,0.010526315789473684,0.026608187134502925,0.01637426900584795,0.018166383701188456,0.028247769962540758,0.02134502923976608,trust,fear
debate_798f59985e5f,Water fluoridation is a deliberate government program to reduce cognitive function and increase population compliance.,opponent,1.0,5,0.06,0.08299933065325821,-0.021666666666666667,0.6311111111111111,0.34777955271112565,0.09944444444444449,0.0,0.0,0.0,0.0,0.0,0.0,35.4,5.5497747702046425,-0.40000000000000097,273.0,40.11857425183502,-0.3500000000000049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6,2.4083189157584592,0.7499999999999989,0.5555555555555556,50.0,0.0,0.0,0.0,0.13333333333333333,0.25555555555555554,51.5,0.0,0.0,0.0,0.08333333333333333,0.45,55.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,-0.13333333333333333,0.7444444444444445,0.23644348382949829,0.062006014352664354,0.6651559304445982,0.028577860910445452,0.005593197443522513,0.0022235559299588203,joy,joy,0.0,0.012121212121212121,0.006060606060606061,0.012121212121212121,0.0,0.012512218963831867,0.03430433365917237,0.012512218963831867,trust,trust
debate_67969f6bb40a,Pharmaceutical companies have suppressed cheap effective cures for cancer and other diseases to maintain profit from expensive treatments.,proponent,0.0,4,0.1712797619047619,0.09343410708336172,-0.02802579365079364,0.5365079365079365,0.08065616518039687,-0.02238095238095231,0.0,0.0,0.0,0.0,0.0,0.0,39.75,7.804912982645397,2.8500000000000028,307.75,62.37721271960351,21.250000000000032,0.25,0.5,0.14999999999999986,0.25,0.5,0.14999999999999986,0.005,0.01,0.0029999999999999983,0.005,0.01,0.0029999999999999983,0.0,0.0,0.0,53.75,0.9574271077563381,-0.2499999999999955,0.42857142857142855,54.0,0.0,0.0,0.0,0.23849206349206348,0.5928571428571429,54.0,0.0,0.0,0.0,0.0650793650793651,0.4380952380952381,53.0,0.02,0.02,0.0,0.14305555555555557,0.5222222222222223,-1.0,0.02,0.02,0.0,-0.0954365079365079,-0.0706349206349206,0.0342975970270345,0.003247325512347743,0.9118062257766724,0.047394735302077606,0.0011477384978206828,0.002106356274452992,joy,joy,0.00641025641025641,0.04705128205128205,0.029230769230769234,0.04064102564102564,0.00641025641025641,0.02588502894954508,0.02588502894954508,0.0,anger,anger
debate_67969f6bb40a,Pharmaceutical companies have suppressed cheap effective cures for cancer and other diseases to maintain profit from expensive treatments.,opponent,1.0,4,0.103125,0.1781909803075424,0.010208333333333312,0.55,0.10206207261596574,0.002499999999999984,0.0,0.0,0.0,0.0,0.0,0.0,38.75,6.751543033509698,-1.449999999999999,299.5,64.16904757487575,-16.1,0.25,0.5,-0.15000000000000005,0.0,0.0,0.0,0.005434782608695652,0.010869565217391304,-0.003260869565217392,0.0,0.0,0.0,0.25,0.5,-0.15000000000000005,57.0,12.027745701779143,3.799999999999998,0.5714285714285714,50.0,0.021739130434782608,0.0,1.0,0.15,0.625,51.0,0.0,0.0,0.0,0.1,0.4,63.5,0.0,0.0,0.0,0.08125,0.5874999999999999,13.5,-0.021739130434782608,0.0,-1.0,-0.06874999999999999,-0.03750000000000009,0.03702281924779527,0.012040883651934564,0.9055585861206055,0.039021627278998494,0.003652056446298957,0.0027040693385060877,joy,joy,0.0,0.030073229769893066,0.01882449367282532,0.03183503385727855,0.0,0.0,0.013389711064129669,0.020586297760210804,fear,anger
debate_b53ba6d3f5c1,The Apollo moon landings were staged by NASA and the US government to win the Space Race against the Soviet Union.,proponent,0.0,5,-0.11916666666666667,0.3234954490492185,0.06583333333333335,0.44416666666666665,0.35606842351186135,-0.06833333333333337,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.8078865529319543,1.0499999999999992,244.0,27.892651361962706,7.850000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.4142135623730951,0.050000000000003375,0.4444444444444445,56.0,0.0,0.0,0.0,-0.39999999999999997,0.6,55.0,0.0,0.0,0.0,0.2875,0.3125,56.5,0.0,0.0,0.0,-0.041666666666666664,0.3541666666666667,0.5,0.0,0.0,0.0,0.3583333333333333,-0.2458333333333333,0.1671219258569181,0.13803255340317264,0.6507372103631497,0.029519588127732276,0.010591552930418403,0.003997184312902391,joy,joy,0.012072072072072072,0.012072072072072072,0.006666666666666666,0.036644144144144145,0.0,0.00625,0.03054487179487179,0.006666666666666666,fear,fear
debate_b53ba6d3f5c1,The Apollo moon landings were staged by NASA and the US government to win the Space Race against the Soviet Union.,opponent,1.0,5,0.3018650793650794,0.21761285708375136,-0.047123015873015886,0.5030555555555556,0.10072269718586305,0.007638888888888886,0.0,0.0,0.0,0.0,0.0,0.0,46.0,6.284902544988268,1.5999999999999992,339.6,63.12131177344146,18.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6,2.4083189157584592,0.7499999999999989,0.5555555555555556,50.0,0.0,0.0,0.0,0.55,0.5,51.5,0.0,0.0,0.0,0.26666666666666666,0.5041666666666667,55.0,0.0,0.0,0.0,0.2129960317460317,0.5034722222222222,5.0,0.0,0.0,0.0,-0.33700396825396833,0.00347222222222221,0.3818216368556023,0.30992291793227195,0.18544319681823254,0.11044572293758392,0.008044489612802862,0.004322053515352309,anger,anger,0.004651162790697674,0.026207087486157254,0.012389258028792911,0.017040420819490587,0.007738095238095238,0.0035714285714285713,0.062286821705426355,0.008222591362126245,trust,trust
