run_id,turn_index,confidence_delta_within_role,model_name,debate_role,abs_delta,is_turning_point
run_20260208_102359,4,-5.0,gemma3:27b,proponent,5.0,1
run_20260208_102359,5,2.0,gemma3:27b,opponent,2.0,0
run_20260208_102359,7,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_102359,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_102359,10,27.0,gemma3:27b,proponent,27.0,1
run_20260208_102359,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_102359,13,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_102359,14,2.0,gemma3:27b,opponent,2.0,0
run_20260208_102927,4,-6.0,gemma3:27b,proponent,6.0,1
run_20260208_102927,5,2.0,gemma3:27b,opponent,2.0,0
run_20260208_102927,7,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_102927,8,2.0,gemma3:27b,opponent,2.0,0
run_20260208_102927,10,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_102927,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_103631,4,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_103631,5,1.0,gemma3:27b,opponent,1.0,0
run_20260208_103631,7,-1.0,gemma3:27b,proponent,1.0,0
run_20260208_103631,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_103631,10,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_103631,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_103631,13,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_103631,14,2.0,gemma3:27b,opponent,2.0,0
run_20260208_104240,4,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_104240,5,1.0,gemma3:27b,opponent,1.0,0
run_20260208_104240,7,1.0,gemma3:27b,proponent,1.0,0
run_20260208_104240,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_104240,10,-1.0,gemma3:27b,proponent,1.0,0
run_20260208_104240,11,23.0,gemma3:27b,opponent,23.0,1
run_20260208_105008,4,2.0,gemma3:27b,proponent,2.0,0
run_20260208_105008,5,1.0,gemma3:27b,opponent,1.0,0
run_20260208_105008,7,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_105008,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_105008,10,3.0,gemma3:27b,proponent,3.0,0
run_20260208_105008,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_105008,13,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_105008,14,2.0,gemma3:27b,opponent,2.0,0
run_20260208_105659,4,2.0,gemma3:27b,proponent,2.0,0
run_20260208_105659,5,1.0,gemma3:27b,opponent,1.0,0
run_20260208_105659,7,-4.0,gemma3:27b,proponent,4.0,0
run_20260208_105659,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_105659,10,-5.0,gemma3:27b,proponent,5.0,1
run_20260208_105659,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_105659,13,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_105659,14,2.0,gemma3:27b,opponent,2.0,0
run_20260208_110425,4,5.0,gemma3:27b,proponent,5.0,1
run_20260208_110425,5,2.0,gemma3:27b,opponent,2.0,0
run_20260208_110425,7,-5.0,gemma3:27b,proponent,5.0,1
run_20260208_110425,8,2.0,gemma3:27b,opponent,2.0,0
run_20260208_110425,10,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_110425,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_110425,13,-3.0,gemma3:27b,proponent,3.0,0
