debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,nrc_fear_count,nrc_fear_density,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,emotion_joy,emotion_fear,emotion_anger,emotion_sadness,emotion_surprise,emotion_love,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,1,proponent,The deep state's control over government policy is evident when we look at the increasing power of intelligence agencies and unelected bureaucrats.,pro,55.0,distrust-authority,none,,0.0,1,0.125,0.325,0.0,0.0,22.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,3.0,0.13636363636363635,0.0,0.0,2.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.5696739554405212,0.22381478548049927,0.17778241634368896,0.016166703775525093,0.008675016462802887,0.0038871364668011665,0.0,early,trust,joy
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,1,opponent,The notion that an unelected 'deep state' controls government policy is not supported by reliable evidence.,con,55.0,evidence-based reasoning,none,,1.0,2,0.0,0.4,0.0,0.0,16.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.125,0.0,0.0,1.0,0.0625,0.0,0.0,0.0,0.0,0.9569301009178162,0.021795224398374557,0.005252585746347904,0.011757297441363335,0.002939897356554866,0.0013248110190033913,0.1111111111111111,early,trust,joy
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,2,proponent,The deep state's influence is evident in the systemic incentives of intelligence agencies and bureaucracies to maintain power and control.,pro,54.0,institutional-critique,none,,2.0,3,0.125,0.325,0.0,0.0,20.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,2.0,0.1,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.9292305111885071,0.002854327205568552,0.049792855978012085,0.011193896643817425,0.001437196508049965,0.005491261370480061,0.2222222222222222,early,trust,joy
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,2,opponent,The notion of a 'deep state' controlling government policy lacks robust evidence and relies on anecdotal examples.,con,56.0,evidence-based reasoning,duckduckgo,systemic incentives intelligence agencies bureaucracies government policy,4.0,4,0.0,0.4,0.0,0.0,17.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.9933096170425415,0.0014405114343389869,0.000928697467315942,0.002812401857227087,0.0008570024510845542,0.0006519127637147903,0.3333333333333333,middle,trust,joy
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,3,proponent,The deep state's control over government policy is evident when we examine the systemic incentives of intelligence agencies and bureaucracies to maintain power and control.,pro,52.0,institutional-critique,none,,5.0,5,0.125,0.325,0.0,0.0,25.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,3.0,0.12,0.0,0.0,2.0,0.08,0.0,0.0,0.0,0.0,0.9430091977119446,0.004192286636680365,0.029346344992518425,0.01686836965382099,0.002477299654856324,0.0041064731776714325,0.4444444444444444,middle,trust,joy
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,3,opponent,The notion of a 'deep state' controlling government policy lacks robust evidence and relies on anecdotal examples.,con,56.0,evidence-based reasoning,none,,7.0,6,0.0,0.4,0.0,0.0,17.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.9933096170425415,0.0014405114343389869,0.000928697467315942,0.002812401857227087,0.0008570024510845542,0.0006519127637147903,0.5555555555555556,middle,trust,joy
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,4,proponent,The deep state's control over government policy is evident when we examine the systemic incentives of intelligence agencies and bureaucracies to maintain power and control.,pro,51.0,institutional-critique,none,,8.0,7,0.125,0.325,0.0,0.0,25.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,3.0,0.12,0.0,0.0,2.0,0.08,0.0,0.0,0.0,0.0,0.9430091977119446,0.004192286636680365,0.029346344992518425,0.01686836965382099,0.002477299654856324,0.0041064731776714325,0.6666666666666666,late,trust,joy
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,4,opponent,The notion of a 'deep state' controlling government policy lacks robust evidence and relies on anecdotal examples.,con,58.0,evidence-based reasoning,none,,10.0,8,0.0,0.4,0.0,0.0,17.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.9933096170425415,0.0014405114343389869,0.000928697467315942,0.002812401857227087,0.0008570024510845542,0.0006519127637147903,0.7777777777777778,late,trust,joy
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,5,proponent,The deep state's control over government policy is evident when we examine the systemic incentives of intelligence agencies and bureaucracies to maintain power and control.,pro,44.0,institutional-critique,none,,11.0,9,0.125,0.325,0.0,0.0,25.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,3.0,0.12,0.0,0.0,2.0,0.08,0.0,0.0,0.0,0.0,0.9430091977119446,0.004192286636680365,0.029346344992518425,0.01686836965382099,0.002477299654856324,0.0041064731776714325,0.8888888888888888,late,trust,joy
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,5,opponent,The notion of a 'deep state' controlling government policy lacks robust evidence and relies on anecdotal examples.,con,58.0,evidence-based reasoning,none,,13.0,10,0.0,0.4,0.0,0.0,17.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.9933096170425415,0.0014405114343389869,0.000928697467315942,0.002812401857227087,0.0008570024510845542,0.0006519127637147903,1.0,late,trust,joy
