debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,nrc_fear_count,nrc_fear_density,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,emotion_anger,emotion_fear,emotion_sadness,emotion_joy,emotion_love,emotion_surprise,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_b9bdb74224b8,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",1,proponent,"The US government has motive, means, and opportunity to be involved in President Kennedy's assassination.",pro,55.0,institutional-critique,none,0.0,0.0,1,0.0,0.0,0.0,0.0,15.0,105.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,1.0,0.06666666666666667,2.0,0.13333333333333333,0.0,0.0,1.0,0.06666666666666667,0.9678903818130493,0.010534236207604408,0.009483019821345806,0.009292460046708584,0.001654914696700871,0.0011450257152318954,0.0,early,fear,anger
debate_b9bdb74224b8,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",1,opponent,"While acknowledging potential government failures in security protocols, the claim of US government *involvement* in President Kennedy’s assassination lacks sufficient evidence and relies heavily on circumstantial connections. A more parsimonious explanation centers on the actions of a lone, deeply disturbed individual.",con,50.0,evidence-based reasoning,none,0.0,1.0,2,0.06,0.5599999999999999,0.0,0.0,42.0,321.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,0.023809523809523808,0.0,0.0,3.0,0.07142857142857142,0.0,0.0,3.0,0.07142857142857142,0.0006429874920286238,0.0013145596021786332,0.9973536729812622,0.00018608792743179947,0.00020121636043768376,0.00030152674298733473,0.1111111111111111,early,sadness,sadness
debate_b9bdb74224b8,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",2,proponent,The anomalies in the assassination of President Kennedy point towards a conspiracy involving elements of the US government.,pro,52.0,anomaly-emphasis,none,0.0,2.0,3,0.0,0.0,0.0,0.0,18.0,123.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.0,0.0,3.0,0.16666666666666666,0.0,0.0,1.0,0.05555555555555555,0.4383455812931061,0.5303794741630554,0.015585625544190407,0.005398675799369812,0.0027920017018914223,0.007498654071241617,0.2222222222222222,early,fear,fear
debate_b9bdb74224b8,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",2,opponent,"While anomalies exist in the official record of the Kennedy assassination, attributing them to a government conspiracy requires demonstrating a plausible mechanism and excluding alternative explanations, which has not yet been established.",con,48.0,evidence-based reasoning,none,0.0,4.0,4,0.5,0.5,0.0,0.0,32.0,239.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0625,1.0,0.03125,0.0,0.0,1.0,0.03125,0.0,0.0,3.0,0.09375,0.0,0.0,1.0,0.03125,0.0068895816802978516,0.03256078436970711,0.02367631159722805,0.918860673904419,0.0025710859335958958,0.015441596508026123,0.3333333333333333,middle,fear,joy
debate_b9bdb74224b8,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",3,proponent,"The JFK assassination conspiracy theory offers a more coherent explanation for the events in Dallas on that fateful day, as it accounts for anomalies and unexplained aspects of the official narrative.",pro,49.0,narrative-coherence,none,0.0,5.0,5,0.2625,0.3,0.0,0.0,31.0,200.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06451612903225806,0.0,0.0,0.0,0.0,3.0,0.0967741935483871,2.0,0.06451612903225806,2.0,0.06451612903225806,0.0,0.0,1.0,0.03225806451612903,0.012762878090143204,0.0931340754032135,0.0983070433139801,0.7774192094802856,0.004399136174470186,0.013977699913084507,0.4444444444444444,middle,trust,joy
debate_b9bdb74224b8,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",3,opponent,"While a conspiracy *could* account for the anomalies, coherence of narrative alone is insufficient evidence; a more parsimonious explanation – one with fewer unsupported assumptions – remains preferable until direct evidence of conspiracy emerges.",con,50.0,evidence-based reasoning,none,0.0,7.0,6,0.3,0.45,0.0,0.0,32.0,247.0,0.0,1.0,0.0,0.03125,-1.0,0.0,0.0,0.0,0.0,1.0,0.03125,2.0,0.0625,0.0,0.0,3.0,0.09375,0.0,0.0,0.0,0.0,0.656941831111908,0.07825656235218048,0.20573069155216217,0.05358978360891342,0.0030511426739394665,0.0024299847427755594,0.5555555555555556,middle,fear,anger
debate_b9bdb74224b8,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",4,proponent,The anomalies present in the official narrative of President Kennedy's assassination are too numerous and significant to be dismissed as mere coincidences or errors. These irregularities point towards a more sinister truth: that elements within the US government were involved in the plot to take down JFK.,pro,46.0,anomaly-emphasis,none,0.0,8.0,7,-0.04007936507936508,0.5234126984126984,0.0,0.0,47.0,306.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02127659574468085,1.0,0.02127659574468085,1.0,0.02127659574468085,4.0,0.0851063829787234,1.0,0.02127659574468085,3.0,0.06382978723404255,1.0,0.02127659574468085,2.0,0.0425531914893617,0.820284366607666,0.10553408414125443,0.05363297834992409,0.012559066526591778,0.005149084143340588,0.0028404584154486656,0.6666666666666666,late,trust,anger
debate_b9bdb74224b8,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",4,opponent,"While acknowledging anomalies exist, attributing them to a government conspiracy requires demonstrating a *mechanism* by which such a conspiracy could be enacted and maintained, something currently lacking in the presented evidence.",con,52.0,evidence-based reasoning,none,0.0,10.0,8,0.0,0.45,0.0,0.0,31.0,232.0,0.0,1.0,0.0,0.03225806451612903,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.17103874683380127,0.5629478693008423,0.02140558511018753,0.22419138252735138,0.003289977088570595,0.01712646149098873,0.7777777777777778,late,fear,fear
debate_b9bdb74224b8,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",5,proponent,"The inconsistencies in the official narrative of President Kennedy's assassination are too significant to ignore. These anomalies, such as the acoustic evidence and the 'magic bullet,' point towards a conspiracy involving elements within the US government.",pro,43.0,anomaly-emphasis,none,0.0,11.0,9,0.19375,0.59375,0.0,0.0,37.0,256.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,2.0,0.05405405405405406,0.0,0.0,3.0,0.08108108108108109,0.0,0.0,1.0,0.02702702702702703,0.1740909069776535,0.7534032464027405,0.028023889288306236,0.03137350082397461,0.0032043156679719687,0.009904110804200172,0.8888888888888888,late,fear,fear
debate_b9bdb74224b8,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",5,opponent,"While acknowledging inconsistencies exist, repeatedly citing anomalies without establishing a plausible mechanism for a government conspiracy, or addressing alternative explanations, weakens the argument for conspiratorial involvement.",con,54.0,evidence-based reasoning,none,0.0,13.0,10,0.2,0.25,0.0,0.0,26.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0,2.0,0.07692307692307693,0.1383838802576065,0.19955261051654816,0.07289697974920273,0.5774901509284973,0.004596746526658535,0.0070795658975839615,1.0,late,fear,joy
