debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"So let's begin now by welcoming to the stage, Mr. Robert Rosenkranz. Hi, Bob.",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Good evening, John.",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"So, Bob, we've done debates on gun control issues before. We did a debate where the motion was Guns Reduce Crime. We're visiting it again, but we're phrasing it specifically a different way. Why is that?",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Well, let me start by just sort of saying what this debate is and isn't. It's not about whether the Second Amendment should be repealed. That's just a political impossibility. And it's not about whether the Second Amendment gives us an individual right to bear arms. The Supreme Court has decided that. So this is more of a debate about the historical context of the amendment itself and whether it has outlived its usefulness.",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"And the team that's arguing for the motion, in terms of putting it in historical context and reflecting changing times, in fact, I'm assuming that's what they're going to be arguing.",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Well, the world was very, very different when this amendment was passed. It was a world in which state militias were relevant. It was a world in which there were no professional police forces so that the only kind of defense against violence was self- defense, and it was a world in which it was plausible to think that an armed citizenry was a bulwark against tyranny. We had just been through the Revolutionary War, after all.",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,And in what ways has the world changed that might make that irrelevant now?,neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Well, those who see the amendment as rooted in an historic anachronism are going to feel like we should have the most restrictions we can against gun ownership that the constitution would permit. The other side is going to say no, this is not a historic anomaly at all. This amendment enshrines the ability of Americans to defend their security at home, and 47 percent of all Americans do have guns at home and see it as essential to their-- the security of themselves and of their families and those people feel very strongly that this is an amendment that embodies values, such as self-reliance, such as independence, and such as kind of collective responsibility for public order that the founders embraced and which they embrace, too, and which are relevant to this day.",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"And our four debaters have really-- some of them have been living this topic for a long time and, as you'll learn, they've been ground-- they've provided some of the groundbreaking thought between-- behind how some of this has actually been argued in the courts. They've actually been players in this debate for some time. So, Bob, thank you very much for bringing this and bringing them to the stage, and let's welcome them to the stage now.",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Thank you, John. Thank you.",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Thank you. And I just want to invite one more round of applause for Bob Rosenkranz for doing this for us. This is Intelligence Squared U.S. I'm John Donvan, and sometimes a regular ordinary guy gets to have his name go down in history in a very big way, and it happened to a guy named Dick Heller, who happened to be working in security in a government building in Washington, D.C., when he sued the government of Washington, D.C., over a law that prevented him from legally owning a handgun. And it went all the way to the Supreme Court and Dick Heller won. It was District of Columbia versus Heller and it was the landmark gun rights case of all time where the Supreme Court ruled only in 2008 that the constitution guaranteed to every American a personal right to bear arms. And if it is that obvious, then perhaps people who aren't happy with how that has turned out might want to argue that perhaps that right never should have been put into the constitution in the first place.

And what a debate that would be, as we are about to find out. Yes or no to this statement: The Constitutional Right to Bear Arms Has Outlived its Usefulness. A debate from Intelligence Squared U.S. I'm John Donvan. We are at the Kaufmann Music Center in New York. We have four superbly qualified debaters-- two against two. Americans all, but they're divided on this motion: The Constitutional Right to Bear Arms Has Outlived its Usefulness. As always, our debate goes in three rounds. And then our live audience in New York City votes to choose the winner. And only one side wins. Our motion, again, is The Constitutional Right to Bear Arms Has Outlived its Usefulness. Let's meet the team arguing for the motion, trying to convince you that The Constitutional Right to Bear Arms Has Outlived its Usefulness. Let's welcome, first, ladies and gentlemen, Alan Dershowitz. Alan, you're a professor at Harvard Law School. You've played parts in these cases. The Pentagon Papers, Bush v. Gore, the WikiLeaks investigations, the defense of OJ Simpson. We have heard about those cases. But on the back cover of your recent memoir-- you just came out with a memoir called ""Taking the Stand,"" you quote Noam Chomsky, who says, ""Dershowitz is not very bright and strongly opposed to civil liberties."" And you quote him. So you've given the whole thing away to the other side here?",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,proponent,"Well, my high school teachers said the same thing. And so-- I think you guys have to give me a little break. These guys are all smarter than I am, so there",pro,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"All right. Ladies and gentlemen, Alan Dershowitz. Give him a break. And Alan, your partner in this debate is?",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,proponent,"My partner in this debate is the very, very distinguished professor, Sandy Levinson, who's just written his own great book.",pro,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Ladies and gentlemen, Sandy Levinson. great book is called ""Framed: America's 51 Constitutions and the Crisis of Governance."" He's a professor of law at the University of Texas and a professor of government, there, too. In 1989, Sandy, you wrote an article in the Yale Law Journal that is really credited with reshaping the entire debate over gun rights in this country, which was not much of a debate up to that point. So this whole thing is your fault?",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,proponent,"Well, if I get an obituary in the New York Times, when the time comes, no doubt that article will be the lead.",pro,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Well, I hope you're not thinking about that right now. Ladies and gentlemen, let's welcome Sandy Levinson. Our motion is The Constitutional Right to Bear Arms Has Outlived its Usefulness. And here to convince you to vote against this motion-- I want to introduce, ladies and gentlemen, David Kopel. And David, you're research director at the Independence Institute, co-author of the first law school textbook on the Second Amendment. And in the case of District of Columbia v. Heller, the landmark Supreme Court gun rights case, you were a member of the oral argument team. You are also a member of the NRA. You are also a member of the ACLU. How do you put dinner parties together?",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,opponent,"The trick is you make the pre-dinner prayer optional and that makes the ACLU folks happy. And then you have a lot of sharp knives around, and the NRA people are content.",con,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"All right. Thanks very much. David Kopel, ladies and gentlemen. And David, your partner is?",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,opponent,"My partner is the genial genius, Eugene Volokh, perhaps the most important First Amendment scholar in the United States today.",con,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Ladies and gentlemen, Eugene Volokh. Eugene, you're a professor of law at UCLA. The reason that you were just referred to as a genius is that according to the Tuscaloosa News Profile done in 1981, when you were 12 years old and you were a sophomore at UCLA, the newspaper reported that your IQ was 206. And you recoiled earlier when I told you I was going to bring that up, so I thought maybe we could talk about your credit score instead.",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,opponent,On a good day it's better than that.,con,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Ladies and gentlemen, let's welcome Eugene Volokh and all of our debaters. Now, this is a debate. It's a contest of ideas. And our motion is The Constitutional Right to Bear Arms Has Outlived its Usefulness. And by the time this debate has ended, we will have asked you, our live audience in New York, to vote twice on this debate, because you will be the judges of the winners. Before the debate, we will ask you to vote before the debate and once again after the debate. And the team whose numbers have changed the most in percentage point terms will be declared our winner. So, let's go to the keypads at your seat and we'll be getting on to Round 1 in just a moment. Let's go to these keypads at your seat and we'll have you vote your position as you come in off the street. The motion is The Constitutional Right to Bear Arms Has Outlived its Usefulness.

If you agree with this motion at this motion at this point we want you to push number one, and if you disagree, push number two, and if you're undecided, push number three. You can ignore the other keys. And we're going to lock this out in just a minute and just to repeat this, at the end of the debate, same thing. We have you vote another time and the team whose numbers have moved the most in percentage points from this starting point will be declared our winner. Onto round one. Opening statements by each debater uninterrupted. They are seven minutes each. The motion is: The Constitutional Right to Bear Arms has Outlived Its Usefulness, and here to persuade you to vote for this motion, let's welcome Sanford Levinson, ladies and gentleman. You're a professor of law, as well as professor of government at the University of Texas, Austin. So, ladies and gentleman, let's welcome arguing for the motion, Sanford Levinson.",neutral,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,proponent,"Thank you. I want to begin by repeating a point that Bob Rosenkranz made. This is not a debate about policy. As it happens, I can't completely speak for my colleague, Professor Dershowitz, but I would very much oppose, for example, a federal law banning guns independent of the Second Amendment, because it is very, very clear that there is a critical mass of Americans who would be vehemently opposed to that. It would just add to the divisions in the country and it would increase the number of criminals in the country, because just as with drug laws and gambling laws and the like, there is no reason to believe that such a law could generally be enforced. Most enforcement requires a willingness to comply with a law that one regards as relatively legitimate, and this law would not be regarded, I think, in that capacity.

It's also true with regard to a number of other gun control statutes that are proposed that I have distinctly mixed feelings about, many of them on a variety of policy grounds, but fortunately we're not here to debate that. Nor do I think we are here to debate the one true meaning of the Second Amendment, as interesting as that topic is, and about which indeed I have written. Rather, I want to emphasize the topic that is in front of us, The Constitutional Right to Bear Arms has Outlived Its Usefulness. Now, one reason I relish this statement of the question is that I'm one of those relatively rare people, I will admit, who actually believe there should be a new constitutional convention, because I believe that a number of provisions of the constitution have outlived their usefulness.

I wouldn't even say that the Second Amendment or the right to bear arms is the one that has most outlived its usefulness, but I'm really quite happy to argue that in 2013 the kinds of considerations that led to the placement of the Second Amendment in the Bill of Rights, which Bob Rosenkranz summarized, I think, very well, have outlived their usefulness. So, if we were going to have a debate in 2013 about what substantive rights, as well as what structures the Senate, bicameralism, presidential veto and stuff like that, what would a 2013 or 2015 constitution look like? Would it include a substantive right in the United States constitution to bear arms?

And I would argue that the answer is no. Let me also emphasize that this is a different question from whether state constitutions should include a right to bear arms. Eugene has written one of the definitive articles showing, I don't know what the current number is, but I think it's over 40, state constitutions do protect a right to bear arms, and that raises a very, very important question of whether we need to have that in the United States constitution as well. Let me give you two principle reasons why a constitutionalized right to bear arms instead of a right to bear arms that would simply be fought out in the political process, and all of us know that the political process today is tilted either legitimately or illegitimately, that's the topic of yet another debate that we need not have this evening, generally in favor of the rights of gun owners.

So, let me give you the two reasons why I think the Second Amendment has outlived its usefulness in the 21st century. The first reason is precisely that it is anti-federal. That is to say, one of the anomalies-- sometimes very difficult to tell the players without a scorecard-- in the debate about gun rights. There are many people who define themselves as conservatives who rail against a rampaging national government that believes in one-size-fits-all solutions to national problems. Well, this is not necessarily what Heller decides, but it is what the Supreme Court decided two years later in the McDonald case, where it held that every state in the union has to toe a single line.

Louis Brandeis spoke very eloquently of states as little laboratories of experimentation. Most states have chosen to experiment in favor of gun rights. There are some states-- or cities-- very dense cities, like Washington, D.C., that would prefer different experiments. Or in New York itself, one can well imagine a particular policy for the great cities of New York and a very different policy for upstate New York, where there are far, far more hunters than is the case in Manhattan, say. And one of the things that a single national constitutional amendment-- as interpreted by the Supreme Court-- does is to stifle that kind of federalism. And I think that's a mistake.

But there's a second real problem with constitutionalizing the right to bear arms in the 21st century. As Mr. Rosenkranz suggested, the right to bear arms-- or the Second Amendment-- had a kind of cosmetic value until 2008. It's not that people didn't write about it. I wrote about it. Eugene wrote about it. A number of people found it very interesting. But it played remarkably little role in actual American law. Beginning with Heller, it does play a role. But what does that mean? It means that you turn over decision-making power to a group of federal judges who are highly divided, who have no expertise in this area, and who make often quite remarkable-- even unreasoned-- distinctions.

Thus, for example, in Heller, Justice Scalia says that Dick Heller is protected, which I think is a perfectly plausible argument, but he suggests that Martha Stewart is not, because she actually lied to an FBI agent and is thus a convicted felon. I don't think judges should be making those kinds of decisions. I think legislators should.",pro,,,none,,
111413%20guns,The Constitutional Right To Bear Arms Has Outlived Its Usefulness,1,moderator,"Thank you, Sandy Levinson. Our motion is The Constitutional Right to Bear Arms Has Outlived its Usefulness. And now here to try to persuade you to vote against this motion-- let's welcome Eugene Volokh. He is the Gary T. Schwartz professor law at UCLA and founder and co-founder of the Volokh Conspiracy, one of the most widely read legal blogs in the country. Ladies and gentlemen, Eugene Volokh.",neutral,,,none,,
