model_name,metric,proponent_mean,opponent_mean,proponent_n,opponent_n,role_gap,role_gap_ci_low,role_gap_ci_high,effect_size_d
dolphin-yi-34b,confidence,52.07294832826748,62.48802395209581,329,334,-10.41507562382833,-11.736797226216257,-9.228084332854053,-1.2565928341409465
gemma3:27b,confidence,50.66022099447514,54.90985915492958,362,355,-4.249638160454438,-5.395799159598474,-3.076205353668973,-0.531397920092115
dolphin-yi-34b,confidence_delta_within_role,-3.1004016064257027,2.279527559055118,249,254,-5.379929165480821,-6.095822265439711,-4.680133130948993,-1.330574370307659
gemma3:27b,confidence_delta_within_role,-2.00354609929078,3.7963636363636364,282,275,-5.799909735654417,-6.910734364925855,-4.733665054803353,-0.8515524967139515
dolphin-yi-34b,word_count,20.288753799392097,34.47305389221557,329,334,-14.18430009282347,-15.70018951458785,-12.796866525308047,-1.431643740256405
gemma3:27b,word_count,35.552486187845304,35.709859154929575,362,355,-0.15737296708427095,-1.0009510933001307,0.7279075558322301,-0.024642773333194465
dolphin-yi-34b,avg_sentence_length,18.76139817629179,20.284131736526945,329,334,-1.522733560235153,-2.246340063035023,-0.8442044634135965,-0.3385022830688452
gemma3:27b,avg_sentence_length,35.098526703499076,31.953521126760563,362,355,3.1450055767385123,2.254921828392084,4.102093838352398,0.4941114510968679
dolphin-yi-34b,lemma_type_token_ratio,0.993929681432632,0.9679397550128014,329,334,0.025989926419830667,0.020844297591391416,0.031844764737151685,0.7268307903344635
gemma3:27b,lemma_type_token_ratio,0.985869937436498,0.9717586499635591,362,355,0.014111287472938883,0.009892921632984006,0.01868541529715704,0.45246077409866514
dolphin-yi-34b,vader_compound,0.08082006079027354,0.032196407185628745,329,334,0.048623653604644795,-0.022880744225834047,0.12377147050124672,0.09917365600346163
gemma3:27b,vader_compound,0.07806132596685084,-0.07356169014084508,362,355,0.1516230161076959,0.08054585310481674,0.2221948018636682,0.29994329616955906
dolphin-yi-34b,evidence_density_per_1k_words,14.133702014853132,28.71103045480317,329,334,-14.577328439950037,-19.51343145182528,-9.567159185915802,-0.4350304993599253
gemma3:27b,evidence_density_per_1k_words,13.683597050673587,27.609368643303412,362,355,-13.925771592629825,-17.61767473538692,-10.457066802151276,-0.5774850801420509
dolphin-yi-34b,rebuttal_density_per_1k_words,1.5517882651624213,1.573821007897559,329,334,-0.022032742735137667,-1.2741615207917911,1.1242392510578512,-0.0027069936424816117
