group_type,group_name,rank,term,count,per_1k_tokens,total_tokens
model,dolphin-yi-34b,1,evidence,1010,22.373842541314076,45142
model,dolphin-yi-34b,2,ca,971,21.509902086748482,45142
model,dolphin-yi-34b,3,sa,963,21.332683531965795,45142
model,dolphin-yi-34b,4,specific,503,11.142616631961367,45142
model,dolphin-yi-34b,5,agents,501,11.098311993265694,45142
model,dolphin-yi-34b,6,questions,496,10.987550396526517,45142
model,dolphin-yi-34b,7,control,371,8.218510478047051,45142
model,dolphin-yi-34b,8,argues,367,8.12990120065571,45142
model,dolphin-yi-34b,9,moves,355,7.86407336848168,45142
model,dolphin-yi-34b,10,agreements,354,7.841921049133845,45142
model,dolphin-yi-34b,11,round,353,7.819768729786008,45142
model,dolphin-yi-34b,12,detected,351,7.775464091090337,45142
model,dolphin-yi-34b,13,epistemic,350,7.753311771742501,45142
model,dolphin-yi-34b,14,moderator,350,7.753311771742501,45142
model,dolphin-yi-34b,15,recap,350,7.753311771742501,45142
model,dolphin-yi-34b,16,bridge,350,7.753311771742501,45142
model,dolphin-yi-34b,17,disagreements,350,7.753311771742501,45142
model,dolphin-yi-34b,18,civility,350,7.753311771742501,45142
model,dolphin-yi-34b,19,scores,350,7.753311771742501,45142
model,dolphin-yi-34b,20,potential,346,7.664702494351158,45142
model,dolphin-yi-34b,21,acknowledge,333,7.376722342829294,45142
model,dolphin-yi-34b,22,claim,314,6.955828275220416,45142
model,dolphin-yi-34b,23,government,294,6.512781888263701,45142
model,dolphin-yi-34b,24,health,263,5.826059988480794,45142
model,dolphin-yi-34b,25,manipulation,246,5.449470559567587,45142
model,gemma3:27b,1,ca,2309,38.99086441851433,59219
model,gemma3:27b,2,sa,1894,31.98297843597494,59219
model,gemma3:27b,3,evidence,1394,23.53974231243351,59219
model,gemma3:27b,4,agents,658,11.111298738580523,59219
model,gemma3:27b,5,proof,542,9.152467957918912,59219
model,gemma3:27b,6,specific,455,7.683344872422702,59219
model,gemma3:27b,7,acknowledge,440,7.430047788716459,59219
