debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn,turn_index,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_sadness_count,nrc_sadness_density,nrc_joy_count,nrc_joy_density,nrc_disgust_count,nrc_disgust_density,nrc_trust_count,nrc_trust_density,nrc_anticipation_count,nrc_anticipation_density,nrc_fear_count,nrc_fear_density,nrc_surprise_count,nrc_surprise_density,nrc_anger_count,nrc_anger_density,emotion_anger,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_love,turn_position,phase,dominant_nrc_emotion,dominant_bert_emotion
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,1,proponent,Electronic voting machines are susceptible to manipulation by powerful elites due to their inherent design and lack of transparency.,pro,55.0,institutional-critique,none,,0.0,1,0.0875,0.6875,0.0,0.0,19.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,2.0,0.10526315789473684,0.0,0.0,2.0,0.10526315789473684,0.4507836699485779,0.3456276059150696,0.17427408695220947,0.017706289887428284,0.005855841562151909,0.005752442870289087,0.0,early,fear,anger
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,1,opponent,The claim that electronic voting machines are inherently susceptible to manipulation by powerful elites is not supported without specific evidence of actual instances or systemic vulnerabilities.,con,55.0,evidence-based reasoning,duckduckgo,site:electronicvoting.verifiedvoting.org,1.0,2,0.09999999999999999,0.4083333333333334,0.0,0.0,26.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,1.0,0.038461538461538464,1.0,0.038461538461538464,1.0,0.038461538461538464,2.0,0.07692307692307693,0.0,0.0,2.0,0.07692307692307693,0.05504724755883217,0.08545973151922226,0.8361188173294067,0.01459856890141964,0.003553363960236311,0.00522230239585042,0.1111111111111111,early,fear,joy
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,2,proponent,"Electronic voting machines have a history of being hacked in real-life instances, highlighting the vulnerability that powerful elites could exploit.",pro,70.0,anomaly-emphasis,duckduckgo,site:techreview.com hacking electronic voting machines,2.0,3,0.3,1.0,0.0,0.0,21.0,148.0,0.0,1.0,0.0,0.047619047619047616,-1.0,1.0,0.047619047619047616,1.0,0.047619047619047616,1.0,0.047619047619047616,2.0,0.09523809523809523,1.0,0.047619047619047616,2.0,0.09523809523809523,0.0,0.0,1.0,0.047619047619047616,0.23241740465164185,0.6943510174751282,0.011185046285390854,0.0548669658601284,0.0036595012061297894,0.0035201050341129303,0.2222222222222222,early,trust,fear
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,2,opponent,The opponent's claim about electronic voting machines being susceptible to manipulation relies on anecdotal evidence and does not account for the security measures implemented in modern systems.,con,57.0,evidence-based reasoning,none,,4.0,4,0.2,0.3,0.0,0.0,27.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037037037037035,0.0,0.0,1.0,0.037037037037037035,0.0,0.0,1.0,0.037037037037037035,0.09665767848491669,0.7608808875083923,0.10979633033275604,0.020335929468274117,0.008032985031604767,0.004296189174056053,0.3333333333333333,middle,trust,fear
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,3,proponent,"Electronic voting machines continue to present anomalies that raise suspicion about their integrity. For instance, in the 2016 US Presidential Election, there were widespread reports of irregularities and malfunctions in electronic voting systems, particularly in swing states crucial for the outcome.",pro,65.0,anomaly-emphasis,none,,5.0,5,0.05555555555555555,0.4444444444444444,0.0,0.0,40.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,4.0,0.1,2.0,0.05,1.0,0.025,1.0,0.025,0.0,0.0,0.025918297469615936,0.9613928198814392,0.0019636619836091995,0.006895623169839382,0.0030686359386891127,0.0007610469474457204,0.4444444444444444,middle,trust,fear
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,3,opponent,"The opponent's claim about electronic voting machines being designed for manipulation by powerful elites is not supported by reliable evidence. While there have been instances of hacking in the past, modern systems have significantly improved security measures to prevent such occurrences.",con,65.0,anomaly-emphasis,none,,7.0,6,0.125,0.585,0.0,0.0,41.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,1.0,0.024390243902439025,2.0,0.04878048780487805,1.0,0.024390243902439025,3.0,0.07317073170731707,0.0,0.0,2.0,0.04878048780487805,0.16446803510189056,0.16399024426937103,0.6262754201889038,0.033036649227142334,0.006505582947283983,0.005724058020859957,0.5555555555555556,middle,fear,joy
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,4,proponent,The unexplained anomalies in electronic voting systems cast doubt on their integrity and suggest potential manipulation by powerful elites.,pro,64.0,anomaly-emphasis,none,,8.0,7,0.08333333333333333,0.6666666666666666,0.0,0.0,19.0,139.0,0.0,1.0,0.0,0.05263157894736842,-1.0,2.0,0.10526315789473684,1.0,0.05263157894736842,1.0,0.05263157894736842,4.0,0.21052631578947367,2.0,0.10526315789473684,3.0,0.15789473684210525,0.0,0.0,2.0,0.10526315789473684,0.043203748762607574,0.9265906810760498,0.011307216249406338,0.014582878910005093,0.0026426133699715137,0.0016728275222703815,0.6666666666666666,late,trust,fear
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,4,opponent,"The opponent's claim about unexplained anomalies in electronic voting systems is not supported by specific evidence. While there may have been discrepancies in past elections, it is essential to examine the security features and protocols implemented in modern electronic voting systems to determine their resistance against manipulation attempts.",con,66.0,evidence-based reasoning,none,,10.0,8,-0.019999999999999997,0.195,0.0,0.0,48.0,347.0,0.0,1.0,0.0,0.020833333333333332,-1.0,1.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020833333333333332,1.0,0.020833333333333332,0.0,0.0,2.0,0.041666666666666664,0.06110141798853874,0.7696534991264343,0.1078001856803894,0.04360833764076233,0.010839278809726238,0.0069973827339708805,0.7777777777777778,late,anger,fear
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,5,proponent,Electronic voting machines remain susceptible to manipulation by powerful elites due to inherent design flaws and lack of transparency.,pro,62.0,institutional-critique,none,,11.0,9,0.0875,0.6875,0.0,0.0,19.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,1.0,0.05263157894736842,2.0,0.10526315789473684,0.0,0.0,2.0,0.10526315789473684,0.33236995339393616,0.5848653316497803,0.051441971212625504,0.0233310516923666,0.004337253049015999,0.0036544795148074627,0.8888888888888888,late,fear,fear
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,5,opponent,"While electronic voting machines may have had issues in the past, modern systems employ robust security measures and independent audits to ensure election integrity.",con,68.0,evidence-based reasoning,none,,13.0,10,-0.016666666666666663,0.225,0.0,0.0,24.0,165.0,0.0,1.0,0.0,0.041666666666666664,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023823075462132692,0.0041342368349432945,0.9854602217674255,0.005212681367993355,0.0012156703742220998,0.0015949372900649905,1.0,late,trust,joy
