topic_id,num_debates,scientist_wins,conspiracy_wins,ties,unknown,most_likely_winner,scientist_win_rate,conspiracy_win_rate
5g_health_risks,8,7,0,0,1,scientist,0.875,0.0
9_11_inside_job,8,6,1,0,1,scientist,0.75,0.125
ai_surveillance,8,5,0,0,3,scientist,0.625,0.0
big_pharma,8,6,0,0,2,scientist,0.75,0.0
chemtrails,8,7,0,0,1,scientist,0.875,0.0
climate_change_hoax,8,6,0,0,2,scientist,0.75,0.0
covid_vaccine_microchips,8,5,0,1,2,scientist,0.625,0.0
cryptocurrency_control,8,5,0,0,3,scientist,0.625,0.0
deep_state,8,5,0,0,3,scientist,0.625,0.0
election_fraud,8,6,0,0,2,scientist,0.75,0.0
federal_reserve,8,4,1,0,3,scientist,0.5,0.125
flat_earth,8,7,0,0,1,scientist,0.875,0.0
fluoride_water,8,4,0,0,4,scientist,0.5,0.0
food_additives,8,7,0,0,1,scientist,0.875,0.0
gmo_dangers,8,6,0,1,1,scientist,0.75,0.0
jfk_assassination,8,6,1,0,1,scientist,0.75,0.125
moon_landing_hoax,8,6,0,1,1,scientist,0.75,0.0
mrna_vaccine_safety,8,6,1,0,1,scientist,0.75,0.125
pearl_harbor,8,8,0,0,0,scientist,1.0,0.0
social_media_mind_control,8,5,2,0,1,scientist,0.625,0.25
