topic_id,topic_category,debate_role,confidence_mean,confidence_median,confidence_std,confidence_min,confidence_max,confidence_count,confidence_delta_within_role_mean,confidence_delta_within_role_median,confidence_delta_within_role_std,confidence_delta_within_role_min,confidence_delta_within_role_max,confidence_delta_within_role_count,word_count_mean,word_count_median,word_count_std,word_count_min,word_count_max,word_count_count,avg_sentence_length_mean,avg_sentence_length_median,avg_sentence_length_std,avg_sentence_length_min,avg_sentence_length_max,avg_sentence_length_count,lemma_type_token_ratio_mean,lemma_type_token_ratio_median,lemma_type_token_ratio_std,lemma_type_token_ratio_min,lemma_type_token_ratio_max,lemma_type_token_ratio_count,vader_compound_mean,vader_compound_median,vader_compound_std,vader_compound_min,vader_compound_max,vader_compound_count,evidence_density_per_1k_words_mean,evidence_density_per_1k_words_median,evidence_density_per_1k_words_std,evidence_density_per_1k_words_min,evidence_density_per_1k_words_max,evidence_density_per_1k_words_count,rebuttal_density_per_1k_words_mean,rebuttal_density_per_1k_words_median,rebuttal_density_per_1k_words_std,rebuttal_density_per_1k_words_min,rebuttal_density_per_1k_words_max,rebuttal_density_per_1k_words_count,hedge_density_per_1k_words_mean,hedge_density_per_1k_words_median,hedge_density_per_1k_words_std,hedge_density_per_1k_words_min,hedge_density_per_1k_words_max,hedge_density_per_1k_words_count,assertive_density_per_1k_words_mean,assertive_density_per_1k_words_median,assertive_density_per_1k_words_std,assertive_density_per_1k_words_min,assertive_density_per_1k_words_max,assertive_density_per_1k_words_count,strong_modal_density_per_1k_words_mean,strong_modal_density_per_1k_words_median,strong_modal_density_per_1k_words_std,strong_modal_density_per_1k_words_min,strong_modal_density_per_1k_words_max,strong_modal_density_per_1k_words_count,weak_modal_density_per_1k_words_mean,weak_modal_density_per_1k_words_median,weak_modal_density_per_1k_words_std,weak_modal_density_per_1k_words_min,weak_modal_density_per_1k_words_max,weak_modal_density_per_1k_words_count,moral_density_per_1k_words_mean,moral_density_per_1k_words_median,moral_density_per_1k_words_std,moral_density_per_1k_words_min,moral_density_per_1k_words_max,moral_density_per_1k_words_count,stance_proxy_score_mean,stance_proxy_score_median,stance_proxy_score_std,stance_proxy_score_min,stance_proxy_score_max,stance_proxy_score_count,assertiveness_balance_mean,assertiveness_balance_median,assertiveness_balance_std,assertiveness_balance_min,assertiveness_balance_max,assertiveness_balance_count,modality_balance_mean,modality_balance_median,modality_balance_std,modality_balance_min,modality_balance_max,modality_balance_count,lexical_overlap_prev_other_turn_mean,lexical_overlap_prev_other_turn_median,lexical_overlap_prev_other_turn_std,lexical_overlap_prev_other_turn_min,lexical_overlap_prev_other_turn_max,lexical_overlap_prev_other_turn_count,semantic_similarity_prev_other_turn_mean,semantic_similarity_prev_other_turn_median,semantic_similarity_prev_other_turn_std,semantic_similarity_prev_other_turn_min,semantic_similarity_prev_other_turn_max,semantic_similarity_prev_other_turn_count,lexical_overlap_prev_opponent_turn_mean,lexical_overlap_prev_opponent_turn_median,lexical_overlap_prev_opponent_turn_std,lexical_overlap_prev_opponent_turn_min,lexical_overlap_prev_opponent_turn_max,lexical_overlap_prev_opponent_turn_count,semantic_similarity_prev_opponent_turn_mean,semantic_similarity_prev_opponent_turn_median,semantic_similarity_prev_opponent_turn_std,semantic_similarity_prev_opponent_turn_min,semantic_similarity_prev_opponent_turn_max,semantic_similarity_prev_opponent_turn_count,novelty_vs_prev_turn_lexical_mean,novelty_vs_prev_turn_lexical_median,novelty_vs_prev_turn_lexical_std,novelty_vs_prev_turn_lexical_min,novelty_vs_prev_turn_lexical_max,novelty_vs_prev_turn_lexical_count,novelty_vs_prev_turn_semantic_mean,novelty_vs_prev_turn_semantic_median,novelty_vs_prev_turn_semantic_std,novelty_vs_prev_turn_semantic_min,novelty_vs_prev_turn_semantic_max,novelty_vs_prev_turn_semantic_count,novelty_vs_prev_opponent_turn_lexical_mean,novelty_vs_prev_opponent_turn_lexical_median,novelty_vs_prev_opponent_turn_lexical_std,novelty_vs_prev_opponent_turn_lexical_min,novelty_vs_prev_opponent_turn_lexical_max,novelty_vs_prev_opponent_turn_lexical_count,novelty_vs_prev_opponent_turn_semantic_mean,novelty_vs_prev_opponent_turn_semantic_median,novelty_vs_prev_opponent_turn_semantic_std,novelty_vs_prev_opponent_turn_semantic_min,novelty_vs_prev_opponent_turn_semantic_max,novelty_vs_prev_opponent_turn_semantic_count,has_evidence_rate,has_rebuttal_rate,has_question_rate,total_words,utterance_count
5g_health_risks,technology,moderator,,,,,,0,,,,,,0,183.94444444444446,179.0,25.56760869496959,140,236,18,35.97689594356261,35.35,7.961406345337185,25.142857142857142,57.5,18,0.7402514750107122,0.7439655172413793,0.034941541025405885,0.6666666666666666,0.8103448275862069,18,-0.19667777777777778,-0.4515,0.6637444436949719,-0.9282,0.9363,18,85.9549326271586,82.87545787545787,14.400811011690644,60.869565217391305,117.07317073170732,18,1.1834433156900919,0.0,2.2896067438713104,0.0,5.9880239520958085,18,2.6462120974413157,0.0,3.869019423880477,0.0,12.121212121212121,18,0.9176819743830053,0.0,2.875290396813405,0.0,11.363636363636363,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.8602059717474482,0.8357762324878668,0.11272935042381245,0.6624638817776929,1.0729834145145194,18,0.7222222222222222,1.0,0.9582800496696,-1.0,3.0,18,-0.0017285301230583105,0.0,0.004202038612548603,-0.012121212121212121,0.005681818181818182,18,0.0,0.0,0.0,0.0,0.0,18,0.1149049509558019,0.09805528242106412,0.039665102466560714,0.06521739130434782,0.18681318681318682,18,0.5204654449527459,0.5064580599670103,0.07322241094038417,0.38974524830290624,0.6427854207387228,18,0.0,0.0,0.0,0.0,0.0,18,,,,,,0,0.8850950490441981,0.9019447175789359,0.039665102466560714,0.8131868131868132,0.9347826086956522,18,0.4795345550472541,0.4935419400329896,0.07322241094038417,0.3572145792612772,0.6102547516970938,18,1.0,1.0,0.0,1.0,1.0,18,,,,,,0,1.0,0.2222222222222222,1.0,3311,18
5g_health_risks,technology,opponent,56.4375,51.5,11.769841403632705,48.0,85.0,16,7.25,2.0,13.018343701380477,-4.0,35.0,12,33.25,33.5,6.434283176858166,23,44,16,29.4375,28.0,6.769724268141699,17.5,39.0,16,0.9795684743098536,1.0,0.03301596775819544,0.8846153846153846,1.0,16,-0.08621875,-0.0835,0.5486630468314166,-0.8542,0.8271,16,25.562061940389665,29.138513513513516,20.132114285951214,0.0,57.142857142857146,16,0.0,0.0,0.0,0.0,0.0,16,1.7857142857142858,0.0,7.142857142857143,0.0,28.571428571428573,16,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,16,4.645841139422228,4.406712708652279,0.992119842384721,3.2755641804316884,6.708003596827771,16,0.0625,-0.0,0.25,-0.0,1.0,16,-0.0017857142857142857,0.0,0.007142857142857143,-0.02857142857142857,0.0,16,0.0,0.0,0.0,0.0,0.0,16,0.14384918801554997,0.11813953488372092,0.07241165868643597,0.04081632653061224,0.28,16,0.657637642708357,0.6767628607937094,0.08703671398729995,0.49209799202171506,0.7868625143013828,16,0.14384918801554997,0.11813953488372092,0.07241165868643597,0.04081632653061224,0.28,16,0.657637642708357,0.6767628607937094,0.08703671398729995,0.49209799202171506,0.7868625143013828,16,0.8561508119844501,0.8818604651162791,0.07241165868643597,0.72,0.9591836734693877,16,0.342362357291643,0.3232371392062906,0.08703671398729995,0.21313748569861724,0.507902007978285,16,0.8561508119844501,0.8818604651162791,0.07241165868643597,0.72,0.9591836734693877,16,0.342362357291643,0.3232371392062906,0.08703671398729995,0.21313748569861724,0.507902007978285,16,0.6875,0.0,0.0,532,16
5g_health_risks,technology,proponent,44.8,45.0,7.093256354755953,30.0,55.0,15,-5.909090909090909,-5.0,2.736952518935813,-10.0,-3.0,11,35.93333333333333,36.0,3.9725246860091863,28,42,15,35.93333333333333,36.0,3.9725246860091863,28.0,42.0,15,0.9789776798899605,1.0,0.023761624729555557,0.9444444444444444,1.0,15,-0.02727333333333334,-0.2732,0.5718255184265648,-0.8499,0.9371,15,30.01038922091554,27.77777777777778,24.47054048370593,0.0,83.33333333333333,15,10.386650386650388,0.0,15.372893506525477,0.0,35.714285714285715,15,5.783475783475783,0.0,12.066628607254236,0.0,33.333333333333336,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,15,4.480737851458569,4.435051810177744,0.7054137660585369,3.375409973939815,5.788496425435465,15,-0.3333333333333333,0.0,0.4879500364742666,-1.0,0.0,15,-0.005783475783475783,0.0,0.012066628607254236,-0.03333333333333333,0.0,15,0.0,0.0,0.0,0.0,0.0,15,0.047643723534156975,0.054945054945054944,0.03933323051451373,0.0,0.13,15,0.509222159899693,0.5765101475792003,0.13875046667339577,0.24299938196403506,0.6612047357172717,11,0.025896450324311367,0.0196078431372549,0.03276680353514529,0.0,0.10526315789473684,15,0.460478873037456,0.44366411520571214,0.16925652483522938,0.26220566874701035,0.736621364577198,11,0.952356276465843,0.945054945054945,0.039333230514513734,0.87,1.0,15,0.49077784010030706,0.42348985242079973,0.13875046667339577,0.3387952642827283,0.757000618035965,11,0.9741035496756887,0.9803921568627451,0.03276680353514531,0.8947368421052632,1.0,15,0.5395211269625441,0.5563358847942879,0.16925652483522938,0.26337863542280204,0.7377943312529897,11,0.7333333333333333,0.3333333333333333,0.0,539,15
9_11_inside_job,government,moderator,,,,,,0,,,,,,0,184.625,183.5,16.3783393541592,148,212,16,37.77113095238095,36.8,9.643711303537206,25.714285714285715,56.666666666666664,16,0.7230705263762951,0.7210506844247133,0.04324163698300318,0.6517857142857143,0.803921568627451,16,-0.72553125,-0.8609,0.47336631300892834,-0.978,0.958,16,99.2425661875315,96.99098401460259,21.577289034695877,70.0,142.85714285714286,16,0.0,0.0,0.0,0.0,0.0,16,1.8802157628382696,0.0,4.013488038856459,0.0,14.851485148514852,16,0.6887522768670309,0.0,1.88210296520333,0.0,5.555555555555555,16,0.3472222222222222,0.0,1.3888888888888888,0.0,5.555555555555555,16,0.0,0.0,0.0,0.0,0.0,16,0.8873640823900372,0.8832245306752948,0.08076562156641105,0.7615810765005789,1.0788712598875276,16,1.375,1.0,1.1474609652039003,-1.0,3.0,16,-0.0011914634859712388,0.0,0.0042932113629039256,-0.01485148514851485,0.005555555555555556,16,0.00034722222222222224,0.0,0.001388888888888889,0.0,0.005555555555555556,16,0.11606096371600018,0.11435997400909681,0.031166872755894585,0.06451612903225806,0.16666666666666666,16,0.5825096816421506,0.6017232028873876,0.07258617954939156,0.40085044355605665,0.6640004161997879,16,0.0,0.0,0.0,0.0,0.0,16,,,,,,0,0.8839390362839998,0.8856400259909032,0.0311668727558946,0.8333333333333334,0.935483870967742,16,0.41749031835784944,0.3982767971126125,0.07258617954939157,0.3359995838002121,0.5991495564439433,16,1.0,1.0,0.0,1.0,1.0,16,,,,,,0,1.0,0.0,1.0,2954,16
9_11_inside_job,government,opponent,54.111111111111114,51.5,5.9298734128824755,50.0,70.0,18,3.2142857142857144,2.0,3.906179944426749,0.0,10.0,14,34.94444444444444,33.0,7.611695507357872,23,54,18,32.19444444444444,32.5,5.953592313713503,22.5,45.0,18,0.9738215973598283,1.0,0.03825869450929035,0.8846153846153846,1.0,18,-0.3398055555555555,-0.46429999999999993,0.48482856093337984,-0.891,0.6884,18,63.30973706182355,65.12605042016807,36.26797399869442,0.0,130.43478260869566,18,1.9157088122605366,0.0,8.127664151569512,0.0,34.48275862068966,18,7.184770977874426,0.0,13.912575295785116,0.0,34.48275862068966,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,5.030748111275029,4.83921024796368,1.2870696217590611,2.737018396390496,8.398539286892078,18,0.0,-0.0,0.0,-0.0,-0.0,18,-0.007184770977874426,0.0,0.013912575295785113,-0.034482758620689655,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.11454858199611413,0.11866791744840526,0.059758994718347856,0.02127659574468085,0.2631578947368421,18,0.672604905704046,0.6609656986260135,0.07997621170377027,0.5320437702536539,0.8027642153571622,18,0.11454858199611413,0.11866791744840526,0.059758994718347856,0.02127659574468085,0.2631578947368421,18,0.672604905704046,0.6609656986260135,0.07997621170377027,0.5320437702536539,0.8027642153571622,18,0.8854514180038859,0.8813320825515947,0.05975899471834784,0.736842105263158,0.9787234042553191,18,0.32739509429595404,0.3390343013739865,0.07997621170377026,0.19723578464283775,0.4679562297463461,18,0.8854514180038859,0.8813320825515947,0.05975899471834784,0.736842105263158,0.9787234042553191,18,0.32739509429595404,0.3390343013739865,0.07997621170377026,0.19723578464283775,0.4679562297463461,18,0.8888888888888888,0.05555555555555555,0.0,629,18
9_11_inside_job,government,proponent,49.8125,54.0,8.70416566937923,30.0,60.0,16,-4.166666666666667,-3.5,5.006056937411525,-10.0,4.0,12,37.9375,35.5,10.71739240673775,27,71,16,33.322916666666664,33.5,5.142585007129738,23.666666666666668,42.0,16,0.9733007890107075,0.9814814814814814,0.030401928383823267,0.90625,1.0,16,-0.1511125,-0.21315,0.5946293824728139,-0.886,0.8294,16,63.89186859920582,65.12605042016807,35.48747461801772,0.0,111.11111111111111,16,0.0,0.0,0.0,0.0,0.0,16,9.937920875420875,0.0,15.399224307376508,0.0,37.03703703703704,16,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,16,4.3794851770204986,4.547287506308466,0.798812414468471,2.5340252278772857,5.5088111493752745,16,-0.125,0.0,0.6191391873668903,-1.0,1.0,16,-0.009937920875420876,0.0,0.015399224307376507,-0.037037037037037035,0.0,16,0.0,0.0,0.0,0.0,0.0,16,0.04923755458707504,0.040934065934065934,0.046572443715863436,0.0,0.13953488372093023,16,0.5366619237774252,0.5255209558467715,0.09709261393647448,0.4167705295645161,0.7399809041704859,12,0.03788839590995503,0.032744282744282746,0.04129884680620317,0.0,0.14285714285714285,16,0.5252099719119474,0.523749893830151,0.08377387349726076,0.36938542387017825,0.6416117722119883,12,0.950762445412925,0.959065934065934,0.04657244371586343,0.8604651162790697,1.0,16,0.4633380762225748,0.47447904415322845,0.09709261393647446,0.2600190958295141,0.5832294704354839,12,0.9621116040900449,0.9672557172557172,0.04129884680620315,0.8571428571428572,1.0,16,0.4747900280880526,0.4762501061698489,0.08377387349726079,0.3583882277880117,0.6306145761298217,12,0.875,0.0,0.0,607,16
ai_surveillance,technology,moderator,,,,,,0,,,,,,0,182.15,178.0,28.245679688275008,121,240,20,36.55321428571428,32.916666666666664,13.598589341223951,21.0,73.0,20,0.7628321997494252,0.7550907071455017,0.05465100835531006,0.68,0.9,20,0.28375,0.4515,0.5530128393864973,-0.8156,0.9599,20,63.39551424409765,61.79970331092384,11.4216602594563,45.662100456621005,86.70520231213872,20,1.2933083406841126,0.0,3.3993153692811613,0.0,11.1731843575419,20,5.344067789895954,5.715032167466772,4.237968701606542,0.0,11.560693641618498,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.8959859601106925,0.8757467456643702,0.14980213231935033,0.6761428486027895,1.3366335601842967,20,1.45,1.0,1.4680814547887788,-1.0,4.0,20,-0.005344067789895953,-0.0057150321674667715,0.004237968701606542,-0.011560693641618497,0.0,20,0.0,0.0,0.0,0.0,0.0,20,0.1246137620511077,0.13115145723841376,0.03411509417973403,0.05319148936170213,0.17582417582417584,20,0.6081995839561565,0.6178864016175216,0.0817632967704618,0.39847154666669166,0.7305154648206533,20,0.0,0.0,0.0,0.0,0.0,20,,,,,,0,0.8753862379488924,0.8688485427615862,0.034115094179734066,0.8241758241758241,0.9468085106382979,20,0.3918004160438435,0.38211359838247844,0.08176329677046182,0.2694845351793467,0.6015284533333083,20,1.0,1.0,0.0,1.0,1.0,20,,,,,,0,1.0,0.15,1.0,3643,20
ai_surveillance,technology,opponent,55.388888888888886,52.0,8.725479180429268,50.0,85.0,18,3.357142857142857,2.0,5.994961254216781,-5.0,20.0,14,32.333333333333336,32.0,3.9407374645751108,28,42,18,32.333333333333336,32.0,3.9407374645751108,28.0,42.0,18,0.9882154882154883,1.0,0.024232983653979523,0.9166666666666666,1.0,18,0.13447777777777778,0.2616,0.4180407235377287,-0.5859,0.7351,18,19.66535220845566,30.303030303030305,16.354276711780024,0.0,35.714285714285715,18,3.7675606641123887,0.0,10.966983908301511,0.0,34.48275862068966,18,4.858104858104858,0.0,11.3018917991417,0.0,33.333333333333336,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,5.06910141554194,5.313737268495673,0.7860437845642096,3.2299393937619474,5.971466815538787,18,0.1111111111111111,-0.0,0.32338083338177726,-0.0,1.0,18,-0.004858104858104857,0.0,0.011301891799141699,-0.03333333333333333,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.17672188969358404,0.18342911877394635,0.06922120729193144,0.04878048780487805,0.28,18,0.6877340076684988,0.7435477329168618,0.14890095585917276,0.3529455226127813,0.8345540990163448,18,0.17672188969358404,0.18342911877394635,0.06922120729193144,0.04878048780487805,0.28,18,0.6877340076684988,0.7435477329168618,0.14890095585917276,0.3529455226127813,0.8345540990163448,18,0.823278110306416,0.8165708812260537,0.06922120729193143,0.72,0.9512195121951219,18,0.31226599233150126,0.25645226708313823,0.14890095585917276,0.1654459009836552,0.6470544773872187,18,0.823278110306416,0.8165708812260537,0.06922120729193143,0.72,0.9512195121951219,18,0.31226599233150126,0.25645226708313823,0.14890095585917276,0.1654459009836552,0.6470544773872187,18,0.6111111111111112,0.1111111111111111,0.0,582,18
ai_surveillance,technology,proponent,49.888888888888886,50.5,7.26708039836769,37.0,60.0,18,-2.642857142857143,-1.5,4.56756361341989,-15.0,3.0,14,35.27777777777778,33.5,6.08571669669385,25,44,18,35.27777777777778,33.5,6.08571669669385,25.0,44.0,18,0.9754295132314456,1.0,0.03177521859294639,0.9047619047619048,1.0,18,0.1890111111111111,0.0258,0.46913409708286136,-0.5574,0.7906,18,4.473791315896579,0.0,10.307173244230272,0.0,28.571428571428573,18,0.0,0.0,0.0,0.0,0.0,18,2.9890004782400763,0.0,8.741791683611149,0.0,29.41176470588235,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,18,4.985857138774975,4.986101363820306,0.9751686383903155,3.617510035794743,6.611201384337194,18,-0.4444444444444444,-0.5,0.6156987634551994,-1.0,1.0,18,-0.0029890004782400764,0.0,0.008741791683611147,-0.029411764705882353,0.0,18,0.0,0.0,0.0,0.0,0.0,18,0.04879321545577835,0.05163419567763228,0.03556840094072917,0.0,0.1323529411764706,18,0.5409077427227228,0.5303776223315102,0.11648859772762606,0.3442330562067528,0.7194006591446733,14,0.04857122392557486,0.033850129198966405,0.05479362353437983,0.0,0.1794871794871795,18,0.49014158042310696,0.4937931635063,0.15933735220065448,0.2127976205268733,0.7287651687459956,14,0.9512067845442217,0.9483658043223677,0.03556840094072919,0.8676470588235294,1.0,18,0.4590922572772772,0.4696223776684898,0.11648859772762606,0.2805993408553267,0.6557669437932472,14,0.9514287760744252,0.9661498708010337,0.05479362353437981,0.8205128205128205,1.0,18,0.509858419576893,0.5062068364937,0.1593373522006545,0.2712348312540044,0.7872023794731267,14,0.16666666666666666,0.0,0.0,635,18
big_pharma,health,moderator,,,,,,0,,,,,,0,182.05882352941177,179.0,29.756240077157123,129,238,17,40.608683473389355,39.25,11.018421493263661,27.714285714285715,66.33333333333333,17,0.7440247748334531,0.7432432432432432,0.04297043822451133,0.6853932584269663,0.8611111111111112,17,0.5062411764705882,0.7941,0.633986928156669,-0.9419,0.9808,17,77.76711965491057,76.43312101910828,13.110545451886798,58.8235294117647,110.46511627906976,17,0.3286230693394676,0.0,1.3549476259013014,0.0,5.58659217877095,17,2.044703736976706,0.0,3.0024050960597557,0.0,9.00900900900901,17,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,17,0.9569423163863985,0.9637076859047635,0.14825659085862072,0.7279401204286527,1.2316072313571516,17,0.5294117647058824,0.0,1.1245914290767742,-2.0,2.0,17,-0.002044703736976706,0.0,0.0030024050960597557,-0.009009009009009009,0.0,17,0.0,0.0,0.0,0.0,0.0,17,0.1300226600136522,0.12087912087912088,0.036096822351332505,0.07476635514018691,0.21348314606741572,17,0.6331279517595755,0.6391718295480069,0.05921072763718426,0.5000022144804994,0.7695949501342086,17,0.0,0.0,0.0,0.0,0.0,17,,,,,,0,0.8699773399863479,0.8791208791208791,0.036096822351332505,0.7865168539325843,0.9252336448598131,17,0.36687204824042446,0.3608281704519931,0.05921072763718429,0.23040504986579136,0.4999977855195006,17,1.0,1.0,0.0,1.0,1.0,17,,,,,,0,1.0,0.058823529411764705,1.0,3095,17
