rank,term,count,per_1k_tokens,total_tokens
1,ca,2309,38.99086441851433,59219
2,sa,1894,31.98297843597494,59219
3,evidence,1394,23.53974231243351,59219
4,agents,658,11.111298738580523,59219
5,proof,542,9.152467957918912,59219
6,specific,455,7.683344872422702,59219
7,acknowledge,440,7.430047788716459,59219
8,questions,416,7.02477245478647,59219
9,potential,386,6.518178287373985,59219
10,agree,376,6.349313564903156,59219
11,burden,358,6.045357064455665,59219
12,control,344,5.808946452996505,59219
13,argues,344,5.808946452996505,59219
14,epistemic,343,5.792059980749421,59219
15,agreements,341,5.758287036255256,59219
16,bridge,341,5.758287036255256,59219
17,round,341,5.758287036255256,59219
18,detected,340,5.741400564008173,59219
19,scores,340,5.741400564008173,59219
20,disagreements,340,5.741400564008173,59219
21,recap,340,5.741400564008173,59219
22,civility,340,5.741400564008173,59219
23,moves,340,5.741400564008173,59219
24,moderator,340,5.741400564008173,59219
25,systemic,324,5.471217008054848,59219
