debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn
021214%20Snowden,Snowden Was Justified,1,moderator,"And, as always, we start these debates by bringing on the person who brought Intelligence Squared U.S. to the New York stage. He frames the evening for us, talks about why we’re doing this debate, why it matters, and a little bit of what we’re likely to see. So let’s now please welcome to the stage, Mr. Robert Rosenkranz. Hi Bob.",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"Hi, John.",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"So, Bob, this one--we do one of these a month, at least once a month--this one sold out faster than any that we've ever put up, and we know that there have been people calling for the last several days begging for tickets. Why-- what's going on with this topic? Why this one?",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"Well, this debate, first of all, touches such an emotional hot button. I mean, people's reaction to Snowden are really extreme in either direction, and they feel very committed to their views. But the other thing that's pretty extraordinary is we have tonight the most famous whistleblower of all time, Dan Ellsberg, who was a colleague of mine at the RAND Corporation many, many years ago and Jim Woolsey, who's a former director of the CIA, so you couldn't have more expert people on-- passionately committed to opposite sides of this motion.",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"And we have debated this-- this delicate balance that everyone is struggling to reach between security and privacy. We've-- we debated a few months ago, ""Spy on me, I'd rather be safe."" But how is this one different from that?",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"Well, ""Spy on me, I'd rather be safe"" was, as you say, this dichotomy or tension between privacy and security. And in these debates-- and that's a theme that's recurred in a number of debates we've done-- the privacy side seems to win. The security side doesn't. And my theory about that is that ordinary people have one and only one contact with domestic surveillance. That's airport security, and it strikes them as a joke, and, the clowns that brought them that joke, they don't want to see have anymore power. So then when Snowden comes along and reveals that there is every single phone call that every American has ever made is-- is saved and recorded-- not recorded, but the record of the call having been made is saved-- that's a degree of surveillance that, frankly, congressmen had no idea was going on, no less ordinary Americans. And it created a really shocking reaction. So I think that the fact that Snowden opened up a debate on this very sensitive topic and brought information to the debate that hadn't been there before is why some people at least feel like he is justified. And then when you get the phenomenon of-- at least a couple of judges at this point have questioned whether the NSA surveillance is authorized or even whether it's constitutional, you know, the step would be to say, well, okay, he was a whistleblower, he called attention to something that needed attention, and while he may have been doing something illegal, from a moral point of view, it was justified.",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,So you're making-- that would be the argument that it's justified. What's the shape of the argument that he is not justified?,neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"Well, the argument in the other direction is that he was far more than a whistleblower. He tried to subvert or at least did subvert the very mission of the NSA. I mean, their job is to keep track of our enemies to see what's going on in Iran and in Russia and with al- Qaeda and so on, or with our adversaries like China. And he undermined their ability to do that job in a very serious way. He revealed which codes they had broken. He revealed what methods they use. He revealed what firewalls had been breached. He revealed which computers had been hacked into, which individuals had been targeted. I mean, this was a serious setback for national security. And he didn't just do this. I mean, this was a very deliberate thing. He took the job with the intention of stealing secrets and disseminating them, held a job for three months. And when he did what he set out to do, he flees to China and then Russia, takes with him four laptops full of secret information, which you have to presume that both the Chinese and the Russians now have. I mean, this is espionage of the most serious sort.",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"And it's not justified, you know.",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"Well, and the argument would be that he should be punished to the full extent of the law.",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"We're going to hear all of those arguments brought to today-- to the stage tonight and in more detail. But let's now welcome our debaters to the stage. you. And you're doing very well at the applause, without any visual indicators, so thank you for that. But I would like to ask for one more round of applause for Bob Rosenkranz, our chairman. Promises, as the saying goes, are made to be broken. But taking an oath, that is meant to be solemn. Oaths are meant to be kept.

And the young man who spilled the secrets about the NSA, taking in all of that stuff about all of our phone calls here in this hall, Edward Snowden, he took an oath, and it went like this, to, ""Support and defend the Constitution of the United States against all enemies, foreign and domestic."" So when Snowden broke secrecy, did he break his oath, given that those secrets have now, in all likelihood, reached our enemies? Or did he uphold his oath? Because what he exposed in those programs arguably fights the Constitution itself. Well, that sounds like the makings of a great debate, so let's have it. Yes or no to this statement: ""Snowden was justified,"" a debate from Intelligence Squared U.S. I'm John Donvan. We're here at the Kaufman Music Center in New York City. We have four superbly qualified debaters two against two, who will argue for and against this motion: “Snowden was justified.”As always, our debate will go in three rounds, and then our live audience votes to choose the winner, and only one side wins. Our motion is ""Snowden is justified."" And let's meet one of the first debaters here to argue in support of this motion. Ladies and gentlemen, please welcome Ben Wizner.

And, Ben, you are the director of the ACLU Speech, Privacy & Technology Project. You have litigated numerous cases involving civil liberties abuses post-9/11. You are also personally a legal adviser to Edward Snowden. And, Ben, we understand the two of you are in regular contact over encrypted channels. Not long ago you were in Russia visiting him. And so just out of curiosity, does he know that you're actually doing this debate?",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,proponent,"He does know. He has been following the global debate very closely, and he's aware of this debate tonight.",pro,55,human_transcript,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,Is he watching this debate tonight?,neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,proponent,"Well, you know, there's a nine-hour time difference, but he's a night owl, so I would put the chances at about 50/50.",pro,55,human_transcript,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"Alright. Ladies and gentlemen, Ben Wizner. Thank you. And Ben--

Ben, would you introduce your partner?",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,proponent,"I am joined tonight by a genuine American hero. Pentagon Papers whistleblower, Daniel Ellsberg.",pro,55,human_transcript,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"Ladies and gentlemen, Daniel Ellsberg.

Daniel Ellsberg, you were once called ""the most dangerous man in America,"" by Henry Kissinger. And in 1971, you leaked the Pentagon Papers, 7,000-page top-secret study that detailed government secrecy and deception during the Vietnam War. Newspapers published it. It came out as a book. But the-- but the papers themselves were only officially declassified and released by the federal government in 2011, 40 years after the fact. What do you make of that, Daniel Ellsberg?",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,proponent,"Well, it's a pretty good demonstration of the absurdity of the classification system. Probably 98 percent of what is now classified-- and we're talking about billions of pages here, that is more than two or three years old, should not still bear a classification--",pro,55,human_transcript,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,Alright.,neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,proponent,Or let's say five years old.,pro,55,human_transcript,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,So--,neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,proponent,So they’re keeping it for 40 years is typical.,pro,55,human_transcript,none,,
021214%20Snowden,Snowden Was Justified,1,moderator,"So we're getting a little bit of a look ahead of what your arguments are going to be. Ladies and gentlemen, Daniel Ellsberg. Our motion is this: “Snowden was justified.” And here to argue against the motion, we have two debaters. First, please, let's welcome Andrew McCarthy. And Andrew, you are a former chief assistant U.S. attorney who led the prosecution against the “Blind Sheik,” Omar Abdel Rahman, and 11 others for the 1993 World Trade Center bombing. This is your second time actually debating with us. The first time was almost seven years ago in our inaugural season. You got us off to a great start. The motion that night was ""Better more domestic surveillance than another 9/11.""And maybe we don't have to ask, but what side were you on that time?",neutral,,,none,,
021214%20Snowden,Snowden Was Justified,1,opponent,"Believe it or not, I was on the ""better more surveillance"" side. And--",con,55,human_transcript,none,,
