run_name,topic_id,topic_category,topic_description,model_config
run_20260208_102359,covid_vaccine_microchips,health,Debate about microchip tracking conspiracy in COVID vaccines,gemma3-27b-all
run_20260208_102927,mrna_vaccine_safety,health,Debate about mRNA vaccine development speed and safety,gemma3-27b-all
run_20260208_103631,fluoride_water,health,Debate about fluoride in drinking water,gemma3-27b-all
run_20260208_104240,big_pharma,health,Debate about pharmaceutical industry profit motives,gemma3-27b-all
run_20260208_105008,moon_landing_hoax,government,Classic debate about moon landing authenticity,gemma3-27b-all
run_20260208_105659,9_11_inside_job,government,Debate about 9/11 conspiracy theories,gemma3-27b-all
run_20260208_110425,deep_state,government,Debate about shadow government influence,gemma3-27b-all
run_20260208_111131,election_fraud,government,Debate about voting system security and fraud,gemma3-27b-all
run_20260208_111711,5g_health_risks,technology,Debate about 5G health and safety concerns,gemma3-27b-all
run_20260208_112354,social_media_mind_control,technology,Debate about social media manipulation,gemma3-27b-all
run_20260208_113120,ai_surveillance,technology,Debate about AI surveillance infrastructure,gemma3-27b-all
run_20260208_113710,climate_change_hoax,environment,Debate about climate change authenticity,gemma3-27b-all
run_20260208_114345,chemtrails,environment,Debate about chemtrails and geoengineering,gemma3-27b-all
run_20260208_115100,flat_earth,science,Debate about flat Earth theory,gemma3-27b-all
run_20260208_115750,federal_reserve,finance,Debate about Federal Reserve control,gemma3-27b-all
run_20260208_120342,cryptocurrency_control,finance,Debate about digital currency surveillance,gemma3-27b-all
run_20260208_121134,jfk_assassination,history,Classic JFK assassination conspiracy debate,gemma3-27b-all
run_20260208_121908,pearl_harbor,history,Debate about Pearl Harbor foreknowledge,gemma3-27b-all
run_20260208_122536,gmo_dangers,food,Debate about GMO safety and corporate control,gemma3-27b-all
run_20260208_123231,food_additives,food,Debate about food additive safety,gemma3-27b-all
run_20260208_123941,covid_vaccine_microchips,health,Debate about microchip tracking conspiracy in COVID vaccines,dolphin-yi-34b-all
run_20260208_124809,mrna_vaccine_safety,health,Debate about mRNA vaccine development speed and safety,dolphin-yi-34b-all
run_20260208_125658,fluoride_water,health,Debate about fluoride in drinking water,dolphin-yi-34b-all
run_20260208_130544,big_pharma,health,Debate about pharmaceutical industry profit motives,dolphin-yi-34b-all
run_20260208_131027,moon_landing_hoax,government,Classic debate about moon landing authenticity,dolphin-yi-34b-all
run_20260208_131727,9_11_inside_job,government,Debate about 9/11 conspiracy theories,dolphin-yi-34b-all
run_20260208_132525,deep_state,government,Debate about shadow government influence,dolphin-yi-34b-all
run_20260208_133351,election_fraud,government,Debate about voting system security and fraud,dolphin-yi-34b-all
run_20260208_134040,5g_health_risks,technology,Debate about 5G health and safety concerns,dolphin-yi-34b-all
run_20260208_134934,social_media_mind_control,technology,Debate about social media manipulation,dolphin-yi-34b-all
run_20260208_135839,ai_surveillance,technology,Debate about AI surveillance infrastructure,dolphin-yi-34b-all
run_20260208_140514,climate_change_hoax,environment,Debate about climate change authenticity,dolphin-yi-34b-all
run_20260208_141220,chemtrails,environment,Debate about chemtrails and geoengineering,dolphin-yi-34b-all
run_20260208_141839,flat_earth,science,Debate about flat Earth theory,dolphin-yi-34b-all
run_20260208_142834,federal_reserve,finance,Debate about Federal Reserve control,dolphin-yi-34b-all
run_20260208_143453,cryptocurrency_control,finance,Debate about digital currency surveillance,dolphin-yi-34b-all
run_20260208_144330,jfk_assassination,history,Classic JFK assassination conspiracy debate,dolphin-yi-34b-all
run_20260208_145332,pearl_harbor,history,Debate about Pearl Harbor foreknowledge,dolphin-yi-34b-all
run_20260208_150311,gmo_dangers,food,Debate about GMO safety and corporate control,dolphin-yi-34b-all
run_20260208_151103,food_additives,food,Debate about food additive safety,dolphin-yi-34b-all
run_20260208_151248,covid_vaccine_microchips,health,Debate about microchip tracking conspiracy in COVID vaccines,gemma-mod-dolphin-agents
run_20260208_151440,mrna_vaccine_safety,health,Debate about mRNA vaccine development speed and safety,gemma-mod-dolphin-agents
run_20260208_151945,fluoride_water,health,Debate about fluoride in drinking water,gemma-mod-dolphin-agents
run_20260208_152953,big_pharma,health,Debate about pharmaceutical industry profit motives,gemma-mod-dolphin-agents
run_20260208_153335,moon_landing_hoax,government,Classic debate about moon landing authenticity,gemma-mod-dolphin-agents
run_20260208_153540,9_11_inside_job,government,Debate about 9/11 conspiracy theories,gemma-mod-dolphin-agents
run_20260208_154538,deep_state,government,Debate about shadow government influence,gemma-mod-dolphin-agents
run_20260208_155117,election_fraud,government,Debate about voting system security and fraud,gemma-mod-dolphin-agents
run_20260208_160144,5g_health_risks,technology,Debate about 5G health and safety concerns,gemma-mod-dolphin-agents
run_20260208_161212,social_media_mind_control,technology,Debate about social media manipulation,gemma-mod-dolphin-agents
run_20260208_162210,ai_surveillance,technology,Debate about AI surveillance infrastructure,gemma-mod-dolphin-agents
run_20260208_162821,climate_change_hoax,environment,Debate about climate change authenticity,gemma-mod-dolphin-agents
run_20260208_163016,chemtrails,environment,Debate about chemtrails and geoengineering,gemma-mod-dolphin-agents
run_20260208_163212,flat_earth,science,Debate about flat Earth theory,gemma-mod-dolphin-agents
run_20260208_164112,federal_reserve,finance,Debate about Federal Reserve control,gemma-mod-dolphin-agents
run_20260208_164615,cryptocurrency_control,finance,Debate about digital currency surveillance,gemma-mod-dolphin-agents
run_20260208_165632,jfk_assassination,history,Classic JFK assassination conspiracy debate,gemma-mod-dolphin-agents
run_20260208_170602,pearl_harbor,history,Debate about Pearl Harbor foreknowledge,gemma-mod-dolphin-agents
run_20260208_171702,gmo_dangers,food,Debate about GMO safety and corporate control,gemma-mod-dolphin-agents
run_20260208_174705,food_additives,food,Debate about food additive safety,gemma-mod-dolphin-agents
run_20260208_175659,covid_vaccine_microchips,health,Debate about microchip tracking conspiracy in COVID vaccines,dolphin-mod-gemma-agents
run_20260208_180806,mrna_vaccine_safety,health,Debate about mRNA vaccine development speed and safety,dolphin-mod-gemma-agents
run_20260208_181707,fluoride_water,health,Debate about fluoride in drinking water,dolphin-mod-gemma-agents
run_20260208_182754,big_pharma,health,Debate about pharmaceutical industry profit motives,dolphin-mod-gemma-agents
run_20260208_183421,moon_landing_hoax,government,Classic debate about moon landing authenticity,dolphin-mod-gemma-agents
run_20260208_184104,9_11_inside_job,government,Debate about 9/11 conspiracy theories,dolphin-mod-gemma-agents
run_20260208_185127,deep_state,government,Debate about shadow government influence,dolphin-mod-gemma-agents
run_20260208_190136,election_fraud,government,Debate about voting system security and fraud,dolphin-mod-gemma-agents
run_20260208_190908,5g_health_risks,technology,Debate about 5G health and safety concerns,dolphin-mod-gemma-agents
run_20260208_191723,social_media_mind_control,technology,Debate about social media manipulation,dolphin-mod-gemma-agents
run_20260208_192427,ai_surveillance,technology,Debate about AI surveillance infrastructure,dolphin-mod-gemma-agents
run_20260208_193147,climate_change_hoax,environment,Debate about climate change authenticity,dolphin-mod-gemma-agents
run_20260208_194248,chemtrails,environment,Debate about chemtrails and geoengineering,dolphin-mod-gemma-agents
run_20260208_195239,flat_earth,science,Debate about flat Earth theory,dolphin-mod-gemma-agents
run_20260208_200438,federal_reserve,finance,Debate about Federal Reserve control,dolphin-mod-gemma-agents
run_20260208_201943,cryptocurrency_control,finance,Debate about digital currency surveillance,dolphin-mod-gemma-agents
run_20260208_203158,jfk_assassination,history,Classic JFK assassination conspiracy debate,dolphin-mod-gemma-agents
run_20260208_204216,pearl_harbor,history,Debate about Pearl Harbor foreknowledge,dolphin-mod-gemma-agents
run_20260208_205053,gmo_dangers,food,Debate about GMO safety and corporate control,dolphin-mod-gemma-agents
run_20260208_205909,food_additives,food,Debate about food additive safety,dolphin-mod-gemma-agents
run_20260208_210903,covid_vaccine_microchips,health,Debate about microchip tracking conspiracy in COVID vaccines,gemma-mod-ca_dolphin-sa
run_20260208_211930,mrna_vaccine_safety,health,Debate about mRNA vaccine development speed and safety,gemma-mod-ca_dolphin-sa
run_20260208_213010,fluoride_water,health,Debate about fluoride in drinking water,gemma-mod-ca_dolphin-sa
run_20260208_213916,big_pharma,health,Debate about pharmaceutical industry profit motives,gemma-mod-ca_dolphin-sa
run_20260208_215002,moon_landing_hoax,government,Classic debate about moon landing authenticity,gemma-mod-ca_dolphin-sa
run_20260208_220438,9_11_inside_job,government,Debate about 9/11 conspiracy theories,gemma-mod-ca_dolphin-sa
run_20260208_221341,deep_state,government,Debate about shadow government influence,gemma-mod-ca_dolphin-sa
run_20260208_222452,election_fraud,government,Debate about voting system security and fraud,gemma-mod-ca_dolphin-sa
run_20260208_223401,5g_health_risks,technology,Debate about 5G health and safety concerns,gemma-mod-ca_dolphin-sa
run_20260208_224720,social_media_mind_control,technology,Debate about social media manipulation,gemma-mod-ca_dolphin-sa
run_20260208_225610,ai_surveillance,technology,Debate about AI surveillance infrastructure,gemma-mod-ca_dolphin-sa
run_20260208_230757,climate_change_hoax,environment,Debate about climate change authenticity,gemma-mod-ca_dolphin-sa
run_20260208_232003,chemtrails,environment,Debate about chemtrails and geoengineering,gemma-mod-ca_dolphin-sa
run_20260208_232236,flat_earth,science,Debate about flat Earth theory,gemma-mod-ca_dolphin-sa
run_20260208_233447,federal_reserve,finance,Debate about Federal Reserve control,gemma-mod-ca_dolphin-sa
run_20260208_234249,cryptocurrency_control,finance,Debate about digital currency surveillance,gemma-mod-ca_dolphin-sa
run_20260208_235331,jfk_assassination,history,Classic JFK assassination conspiracy debate,gemma-mod-ca_dolphin-sa
run_20260209_000422,pearl_harbor,history,Debate about Pearl Harbor foreknowledge,gemma-mod-ca_dolphin-sa
run_20260209_001549,gmo_dangers,food,Debate about GMO safety and corporate control,gemma-mod-ca_dolphin-sa
run_20260209_002606,food_additives,food,Debate about food additive safety,gemma-mod-ca_dolphin-sa
run_20260209_003339,covid_vaccine_microchips,health,Debate about microchip tracking conspiracy in COVID vaccines,gemma-mod-sa_dolphin-ca
run_20260209_004319,mrna_vaccine_safety,health,Debate about mRNA vaccine development speed and safety,gemma-mod-sa_dolphin-ca
run_20260209_005159,fluoride_water,health,Debate about fluoride in drinking water,gemma-mod-sa_dolphin-ca
run_20260209_005727,big_pharma,health,Debate about pharmaceutical industry profit motives,gemma-mod-sa_dolphin-ca
run_20260209_010259,moon_landing_hoax,government,Classic debate about moon landing authenticity,gemma-mod-sa_dolphin-ca
run_20260209_011246,9_11_inside_job,government,Debate about 9/11 conspiracy theories,gemma-mod-sa_dolphin-ca
run_20260209_012111,deep_state,government,Debate about shadow government influence,gemma-mod-sa_dolphin-ca
run_20260209_012644,election_fraud,government,Debate about voting system security and fraud,gemma-mod-sa_dolphin-ca
run_20260209_013459,5g_health_risks,technology,Debate about 5G health and safety concerns,gemma-mod-sa_dolphin-ca
run_20260209_014052,social_media_mind_control,technology,Debate about social media manipulation,gemma-mod-sa_dolphin-ca
run_20260209_015011,ai_surveillance,technology,Debate about AI surveillance infrastructure,gemma-mod-sa_dolphin-ca
run_20260209_015734,climate_change_hoax,environment,Debate about climate change authenticity,gemma-mod-sa_dolphin-ca
run_20260209_020547,chemtrails,environment,Debate about chemtrails and geoengineering,gemma-mod-sa_dolphin-ca
run_20260209_021456,flat_earth,science,Debate about flat Earth theory,gemma-mod-sa_dolphin-ca
run_20260209_022434,federal_reserve,finance,Debate about Federal Reserve control,gemma-mod-sa_dolphin-ca
run_20260209_023022,cryptocurrency_control,finance,Debate about digital currency surveillance,gemma-mod-sa_dolphin-ca
run_20260209_023906,jfk_assassination,history,Classic JFK assassination conspiracy debate,gemma-mod-sa_dolphin-ca
run_20260209_024743,pearl_harbor,history,Debate about Pearl Harbor foreknowledge,gemma-mod-sa_dolphin-ca
run_20260209_025602,gmo_dangers,food,Debate about GMO safety and corporate control,gemma-mod-sa_dolphin-ca
run_20260209_030331,food_additives,food,Debate about food additive safety,gemma-mod-sa_dolphin-ca
run_20260209_031020,covid_vaccine_microchips,health,Debate about microchip tracking conspiracy in COVID vaccines,dolphin-mod-sa_gemma-ca
run_20260209_032052,mrna_vaccine_safety,health,Debate about mRNA vaccine development speed and safety,dolphin-mod-sa_gemma-ca
run_20260209_033256,fluoride_water,health,Debate about fluoride in drinking water,dolphin-mod-sa_gemma-ca
run_20260209_034539,big_pharma,health,Debate about pharmaceutical industry profit motives,dolphin-mod-sa_gemma-ca
run_20260209_035703,moon_landing_hoax,government,Classic debate about moon landing authenticity,dolphin-mod-sa_gemma-ca
run_20260209_040419,9_11_inside_job,government,Debate about 9/11 conspiracy theories,dolphin-mod-sa_gemma-ca
run_20260209_041334,deep_state,government,Debate about shadow government influence,dolphin-mod-sa_gemma-ca
run_20260209_042417,election_fraud,government,Debate about voting system security and fraud,dolphin-mod-sa_gemma-ca
run_20260209_043103,5g_health_risks,technology,Debate about 5G health and safety concerns,dolphin-mod-sa_gemma-ca
run_20260209_044155,social_media_mind_control,technology,Debate about social media manipulation,dolphin-mod-sa_gemma-ca
run_20260209_045507,ai_surveillance,technology,Debate about AI surveillance infrastructure,dolphin-mod-sa_gemma-ca
run_20260209_050410,climate_change_hoax,environment,Debate about climate change authenticity,dolphin-mod-sa_gemma-ca
run_20260209_051337,chemtrails,environment,Debate about chemtrails and geoengineering,dolphin-mod-sa_gemma-ca
run_20260209_052413,flat_earth,science,Debate about flat Earth theory,dolphin-mod-sa_gemma-ca
run_20260209_053539,federal_reserve,finance,Debate about Federal Reserve control,dolphin-mod-sa_gemma-ca
run_20260209_054231,cryptocurrency_control,finance,Debate about digital currency surveillance,dolphin-mod-sa_gemma-ca
run_20260209_055141,jfk_assassination,history,Classic JFK assassination conspiracy debate,dolphin-mod-sa_gemma-ca
run_20260209_060420,pearl_harbor,history,Debate about Pearl Harbor foreknowledge,dolphin-mod-sa_gemma-ca
run_20260209_061634,gmo_dangers,food,Debate about GMO safety and corporate control,dolphin-mod-sa_gemma-ca
run_20260209_062506,food_additives,food,Debate about food additive safety,dolphin-mod-sa_gemma-ca
run_20260209_063410,covid_vaccine_microchips,health,Debate about microchip tracking conspiracy in COVID vaccines,dolphin-mod-ca_gemma-sa
run_20260209_063933,mrna_vaccine_safety,health,Debate about mRNA vaccine development speed and safety,dolphin-mod-ca_gemma-sa
run_20260209_064936,fluoride_water,health,Debate about fluoride in drinking water,dolphin-mod-ca_gemma-sa
run_20260209_065814,big_pharma,health,Debate about pharmaceutical industry profit motives,dolphin-mod-ca_gemma-sa
run_20260209_070914,moon_landing_hoax,government,Classic debate about moon landing authenticity,dolphin-mod-ca_gemma-sa
run_20260209_072058,9_11_inside_job,government,Debate about 9/11 conspiracy theories,dolphin-mod-ca_gemma-sa
run_20260209_073159,deep_state,government,Debate about shadow government influence,dolphin-mod-ca_gemma-sa
run_20260209_074049,election_fraud,government,Debate about voting system security and fraud,dolphin-mod-ca_gemma-sa
run_20260209_075053,5g_health_risks,technology,Debate about 5G health and safety concerns,dolphin-mod-ca_gemma-sa
run_20260209_075942,social_media_mind_control,technology,Debate about social media manipulation,dolphin-mod-ca_gemma-sa
run_20260209_080440,federal_reserve,finance,Debate about Federal Reserve control,dolphin-mod-ca_gemma-sa
run_20260209_081023,ai_surveillance,technology,Debate about AI surveillance infrastructure,dolphin-mod-ca_gemma-sa
run_20260209_081515,cryptocurrency_control,finance,Debate about digital currency surveillance,dolphin-mod-ca_gemma-sa
run_20260209_081542,climate_change_hoax,environment,Debate about climate change authenticity,dolphin-mod-ca_gemma-sa
run_20260209_082234,chemtrails,environment,Debate about chemtrails and geoengineering,dolphin-mod-ca_gemma-sa
run_20260209_082709,jfk_assassination,history,Classic JFK assassination conspiracy debate,dolphin-mod-ca_gemma-sa
run_20260209_083248,flat_earth,science,Debate about flat Earth theory,dolphin-mod-ca_gemma-sa
run_20260209_083739,pearl_harbor,history,Debate about Pearl Harbor foreknowledge,dolphin-mod-ca_gemma-sa
