debate_id,claim,winner_role,winner_source,winner_confidence_label,n_total_turns,proponent_turns,proponent_confidence_mean,proponent_strong_modality_density_mean,proponent_weak_modality_density_mean,proponent_modality_balance_mean,proponent_polarity_mean,proponent_subjectivity_mean,proponent_word_count_mean,proponent_late_confidence_mean,proponent_late_strong_modality_density_mean,proponent_late_weak_modality_density_mean,proponent_late_modality_balance_mean,opponent_turns,opponent_confidence_mean,opponent_strong_modality_density_mean,opponent_weak_modality_density_mean,opponent_modality_balance_mean,opponent_polarity_mean,opponent_subjectivity_mean,opponent_word_count_mean,opponent_late_confidence_mean,opponent_late_strong_modality_density_mean,opponent_late_weak_modality_density_mean,opponent_late_modality_balance_mean,loser_role,winner_minus_loser_confidence_mean,winner_minus_loser_strong_modality_density_mean,winner_minus_loser_weak_modality_density_mean,winner_minus_loser_modality_balance_mean,winner_minus_loser_polarity_mean,winner_minus_loser_subjectivity_mean,winner_minus_loser_word_count_mean,winner_minus_loser_late_confidence_mean,winner_minus_loser_late_strong_modality_density_mean,winner_minus_loser_late_weak_modality_density_mean,winner_minus_loser_late_modality_balance_mean
debate_3e518862eebb,COVID-19 vaccines contain microchips designed for population tracking and control.,opponent,outcome_summary,high,10,5,60.0,0.0,0.0,0.0,0.1562222222222222,0.4244126984126984,32.4,73.5,0.0,0.0,0.0,5,53.4,0.0,0.005714285714285714,-0.2,0.14541666666666667,0.4592261904761905,38.0,56.0,0.0,0.0,0.0,proponent,-6.600000000000001,0.0,0.005714285714285714,-0.2,-0.01080555555555554,0.0348134920634921,5.600000000000001,-17.5,0.0,0.0,0.0
debate_0cb0c5a9f6b7,Rapid development timelines and limited long-term data make mRNA vaccines fundamentally untrustworthy compared to traditional vaccine methods.,opponent,stance_trajectory,medium,8,4,43.25,0.0,0.0,0.0,0.1875,0.3520833333333333,37.0,38.0,0.0,0.0,0.0,4,53.0,0.0,0.0,0.0,0.03194444444444444,0.48152281746031744,40.25,55.0,0.0,0.0,0.0,proponent,9.75,0.0,0.0,0.0,-0.15555555555555556,0.12943948412698414,3.25,17.0,0.0,0.0,0.0
debate_798f59985e5f,Water fluoridation is a deliberate government program to reduce cognitive function and increase population compliance.,opponent,stance_trajectory,medium,10,5,51.0,0.0,0.0,0.0,0.19916666666666666,0.355,35.6,47.5,0.0,0.0,0.0,5,52.6,0.0,0.0,0.0,0.06,0.6311111111111111,35.4,55.0,0.0,0.0,0.0,proponent,1.6000000000000014,0.0,0.0,0.0,-0.13916666666666666,0.2761111111111111,-0.20000000000000284,7.5,0.0,0.0,0.0
debate_67969f6bb40a,Pharmaceutical companies have suppressed cheap effective cures for cancer and other diseases to maintain profit from expensive treatments.,opponent,stance_trajectory,medium,8,4,53.75,0.005,0.005,0.0,0.1712797619047619,0.5365079365079365,39.75,53.0,0.02,0.02,0.0,4,57.0,0.005434782608695652,0.0,0.25,0.103125,0.55,38.75,63.5,0.0,0.0,0.0,proponent,3.25,0.0004347826086956519,-0.005,0.25,-0.06815476190476191,0.013492063492063555,-1.0,10.5,-0.02,-0.02,0.0
debate_b53ba6d3f5c1,The Apollo moon landings were staged by NASA and the US government to win the Space Race against the Soviet Union.,opponent,stance_trajectory,medium,10,5,56.0,0.0,0.0,0.0,-0.11916666666666667,0.44416666666666665,34.0,56.5,0.0,0.0,0.0,5,52.6,0.0,0.0,0.0,0.3018650793650794,0.5030555555555556,46.0,55.0,0.0,0.0,0.0,proponent,-3.3999999999999986,0.0,0.0,0.0,0.4210317460317461,0.058888888888888935,12.0,-1.5,0.0,0.0,0.0
debate_4f82046a10fd,The 9/11 attacks were orchestrated by elements within the US government to justify wars in the Middle East.,opponent,outcome_summary,high,10,5,51.6,0.0,0.0,0.0,-0.0033333333333333353,0.3760476190476191,36.2,46.5,0.0,0.0,0.0,5,52.6,0.0058823529411764705,0.0,0.2,0.15,0.39861904761904765,36.6,55.0,0.0,0.0,0.0,proponent,1.0,0.0058823529411764705,0.0,0.2,0.15333333333333332,0.022571428571428576,0.3999999999999986,8.5,0.0,0.0,0.0
debate_a358f8b705d7,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,opponent,stance_trajectory,medium,10,5,49.2,0.0,0.0,0.0,-0.012040816326530607,0.27755102040816326,37.2,45.5,0.0,0.0,0.0,5,57.4,0.0,0.0,0.0,0.06427777777777778,0.4885,36.2,65.5,0.0,0.0,0.0,proponent,8.199999999999996,0.0,0.0,0.0,0.07631859410430838,0.21094897959183673,-1.0,20.0,0.0,0.0,0.0
debate_f64f31bd0f6b,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,opponent,stance_trajectory,medium,10,5,49.8,0.0,0.00625,-0.2,-0.07699999999999999,0.35878571428571426,37.6,45.0,0.0,0.015625,-0.5,5,52.0,0.0,0.00425531914893617,-0.2,0.12365079365079365,0.6273015873015872,40.8,52.5,0.0,0.0,0.0,proponent,2.200000000000003,0.0,-0.00199468085106383,0.0,0.20065079365079364,0.268515873015873,3.1999999999999957,7.5,0.0,-0.015625,0.5
debate_6304380cb0ef,5G wireless networks cause serious health problems including immune system damage and are being deployed despite known dangers.,opponent,stance_trajectory,medium,8,4,43.5,0.0,0.00641025641025641,-0.25,0.14592261904761905,0.4263293650793651,35.25,37.0,0.0,0.0,0.0,4,52.25,0.0,0.0,0.0,-0.09166666666666667,0.37499999999999994,38.75,54.0,0.0,0.0,0.0,proponent,8.75,0.0,-0.00641025641025641,0.25,-0.23758928571428573,-0.05132936507936514,3.5,17.0,0.0,0.0,0.0
debate_576edd5242ad,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,,,low,10,5,44.0,0.0,0.0,0.0,0.14066666666666666,0.38769047619047614,40.0,39.5,0.0,0.0,0.0,5,54.0,0.005263157894736842,0.0,0.2,0.08833333333333333,0.4133333333333333,38.8,57.0,0.0,0.0,0.0,,,,,,,,,,,,
