group_type,group_name,rank,term,term_type,count
model,dolphin-yi-34b,1,evidence,unigram,1010
model,dolphin-yi-34b,2,ca,unigram,971
model,dolphin-yi-34b,3,sa,unigram,963
model,dolphin-yi-34b,4,specific,unigram,503
model,dolphin-yi-34b,5,agents,unigram,501
model,dolphin-yi-34b,6,questions,unigram,496
model,dolphin-yi-34b,7,control,unigram,371
model,dolphin-yi-34b,8,argues,unigram,367
model,dolphin-yi-34b,9,moves,unigram,355
model,dolphin-yi-34b,10,agreements,unigram,354
model,dolphin-yi-34b,11,round,unigram,353
model,dolphin-yi-34b,12,detected,unigram,351
model,dolphin-yi-34b,13,civility epistemic bridge,trigram,350
model,dolphin-yi-34b,14,disagreements,unigram,350
model,dolphin-yi-34b,15,recap,unigram,350
model,dolphin-yi-34b,16,detected moves,bigram,350
model,dolphin-yi-34b,17,bridge questions,bigram,350
model,dolphin-yi-34b,18,civility epistemic,bigram,350
model,dolphin-yi-34b,19,round recap agreements,trigram,350
model,dolphin-yi-34b,20,round recap,bigram,350
model,dolphin-yi-34b,21,bridge,unigram,350
model,dolphin-yi-34b,22,moderator round recap,trigram,350
model,dolphin-yi-34b,23,moderator round,bigram,350
model,dolphin-yi-34b,24,moderator,unigram,350
model,dolphin-yi-34b,25,civility,unigram,350
model,gemma3:27b,1,ca,unigram,2309
model,gemma3:27b,2,sa,unigram,1894
model,gemma3:27b,3,evidence,unigram,1394
model,gemma3:27b,4,agents,unigram,658
model,gemma3:27b,5,proof,unigram,542
model,gemma3:27b,6,specific,unigram,455
model,gemma3:27b,7,acknowledge,unigram,440
model,gemma3:27b,8,questions,unigram,416
model,gemma3:27b,9,potential,unigram,386
model,gemma3:27b,10,agree,unigram,376
model,gemma3:27b,11,burden,unigram,358
model,gemma3:27b,12,burden proof,bigram,345
model,gemma3:27b,13,control,unigram,344
model,gemma3:27b,14,argues,unigram,344
model,gemma3:27b,15,epistemic,unigram,343
model,gemma3:27b,16,round,unigram,341
model,gemma3:27b,17,bridge,unigram,341
model,gemma3:27b,18,agreements,unigram,341
model,gemma3:27b,19,recap agreements,bigram,340
model,gemma3:27b,20,epistemic bridge questions,trigram,340
model,gemma3:27b,21,moves,unigram,340
model,gemma3:27b,22,scores civility,bigram,340
model,gemma3:27b,23,disagreements,unigram,340
model,gemma3:27b,24,bridge questions,bigram,340
model,gemma3:27b,25,moderator,unigram,340
role,moderator,1,ca,unigram,3280
role,moderator,2,sa,unigram,2838
role,moderator,3,evidence,unigram,1905
role,moderator,4,agents,unigram,1142
role,moderator,5,questions,unigram,898
role,moderator,6,specific,unigram,867
role,moderator,7,acknowledge,unigram,770
role,moderator,8,moves,unigram,695
