group_type,group_name,rank,term,target_tfidf_mean,other_tfidf_mean,tfidf_gap
model,dolphin-yi-34b,1,government,0.019427841358610743,0.008697139602259343,0.0107307017563514
model,dolphin-yi-34b,2,questions specific,0.009965777533150847,0.0006027934446158664,0.009362984088534981
model,dolphin-yi-34b,3,based,0.011785902840617634,0.0031496125455666335,0.008636290295051
model,dolphin-yi-34b,4,opponent,0.009104016506674143,0.0005786450259269353,0.008525371480747208
model,dolphin-yi-34b,5,vaccines,0.012238231568401276,0.0050698942774095295,0.007168337290991747
model,dolphin-yi-34b,6,agencies,0.013685354007061366,0.006769845866712746,0.00691550814034862
model,dolphin-yi-34b,7,reliable,0.007749869862626315,0.001046326631722616,0.006703543230903699
model,dolphin-yi-34b,8,companies,0.009933034699298954,0.003381693243330025,0.00655134145596893
model,dolphin-yi-34b,9,moon,0.0066450526209669005,0.00043688717760417546,0.006208165443362725
model,dolphin-yi-34b,10,water,0.009638101239326907,0.003542728419823868,0.006095372819503038
model,dolphin-yi-34b,11,specific evidence,0.00919732318829876,0.003150280040000101,0.00604704314829866
model,dolphin-yi-34b,12,does,0.008854387441969097,0.002973381088503357,0.00588100635346574
model,dolphin-yi-34b,13,central,0.008965532520615114,0.00313093958145851,0.005834592939156604
model,dolphin-yi-34b,14,water fluoridation,0.009359299068821268,0.003572020068474277,0.005787279000346991
model,dolphin-yi-34b,15,electronic voting,0.008487439488429659,0.002715886094371921,0.005771553394057738
model,dolphin-yi-34b,16,supported,0.008176666111581769,0.002445830354356613,0.005730835757225156
model,dolphin-yi-34b,17,global,0.008582763733522198,0.0029163935873720904,0.005666370146150108
model,dolphin-yi-34b,18,electronic,0.008461138844270655,0.0028107575749471455,0.005650381269323509
model,dolphin-yi-34b,19,voting,0.008790528569202373,0.003162639902674579,0.005627888666527794
model,dolphin-yi-34b,20,based reasoning,0.00602520542110546,0.00041930054834422723,0.005605904872761233
model,dolphin-yi-34b,21,political,0.009832733775457667,0.004316892354324556,0.005515841421133111
model,dolphin-yi-34b,22,evidence based,0.0061020646806798,0.0006424071442561892,0.00545965753642361
model,dolphin-yi-34b,23,knowledge,0.005896779771244323,0.0006798405233018397,0.005216939247942484
