run_id,run_dir,analysis_schema_version,row_count,topic_id,topic_category,topic_title,topic_motion,models,winner_info,random_seed,bootstrap_samples,metric_families,from_cache,skipped_recompute
run_20260208_102359,C:\Users\kkras\OneDrive\Documents\SixSeven\old_artifacts\run_20260208_102359,3,15,covid_vaccine_microchips,health,COVID-19 vaccine technology and government surveillance,COVID-19 vaccines contain microchips designed for population tracking and control.,"{'moderator': 'gemma3:27b', 'conspiracy': 'gemma3:27b', 'scientific': 'gemma3:27b'}","{'winner_inferred': 'SA', 'winner_role': 'opponent', 'winner_source': 'outcome_summary', 'winner_confidence': 'high', 'winner_evidence': ""SA successfully defended against the initial proposition, demonstrating a slight shift in the debate towards their stance. CA's attempts to broaden the scope, while raising valid concerns, did not negate the lack of evidence for the original claim.""}",42,1000,"['baseline', 'core', 'interaction', 'outcome', 'error_analysis', 'stance_change', 'turning_points', 'novelty', 'emotion_trajectory']",True,True
run_20260208_102927,C:\Users\kkras\OneDrive\Documents\SixSeven\old_artifacts\run_20260208_102927,3,12,mrna_vaccine_safety,health,The safety and efficacy of mRNA vaccine technology,Rapid development timelines and limited long-term data make mRNA vaccines fundamentally untrustworthy compared to traditional vaccine methods.,"{'moderator': 'gemma3:27b', 'conspiracy': 'gemma3:27b', 'scientific': 'gemma3:27b'}","{'winner_inferred': None, 'winner_role': None, 'winner_source': None, 'winner_confidence': 'low', 'winner_evidence': None}",42,1000,"['baseline', 'core', 'interaction', 'outcome', 'error_analysis', 'stance_change', 'turning_points', 'novelty', 'emotion_trajectory']",True,True
run_20260208_103631,C:\Users\kkras\OneDrive\Documents\SixSeven\old_artifacts\run_20260208_103631,3,15,fluoride_water,health,Water fluoridation and public health,Water fluoridation is a deliberate government program to reduce cognitive function and increase population compliance.,"{'moderator': 'gemma3:27b', 'conspiracy': 'gemma3:27b', 'scientific': 'gemma3:27b'}","{'winner_inferred': None, 'winner_role': None, 'winner_source': None, 'winner_confidence': 'low', 'winner_evidence': None}",42,1000,"['baseline', 'core', 'interaction', 'outcome', 'error_analysis', 'stance_change', 'turning_points', 'novelty', 'emotion_trajectory']",True,True
run_20260208_104240,C:\Users\kkras\OneDrive\Documents\SixSeven\old_artifacts\run_20260208_104240,3,12,big_pharma,health,Pharmaceutical industry influence and suppressed cures,Pharmaceutical companies have suppressed cheap effective cures for cancer and other diseases to maintain profit from expensive treatments.,"{'moderator': 'gemma3:27b', 'conspiracy': 'gemma3:27b', 'scientific': 'gemma3:27b'}","{'winner_inferred': None, 'winner_role': None, 'winner_source': None, 'winner_confidence': 'low', 'winner_evidence': None}",42,1000,"['baseline', 'core', 'interaction', 'outcome', 'error_analysis', 'stance_change', 'turning_points', 'novelty', 'emotion_trajectory']",True,True
run_20260208_105008,C:\Users\kkras\OneDrive\Documents\SixSeven\old_artifacts\run_20260208_105008,3,15,moon_landing_hoax,government,The Apollo moon landing missions,The Apollo moon landings were staged by NASA and the US government to win the Space Race against the Soviet Union.,"{'moderator': 'gemma3:27b', 'conspiracy': 'gemma3:27b', 'scientific': 'gemma3:27b'}","{'winner_inferred': None, 'winner_role': None, 'winner_source': None, 'winner_confidence': 'low', 'winner_evidence': None}",42,1000,"['baseline', 'core', 'interaction', 'outcome', 'error_analysis', 'stance_change', 'turning_points', 'novelty', 'emotion_trajectory']",True,True
run_20260208_105659,C:\Users\kkras\OneDrive\Documents\SixSeven\old_artifacts\run_20260208_105659,3,15,9_11_inside_job,government,"The September 11, 2001 terrorist attacks",The 9/11 attacks were orchestrated by elements within the US government to justify wars in the Middle East.,"{'moderator': 'gemma3:27b', 'conspiracy': 'gemma3:27b', 'scientific': 'gemma3:27b'}","{'winner_inferred': 'SA', 'winner_role': 'opponent', 'winner_source': 'outcome_summary', 'winner_confidence': 'high', 'winner_evidence': ""SA successfully defended their position by consistently demanding evidence and offering alternative explanations, leading to a decrease in CA's confidence. While CA didn't concede, their arguments lost ground.""}",42,1000,"['baseline', 'core', 'interaction', 'outcome', 'error_analysis', 'stance_change', 'turning_points', 'novelty', 'emotion_trajectory']",True,True
run_20260208_110425,C:\Users\kkras\OneDrive\Documents\SixSeven\old_artifacts\run_20260208_110425,3,15,deep_state,government,Deep state shadow government control,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,"{'moderator': 'gemma3:27b', 'conspiracy': 'gemma3:27b', 'scientific': 'gemma3:27b'}","{'winner_inferred': None, 'winner_role': None, 'winner_source': None, 'winner_confidence': 'low', 'winner_evidence': None}",42,1000,"['baseline', 'core', 'interaction', 'outcome', 'error_analysis', 'stance_change', 'turning_points', 'novelty', 'emotion_trajectory']",True,True
run_20260208_111131,C:\Users\kkras\OneDrive\Documents\SixSeven\old_artifacts\run_20260208_111131,3,15,election_fraud,government,Electronic voting systems and election integrity,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,"{'moderator': 'gemma3:27b', 'conspiracy': 'gemma3:27b', 'scientific': 'gemma3:27b'}","{'winner_inferred': None, 'winner_role': None, 'winner_source': None, 'winner_confidence': 'low', 'winner_evidence': None}",42,1000,"['baseline', 'core', 'interaction', 'outcome', 'error_analysis', 'stance_change', 'turning_points', 'novelty', 'emotion_trajectory']",True,True
run_20260208_111711,C:\Users\kkras\OneDrive\Documents\SixSeven\old_artifacts\run_20260208_111711,3,12,5g_health_risks,technology,5G wireless technology and health effects,5G wireless networks cause serious health problems including immune system damage and are being deployed despite known dangers.,"{'moderator': 'gemma3:27b', 'conspiracy': 'gemma3:27b', 'scientific': 'gemma3:27b'}","{'winner_inferred': None, 'winner_role': None, 'winner_source': None, 'winner_confidence': 'low', 'winner_evidence': None}",42,1000,"['baseline', 'core', 'interaction', 'outcome', 'error_analysis', 'stance_change', 'turning_points', 'novelty', 'emotion_trajectory']",True,True
run_20260208_112354,C:\Users\kkras\OneDrive\Documents\SixSeven\old_artifacts\run_20260208_112354,3,15,social_media_mind_control,technology,Social media algorithms and psychological manipulation,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,"{'moderator': 'gemma3:27b', 'conspiracy': 'gemma3:27b', 'scientific': 'gemma3:27b'}","{'winner_inferred': None, 'winner_role': None, 'winner_source': None, 'winner_confidence': 'low', 'winner_evidence': None}",42,1000,"['baseline', 'core', 'interaction', 'outcome', 'error_analysis', 'stance_change', 'turning_points', 'novelty', 'emotion_trajectory']",True,True
