debate_id,claim,round,speaker_role,utterance,stance,confidence,tactic_used,tool_used,tool_query,reply_to_turn
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"And to introduce the gentleman who makes Intelligence Squared U.S. possible, Mr. Robert Rosenkranz. Thanks, Bob. All right, Bob. So normally I-- the question is why are we doing this debate now? And that's pretty obvious, so I'm going to move in a different direction somewhat tonight. Since we're doing a debate about-- essentially about health insurance, as it turns out insurance is your business.",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,It's my day job.,neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"It's your day job, and so we want to take advantage of that and just take a minute or two, a little insurance economics 101, to talk to us about, you know, not from the point of view of the consumer who does know their experience of insurance, they pay for it, they pay a premium, they got their coverage, from the other side, how does the business look at it?",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"Okay. Let me start with an analogy. If you go to buy a car, the car dealer knows exactly what that car cost him and, therefore, can charge you a price that reflects that cost plus profit.

When you're buying car insurance, the insurance company does not know how much it's going to cost, how many accidents you might have or what the cost is fixing them. So the insurance company is setting a price tag, but they have to make an intelligent guess about what their future losses are going to be. And in the case of car insurance, for example, an intelligent guess is that young drivers are going to have more accidents, that cars that are poorly maintained are going to have more accidents, et cetera, et cetera.

And the pricing reflects that. Young drivers pay higher premiums because historically they are not as good at, say, driving.",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,So how does health insurance work in that sense ?,neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"Well, it works in a kind of odd and perverse way, because we have as a matter of public policy wanted to see that everybody pays the same premium for health insurance. But there are obvious differences. I mean, health insurance is going to cost much more for older people than it costs for younger people. So by having this idea that everybody should be paying the same, you're in effect having young people overpay a lot and older people get a great bargain.",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"Now, there's a term that I think is important, and I'm sure it's going to come up tonight in this health care process of adverse selection, which is something that the business side sees as a bit of a nightmare. What is that?",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"Well, the idea is as an insurance company you want to underwrite—or set your price based on what you think are the characteristics of a large group of people, can't predict when John Donvan's going to have an accident, but you can predict whether hundreds of people like you might have an accident.",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,And it's a set group.,neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"Well, that's kind of the point, is that a group of young people is going to have a different experience than a group of old people. And a group of sick people is going to have a very different experience than a group of well people. So as an insurance company you're providing insurance for individuals, you have to be sure or at least have a good reason to think that the individuals who show up to sign up for this insurance are a representative sample, that you're not just getting the bad risks.

And that's why, for example, this idea of preexisting conditions, which sounds kind of cruel, that insurance companies would evaluate coverage for my preexisting condition. But if they didn't have that rule, nobody would buy health insurance except when they get sick and then they rush to buy it. So taking that idea to the rollout here of Obamacare, part of the implication of difficulties of signing up is that the people who are most motivated, mainly older and sicker people, will run that gauntlet. The people who need the insurance less are finding it overpriced, like young healthy people, will not go to that trouble. And that's what's meant by adverse selection. And if I were the insurance companies on these exchanges I would be very worried about that right now.",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"Well, it's a term we're going to be hearing in the debate tonight. And you've given us some good 101 basics to help understand it. Thank you very much, Bob Rosenkranz. And let's bring our debaters to the stage. So several times throughout the evening I'm going to again for the sake of the radio broadcast request your entirely spontaneous applause.

And this is one of those times, but I'd actually like to make it a round of applause, again, for Bob Rosenkranz for bringing this to us. a glitch is just a glitch. Your computer program locks up. You close it down again. You open it up again, and you move on because it was just a glitch. So the president's health insurance program, the Affordable Care Act, launches fall 2013 with some problems, problems with the software, problems with deadlines, problems with public expectations. So what are those? Are those just glitches or are we, as some have argued, actually looking at the blue screen of death for Obamacare? Well, that sounds like a debate. So let's have it, ""Yes,"" or, ""No,"" to this statement, ""Obamacare is now beyond rescue,"" a debate from Intelligence Squared U.S., I'm John Donvan. We are at the Kaufman Music Center in New York, and we have four superbly qualified debaters, two teams of two, who will take opposite sides on this motion, ""Obamacare is now beyond rescue.""As always, our debate goes in three rounds, and then the audience votes to choose a winner, and only one side wins. Our motion, ""Obamacare is now beyond rescue,"" let's meet the team arguing for that motion. First, ladies and gentlemen, let's welcome Dr. Scott Gottlieb. Scott, you have been a practicing physician, you're a former FDA deputy commissioner, you have said in the past that Obamacare is looking more and more like Medicaid, which is an interesting comment because during the Bush administration you were actually a senior advisor to the Medicaid program. So what we're trying to understand is when you say that Obamacare is looking more like Medicaid, is that a compliment or the reverse?",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,proponent,"Well, it’s the reverse, it’s a problem. Medicaid's quite literally obligating the poor to indecency in seeking medical care and poor health outcomes.",pro,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"Thank you very much, Scott Gottlieb. And, Scott, your partner is?",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,proponent,The always provocative Megan McArdle.,pro,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"Ladies and gentlemen, Megan McArdle. Megan, you are also arguing for this motion, ""Obamacare is now beyond rescue."" You are a columnist for Bloomberg View. You are author of the forthcoming book, ""The Up Side of Down, Why Failing Well is the Key to Success."" And given the start to healthcare.gov, which had some failures in its first week, does that mean it had some-- that was good failure or bad failure?",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,proponent,"Well, the reason that I wrote the book is that I think the key to succeeding, to find out what works. And the best way to find out what works is to fail and find out what doesn't. And I would say we are finding out what doesn't work.",pro,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"All right, thanks, ladies and gentlemen. Megan McArdle, ladies and gentlemen. Our motion is, ""Obamacare is now beyond rescue."" We have two debaters arguing against this motion. First, let's welcome, ladies and gentlemen, Jonathan Chait. you are a daily columnist at New Yorker magazine. You write political commentary for its website and also for the print magazine. You have written on numerous occasions, you've made this point that the law that President Obama eventually signed off on is essentially based on a moderate Republican health care plan. And you used Romneycare as an example of that. So if that is true, what explains why the Republican party is now so vociferously against Obamacare?",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,opponent,"Well, the vast majority of them really don't know what the law does. They're not policy wonks, and when Mitt Romney said he was for it, it sounded like a good solid Republican idea. When Barack Obama said he was for it, then it became a Socialist plot to destroy America. And if you don't know what's in the law, that's a pretty sensible way to think about what the law does.",con,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,moderator,"All right, we see how you're thinking. Jonathan Chait, ladies and gentlemen. And, Jonathan, your partner is?",neutral,,,none,,
011514%20Obamacare,Obamacare Is Now Beyond Rescue,1,opponent,Doug Kamerow.,con,,,none,,
